"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/03","AD",76177,1,0,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/14","AD",76177,1,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/16","AD",76177,3,0,5,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/17","AD",76177,9,0,14,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/18","AD",76177,0,0,14,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/19","AD",76177,39,0,53,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/20","AD",76177,22,0,75,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/21","AD",76177,0,0,75,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/22","AD",76177,13,0,88,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/23","AD",76177,25,0,113,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/24","AD",76177,20,0,133,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/25","AD",76177,31,0,164,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/26","AD",76177,24,0,188,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/27","AD",76177,36,3,224,3,3,991.302412825647,535.819215794856,1833.97766393316,991.302412825647,991.302412825647,991.302412825647,0.0130131458685121,0.00703387132329779,0.0240752151428012,0.0130131458685121,0.0130131458685121,0.0130131458685121
"2020/03/28","AD",76177,43,0,267,3,3,952.00870666335,510.546898479111,1775.19554082632,0,991.302412825647,991.302412825647,0.0124973247392697,0.0067021134788599,0.0233035632911025,0,0.0130131458685121,0.0130131458685121
"2020/03/29","AD",76177,41,1,308,4,4,1194.55790399186,749.776589088189,1903.19170637854,163.961785003917,1155.26419782956,1155.26419782956,0.0156813461279896,0.00984255863434093,0.0249838101576399,0.00215237913023508,0.0151655249987472,0.0151655249987472
"2020/03/30","AD",76177,26,2,334,6,6,1601.07995157363,1177.81458259936,2176.45209118878,445.815753744064,1601.07995157363,1601.07995157363,0.0210178919040344,0.0154615511584777,0.028570987190212,0.00585236690528721,0.0210178919040344,0.0210178919040344
"2020/03/31","AD",76177,36,2,370,8,8,1973.9529329505,1570.0857804893,2481.70528637586,372.872981376867,1973.9529329505,1973.9529329505,0.0259127155565393,0.0206110214433398,0.0325781441429285,0.00489482365250491,0.0259127155565393,0.0259127155565393
"2020/04/01","AD",76177,6,4,376,12,12,2550.37368232118,2195.32382407083,2962.84577617132,576.420749370687,2550.37368232118,2550.37368232118,0.0334795762805201,0.0288187225024722,0.0388942302292203,0.00756686072398083,0.0334795762805201,0.0334795762805201
"2020/04/02","AD",76177,14,2,390,14,14,2660.33572467325,2338.98528407736,3025.83612481534,109.96204235207,2660.33572467325,2660.33572467325,0.034923083406714,0.0307046127318923,0.0397211248121525,0.00144350712619386,0.034923083406714,0.034923083406714
"2020/04/03","AD",76177,38,1,428,15,12,2747.71231092143,2434.66738948198,3101.00795542162,87.3765862481805,2747.71231092143,2747.71231092143,0.0360701039804854,0.0319606625291358,0.0407079296299621,0.00114702057377135,0.0360701039804854,0.0360701039804854
"2020/04/04","AD",76177,11,1,439,16,13,2680.12960910684,2391.19071966425,3003.98235177985,0,2747.71231092143,2747.71231092143,0.0351829240992273,0.0313899302895133,0.0394342432988941,0,0.0360701039804854,0.0360701039804854
"2020/04/05","AD",76177,27,1,466,17,13,2724.58160029477,2445.91763545123,3034.99381543785,0,2747.71231092143,2747.71231092143,0.0357664596964277,0.0321083481293727,0.0398413407647695,0,0.0360701039804854,0.0360701039804854
"2020/04/06","AD",76177,35,1,501,18,12,2823.2259398277,2548.70821264158,3127.31157995327,0,2747.71231092143,2747.71231092143,0.0370613956946021,0.0334577131239295,0.0410532257761958,0,0.0360701039804854,0.0360701039804854
"2020/04/07","AD",76177,25,3,526,21,13,3169.87682325159,2904.37127661521,3459.65378307205,406.964728795178,3154.67703971661,3154.67703971661,0.0416119934265145,0.0381266166508948,0.0454159888558495,0.00534235699483018,0.0414124609753155,0.0414124609753155
"2020/04/08","AD",76177,19,1,545,22,10,3169.92614960215,2915.03309491001,3447.10727692158,15.2491098855389,2178.6237367765,3169.92614960215,0.0416126409493962,0.0382665777716372,0.0452512868309539,0.000200179974080614,0.028599495080884,0.0416126409493962
"2020/04/09","AD",76177,19,1,564,23,9,3175.57606321339,2930.00400506869,3441.73022146345,5.64991361124294,2184.27365038775,3175.57606321339,0.0416868091840502,0.0384631057283523,0.0451807004931075,7.4168234654068e-05,0.0286736633155381,0.0416868091840502
"2020/04/10","AD",76177,19,2,583,25,10,3321.5460288036,3084.23722634481,3577.11395453714,145.969965590206,2166.28183097404,3321.5460288036,0.0436030039093637,0.040487774870956,0.0469579263365208,0.0019161947253135,0.0284374789106165,0.0436030039093637
"2020/04/11","AD",76177,18,1,601,26,10,3332.46165647053,3102.48022466366,3579.49120950488,10.9156276669296,1731.3817048969,3332.46165647053,0.0437462968674341,0.0407272565822186,0.0469891333277089,0.00014329295807041,0.0227284049633997,0.0437462968674341
"2020/04/12","AD",76177,21,2,622,28,11,3492.65626154821,3268.07923549169,3732.66585119886,160.194605077682,1518.70332859772,3492.65626154821,0.0458492230141409,0.0429011281028617,0.0489999061553863,0.00210292614670678,0.0199365074576016,0.0458492230141409
"2020/04/13","AD",76177,16,1,638,29,11,3504.10996503568,3285.69549643883,3737.04339320871,11.4537034874634,953.736282714493,3504.10996503568,0.0459995794667114,0.0431323824309021,0.0490573715584587,0.000150356452570505,0.0125200031861913,0.0459995794667114
"2020/04/14","AD",76177,8,0,646,29,8,3363.44570854727,3152.96015009866,3587.98287824571,0,843.774240362422,2512.80755221003,0.0441530344926588,0.0413899228126424,0.047100606196696,0,0.0110764960599974,0.0329864335981993
"2020/04/15","AD",76177,13,2,659,31,9,3490.41952799791,3285.53427384525,3708.08138524473,0,756.397654114242,2512.80755221003,0.0458198606928326,0.0431302660100194,0.0486771779571882,0,0.00992947548622605,0.0329864335981993
"2020/04/16","AD",76177,14,2,673,33,10,3625.41023756951,3424.98959042505,3837.55893081201,0,756.397654114242,2348.84576720611,0.0475919271902216,0.04496094084074,0.0503768713760322,0,0.00992947548622605,0.0308340544679642
"2020/04/17","AD",76177,9,0,682,33,8,3522.48991569241,3327.15615101124,3729.29151593425,0,756.397654114242,1903.03001346205,0.0462408589953976,0.0436766497894541,0.0489556101701859,0,0.00992947548622605,0.024981687562677
"2020/04/18","AD",76177,14,2,696,35,9,3667.03874147189,3474.91425715619,3869.78559363381,148.254306100602,904.651960214844,1678.41133818578,0.0481383979609579,0.0456163180114232,0.0507999211524975,0.00194618199851138,0.0118756574847374,0.0220330459086835
"2020/04/19","AD",76177,8,0,704,35,7,3577.65114622309,3389.71159616369,3776.01083778257,0,497.687231419665,1101.99058881509,0.0469649782247015,0.0444978352542591,0.0495689097468077,0,0.00653330048990726,0.0144661851847027
"2020/04/20","AD",76177,9,1,713,36,7,3603.77067851382,3419.33203188886,3798.15793909366,0,482.438121534126,992.028546463024,0.0473078577328303,0.0448866722486953,0.0498596418747609,0,0.00633312051582665,0.0130226780585088
"2020/04/21","AD",76177,4,0,717,36,7,3512.68159274217,3332.52410021035,3702.57846633751,0,476.788207922883,904.651960214844,0.0461121019827791,0.0437471165865071,0.0486049393693307,0,0.00625895228117258,0.0118756574847374
"2020/04/22","AD",76177,0,1,717,37,6,3507.61455737785,3332.25872225262,3692.19826809003,0,330.818242332677,904.651960214844,0.0460455853784981,0.0437436328846321,0.0484686751656015,0,0.00434275755585908,0.0118756574847374
"2020/04/23","AD",76177,6,0,723,37,4,3445.02831616404,3272.48949062256,3626.66408346942,0,319.902614665747,904.651960214844,0.0452239956438825,0.042959022941604,0.0476083868289566,0,0.00419946459778867,0.0118756574847374
"2020/04/24","AD",76177,1,0,724,37,4,3368.41690455354,3199.46364252249,3546.29203847948,0,159.708009588065,904.651960214844,0.0442182929828365,0.0420003891269344,0.0465533171230093,0,0.00209653845108189,0.0118756574847374
"2020/04/25","AD",76177,7,3,731,40,5,3597.9528031807,3430.83337610246,3773.21278966398,0,148.254306100602,497.687231419665,0.0472314846105872,0.0450376540964131,0.0495321788684771,0,0.00194618199851138,0.00653330048990726
"2020/04/26","AD",76177,2,0,733,40,5,3537.38669599081,3372.85636306122,3709.94293561194,0,148.254306100602,482.438121534126,0.0464364138255747,0.0442765711837066,0.0487016151280825,0,0.00194618199851138,0.00633312051582665
"2020/04/27","AD",76177,7,0,740,40,4,3507.19307309639,3343.87108774948,3678.49206180189,0,148.254306100602,476.788207922883,0.0460400524186617,0.0438960721444725,0.048288749383697,0,0.00194618199851138,0.00625895228117258
"2020/04/28","AD",76177,3,0,743,40,4,3463.21103277673,3301.76718178088,3632.54887374504,0,148.254306100602,330.818242332677,0.045462686017784,0.0433433606177833,0.0476856383651895,0,0.00194618199851138,0.00434275755585908
