"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
2020-07-16,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-17,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-18,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-19,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-20,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-21,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-22,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-23,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-24,"BR","BRSC",6819190,0.0136239782016349,0.00277008310249307,0,0
2020-07-25,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-07-26,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-07-27,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-07-28,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-07-29,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-07-30,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-07-31,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-08-01,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-08-02,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-08-03,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-08-04,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-08-05,"BR","BRSC",6819190,0.0272479564032698,0.0138504155124654,0,0.0110803324099723
2020-08-06,"BR","BRSC",6819190,0.0408719346049046,0.00554016620498615,0,0.00831024930747922
2020-08-07,"BR","BRSC",6819190,0.0408719346049046,0.00554016620498615,0,0.00831024930747922
2020-08-08,"BR","BRSC",6819190,0.0408719346049046,0.00554016620498615,0,0.00831024930747922
2020-08-09,"BR","BRSC",6819190,0.0408719346049046,0.00554016620498615,0,0.00831024930747922
2020-08-10,"BR","BRSC",6819190,0.0408719346049046,0.00554016620498615,0,0.00831024930747922
2020-08-11,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-12,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-13,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-14,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-15,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-16,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-17,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-18,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-19,"BR","BRSC",6819190,0.0217983651226158,0.00554016620498615,0,0.00277008310249307
2020-08-20,"BR","BRSC",6819190,0.0383693045563549,0.0048661800486618,0,0.0024330900243309
2020-08-21,"BR","BRSC",6819190,0.0431654676258993,0.0072992700729927,0.00311526479750779,0.0048661800486618
2020-08-22,"BR","BRSC",6819190,0.0431654676258993,0.0072992700729927,0.00311526479750779,0.0048661800486618
2020-08-23,"BR","BRSC",6819190,0.0431654676258993,0.0072992700729927,0.00311526479750779,0.0048661800486618
2020-08-24,"BR","BRSC",6819190,0.0431654676258993,0.0072992700729927,0.00311526479750779,0.0048661800486618
2020-08-25,"BR","BRSC",6819190,0.055045871559633,0.00934579439252336,0.00311526479750779,0.00623052959501558
2020-08-26,"BR","BRSC",6819190,0.055045871559633,0.00934579439252336,0.00311526479750779,0.00623052959501558
2020-08-27,"BR","BRSC",6819190,0.055045871559633,0.00934579439252336,0.00311526479750779,0.00623052959501558
2020-08-28,"BR","BRSC",6819190,0.055045871559633,0.00934579439252336,0.00311526479750779,0.00623052959501558
2020-08-29,"BR","BRSC",6819190,0.055045871559633,0.00934579439252336,0.00311526479750779,0.00623052959501558
2020-08-30,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-08-31,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-01,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-02,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-03,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-04,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-05,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-06,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-07,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-08,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-09,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-10,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-11,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-12,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-13,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-14,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-15,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-16,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-17,"BR","BRSC",6819190,0.0341555977229602,0.00767754318618042,0.00191938579654511,0.00383877159309021
2020-09-18,"BR","BRSC",6819190,0.0377358490566038,0.00849256900212314,0.00212314225053079,0.00424628450106157
2020-09-19,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-20,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-21,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-22,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-23,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-24,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-25,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-26,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-27,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-28,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-29,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-09-30,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-01,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-02,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-03,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-04,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-05,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-06,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-07,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-08,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-09,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-10,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-11,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-12,"BR","BRSC",6819190,0.038961038961039,0.0087719298245614,0.00219298245614035,0.0043859649122807
2020-10-13,"BR","BRSC",6819190,0.0449438202247191,0.00842696629213483,0.00280898876404494,0.00561797752808989
2020-10-14,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-15,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-16,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-17,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-18,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-19,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-20,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-21,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-22,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-23,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-24,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
