"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
2020-04-16,"BR","BRBA",15203934,0,0,0,0
2020-04-17,"BR","BRBA",15203934,0,0,0,0
2020-04-18,"BR","BRBA",15203934,0,0,0,0
2020-04-19,"BR","BRBA",15203934,0,0,0,0
2020-04-20,"BR","BRBA",15203934,0,0,0,0
2020-04-21,"BR","BRBA",15203934,0,0,0,0
2020-04-22,"BR","BRBA",15203934,0,0,0,0
2020-04-23,"BR","BRBA",15203934,0,0,0,0
2020-04-24,"BR","BRBA",15203934,0,0,0,0
2020-04-25,"BR","BRBA",15203934,0,0,0,0
2020-04-26,"BR","BRBA",15203934,0,0,0,0
2020-04-27,"BR","BRBA",15203934,0,0,0,0
2020-04-28,"BR","BRBA",15203934,0,0,0,0
2020-04-29,"BR","BRBA",15203934,0,0,0,0
2020-04-30,"BR","BRBA",15203934,0,0,0,0
2020-05-01,"BR","BRBA",15203934,0,0,0,0
2020-05-02,"BR","BRBA",15203934,0,0,0,0
2020-05-03,"BR","BRBA",15203934,0,0,0,0
2020-05-04,"BR","BRBA",15203934,0,0,0,0
2020-05-05,"BR","BRBA",15203934,0,0,0,0
2020-05-06,"BR","BRBA",15203934,0,0,0,0
2020-05-07,"BR","BRBA",15203934,0,0,0,0
2020-05-08,"BR","BRBA",15203934,0,0,0,0
2020-05-09,"BR","BRBA",15203934,0,0,0,0
2020-05-10,"BR","BRBA",15203934,0,0,0,0
2020-05-11,"BR","BRBA",15203934,0,0,0,0
2020-05-12,"BR","BRBA",15203934,0,0,0,0
2020-05-13,"BR","BRBA",15203934,0,0,0,0
2020-05-14,"BR","BRBA",15203934,0,0,0,0
2020-05-15,"BR","BRBA",15203934,0,0,0,0
2020-05-16,"BR","BRBA",15203934,0,0,0,0
2020-05-17,"BR","BRBA",15203934,0,0,0,0
2020-05-18,"BR","BRBA",15203934,0,0,0,0
2020-05-19,"BR","BRBA",15203934,0,0,0,0
2020-05-20,"BR","BRBA",15203934,0,0,0,0
2020-05-21,"BR","BRBA",15203934,0,0,NA,0
2020-05-22,"BR","BRBA",15203934,0,0,NA,0
2020-05-23,"BR","BRBA",15203934,0,0,NA,0
2020-05-24,"BR","BRBA",15203934,0,0,NA,0
2020-05-25,"BR","BRBA",15203934,0,0,NA,0
2020-05-26,"BR","BRBA",15203934,0,0,NA,0
2020-05-27,"BR","BRBA",15203934,0,0,NA,0
2020-05-28,"BR","BRBA",15203934,0,0,NA,0
2020-05-29,"BR","BRBA",15203934,0,0,NA,0
2020-05-30,"BR","BRBA",15203934,0,0,NA,0
2020-05-31,"BR","BRBA",15203934,0,0,NA,0
2020-06-01,"BR","BRBA",15203934,0,0,NA,0
2020-06-02,"BR","BRBA",15203934,0,0,NA,0
2020-06-03,"BR","BRBA",15203934,0,0,NA,0
2020-06-04,"BR","BRBA",15203934,0,0,NA,0
2020-06-05,"BR","BRBA",15203934,0,0,NA,0
2020-06-06,"BR","BRBA",15203934,0,0,NA,0
2020-06-07,"BR","BRBA",15203934,0,0,NA,0
2020-06-08,"BR","BRBA",15203934,0,0,NA,0
2020-06-09,"BR","BRBA",15203934,0,0,NA,0
2020-06-10,"BR","BRBA",15203934,0.0203389830508475,0.0185185185185185,0,0.037037037037037
2020-06-11,"BR","BRBA",15203934,0.0229508196721311,0.0178571428571429,0,0.0357142857142857
2020-06-12,"BR","BRBA",15203934,0.0343980343980344,0.0287958115183246,0,0.0418848167539267
2020-06-13,"BR","BRBA",15203934,0.0242792109256449,0.0174050632911392,0.00163398692810458,0.0253164556962025
2020-06-14,"BR","BRBA",15203934,0.0242792109256449,0.0174050632911392,0.00163398692810458,0.0253164556962025
2020-06-15,"BR","BRBA",15203934,0.0242792109256449,0.0174050632911392,0.00163398692810458,0.0253164556962025
2020-06-16,"BR","BRBA",15203934,0.030267753201397,0.0144230769230769,0.00123152709359606,0.0264423076923077
2020-06-17,"BR","BRBA",15203934,0.030267753201397,0.0144230769230769,0.00123152709359606,0.0264423076923077
2020-06-18,"BR","BRBA",15203934,0.030267753201397,0.0144230769230769,0.00123152709359606,0.0264423076923077
2020-06-19,"BR","BRBA",15203934,0.030267753201397,0.0144230769230769,0.00123152709359606,0.0264423076923077
