"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRAC",803513,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRAL",3340932,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRAM",3938336,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRAP",766679,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRBA",15203934,0.0203389830508475,0.0425,0.0185185185185185,0.05,295,6,0.0203389830508475,0.0425,0.0185185185185185,0.05
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRCE",8904459,0.0842105263157895,0.134375,0.0180451127819549,0.03375,665,8,0.0842105263157895,0.134375,0.0180451127819549,0.03375
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRDF",2914830,0.0294117647058824,0.0305128205128205,0.00297619047619048,0.00166666666666667,340,13,0.0294117647058824,0.0305128205128205,0.00297619047619048,0.00166666666666667
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRES",3929911,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRFN",3061,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRGO",6610681,0.012396694214876,0.0441666666666667,0,0,242,4,0.012396694214876,0.0441666666666667,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRMA",6904241,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRMG",20869101,0.00951086956521739,0.0146666666666667,0.00595238095238095,0.0025,736,10,0.00951086956521739,0.0146666666666667,0.00595238095238095,0.0025
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRMS",2651235,0.04,0.05,0,0,25,2,0.04,0.05,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRMT",3265486,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRPA",8175113,0.253846153846154,0.243333333333333,0.02,0.0125,260,3,0.253846153846154,0.243333333333333,0.02,0.0125
"BR",2020-06-10,204453710,0.0045045045045045,0,222,8,0.0415717362390489,7124,0.00688348645436641,7124,0.0404515449179124,0.00667546385800522,"BRPB",3972202,0.0117647058823529,0.00666666666666667,0,0,170,2,0.0117647058823529,0.00666666666666667,0,0
