"","X","country_agg","GID_0","gender","age_bucket","date","total_responses","weight_sums","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_cli_weighted_sums","pct_ili_weighted_sums","pct_fever_weighted_sums","pct_cough_weighted_sums","pct_difficulty_breathing_weighted_sums","pct_fatigue_weighted_sums","pct_stuffy_runny_nose_weighted_sums","pct_aches_muscle_pain_weighted_sums","pct_sore_throat_weighted_sums","pct_chest_pain_weighted_sums","pct_nausea_weighted_sums","pct_anosmia_ageusia_weighted_sums","pct_eye_pain_weighted_sums","pct_headache_weighted_sums","pct_cmnty_sick_weighted_sums","pct_ever_tested_weighted_sums","pct_tested_recently_weighted_sums","pct_worked_outside_home_weighted_sums","pct_grocery_outside_home_weighted_sums","pct_ate_outside_home_weighted_sums","pct_spent_time_with_non_hh_weighted_sums","pct_attended_public_event_weighted_sums","pct_used_public_transit_weighted_sums","pct_direct_contact_with_non_hh_weighted_sums","pct_wear_mask_all_time_weighted_sums","pct_wear_mask_most_time_weighted_sums","pct_wear_mask_half_time_weighted_sums","pct_wear_mask_some_time_weighted_sums","pct_wear_mask_none_time_weighted_sums","pct_no_public_weighted_sums","pct_feel_nervous_all_time_weighted_sums","pct_feel_nervous_most_time_weighted_sums","pct_feel_nervous_some_time_weighted_sums","pct_feel_nervous_little_time_weighted_sums","pct_feel_nervous_none_time_weighted_sums","pct_feel_depressed_all_time_weighted_sums","pct_feel_depressed_most_time_weighted_sums","pct_feel_depressed_some_time_weighted_sums","pct_feel_depressed_little_time_weighted_sums","pct_feel_depressed_none_time_weighted_sums","pct_worried_ill_covid19_very_weighted_sums","pct_worried_ill_covid19_somewhat_weighted_sums","pct_worried_ill_covid19_notTooWorried_weighted_sums","pct_worried_ill_covid19_notWorried_weighted_sums","pct_enough_toEat_very_worried_weighted_sums","pct_enough_toEat_somewhat_worried_weighted_sums","pct_enough_toEat_notToo_worried_weighted_sums","pct_enough_toEat_not_worried_weighted_sums","pct_cli_weighted","pct_ili_weighted","pct_fever_weighted","pct_cough_weighted","pct_difficulty_breathing_weighted","pct_fatigue_weighted","pct_stuffy_runny_nose_weighted","pct_aches_muscle_pain_weighted","pct_sore_throat_weighted","pct_chest_pain_weighted","pct_nausea_weighted","pct_anosmia_ageusia_weighted","pct_eye_pain_weighted","pct_headache_weighted","pct_cmnty_sick_weighted","pct_ever_tested_weighted","pct_tested_recently_weighted","pct_worked_outside_home_weighted","pct_grocery_outside_home_weighted","pct_ate_outside_home_weighted","pct_spent_time_with_non_hh_weighted","pct_attended_public_event_weighted","pct_used_public_transit_weighted","pct_direct_contact_with_non_hh_weighted","pct_wear_mask_all_time_weighted","pct_wear_mask_most_time_weighted","pct_wear_mask_half_time_weighted","pct_wear_mask_some_time_weighted","pct_wear_mask_none_time_weighted","pct_no_public_weighted","pct_feel_nervous_all_time_weighted","pct_feel_nervous_most_time_weighted","pct_feel_nervous_some_time_weighted","pct_feel_nervous_little_time_weighted","pct_feel_nervous_none_time_weighted","pct_feel_depressed_all_time_weighted","pct_feel_depressed_most_time_weighted","pct_feel_depressed_some_time_weighted","pct_feel_depressed_little_time_weighted","pct_feel_depressed_none_time_weighted","pct_worried_ill_covid19_very_weighted","pct_worried_ill_covid19_somewhat_weighted","pct_worried_ill_covid19_notTooWorried_weighted","pct_worried_ill_covid19_notWorried_weighted","pct_enough_toEat_very_worried_weighted","pct_enough_toEat_somewhat_worried_weighted","pct_enough_toEat_notToo_worried_weighted","pct_enough_toEat_not_worried_weighted","pct_chills","pct_chills_weighted_sums","pct_chills_weighted","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_finances_very_worried_weighted_sums","pct_finances_somewhat_worried_weighted_sums","pct_finances_notToo_worried_weighted_sums","pct_finances_not_worried_weighted_sums","pct_finances_very_worried_weighted","pct_finances_somewhat_worried_weighted","pct_finances_notToo_worried_weighted","pct_finances_not_worried_weighted"
"1",577,"United Arab Emirates","ARE","male","18-34","2020-04-23",57,2445349.98,3.51,3.51,3.51,8.77,5.26,3.51,8.77,7.02,3.51,0,1.75,3.51,1.75,19.3,14.04,21.43,0,35.71,54.39,5.45,20,5.45,9.09,19.3,61.4,15.79,14.04,0,0,7.02,5.26,0,8.77,29.82,56.14,3.57,1.79,16.07,41.07,37.5,28.07,21.05,29.82,21.05,15.79,24.56,22.81,36.84,11784908.68,11784908.68,11784908.68,36187482.09,21989118.64,11784908.68,27055950.4,21670786.81,5897246.99,0,4128842.67,14200105.39,4128842.67,57731811.02,50548912.97,50731027.84,0,92275244.74,140126624.13,16750088.07,53646426.32,14171834.94,29073157.87,43978964.62,154085346.5,43934507.65,32513552.06,0,0,11920710.4,18219797.44,0,23651994.1,74752535.89,127910670.58,7264295.37,1194782.81,54110264.55,93447712.46,78813915.56,69689308.03,42807475.92,79524014.63,52514199.44,39647710.08,59261362.55,76025370.91,69600554.48,4.82,4.82,4.82,14.8,8.99,4.82,11.06,8.86,2.41,0,1.69,5.81,1.69,23.61,20.67,20.75,0,37.73,57.3,6.85,21.94,5.8,11.89,17.98,63.01,17.97,13.3,0,0,4.87,7.45,0,9.67,30.57,52.31,2.97,0.49,22.13,38.21,32.23,28.5,17.51,32.52,21.48,16.21,24.23,31.09,28.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",578,"United Arab Emirates","ARE","male","overall","2020-04-23",100,4553195.34,3,3,4,9,4.04,5,10,9,5,3,1.01,3,6.06,17,17,21.21,40,32.32,52,7.14,18.37,3.06,8.16,18,66,13,9,0,0,11,3.03,2.02,12.12,23.23,59.6,2.04,2.04,16.33,28.57,51.02,26,27,26,21,11,23,22,44,13697887.56,13697887.56,16046571.87,48271125.19,26117961.31,24533826.03,42819599.36,43005282.21,17129645.4,10170664.22,4128842.67,16113084.27,17397808.16,74961716.64,93358777.8,101009722.63,10724057.17,140425713.12,269041101.02,61523818.98,80947940.97,14171834.94,39086173.13,99301052.17,303692479.6,76720458.34,35831168.57,0,0,36994546.57,18219797.44,18343294.53,46850780.09,108368994.6,259045435.81,7264295.37,5323625.48,86337149.32,112585660.45,229613544.59,128242750.43,103685717.33,115546270.37,107844796.36,58353393.95,89334771.97,105757322.58,201874045.99,3.01,3.01,3.52,10.6,5.74,5.39,9.4,9.45,3.76,2.23,0.91,3.54,3.82,16.46,20.5,22.18,2.36,30.84,59.09,13.51,17.78,3.11,8.58,21.81,66.7,16.85,7.87,0,0,8.12,4,4.03,10.29,23.8,56.89,1.6,1.17,18.96,24.73,50.43,28.17,22.77,25.38,23.69,12.82,19.62,23.23,44.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",579,"United Arab Emirates","ARE","overall","18-34","2020-04-23",92,4946895.05,2.17,2.17,2.17,7.61,5.43,7.61,6.52,9.78,3.26,2.17,1.09,3.26,6.52,22.83,11.96,17.58,0,34.07,50,7.78,24.44,3.37,7.78,20.65,63.04,11.96,9.78,0,0,14.13,3.26,1.09,10.87,28.26,56.52,3.3,5.49,13.19,35.16,42.86,31.52,21.74,30.43,16.3,15.22,18.48,28.26,38.04,11784908.68,11784908.68,11784908.68,41995652.77,32697174.37,76340457,33195340.4,87478584.88,8136039.07,10708055.73,4128842.67,16469959.48,33145763.35,107470095.3,63453989.2,62234564.38,0,134274549.97,308861045.14,38181588.4,170323538.67,14171834.94,37076574.91,136527590.22,348254882.5,52654440.76,37350821.51,0,0,54348478.72,18219797.44,5378963.26,38656654.79,222851880.96,209582208.45,12101564.82,15018925.72,65283126.92,192104365.98,200477494.19,226292347.52,76915210.77,125824115.44,65657831.17,64718227.14,71142352.91,177028721.78,181800203.07,2.38,2.38,2.38,8.49,6.61,15.43,6.71,17.68,1.64,2.16,0.83,3.33,6.7,21.72,12.83,12.58,0,27.14,62.44,7.72,34.43,2.86,7.49,27.6,70.4,10.64,7.55,0,0,10.99,3.68,1.09,7.81,45.05,42.37,2.45,3.04,13.2,38.83,40.53,45.74,15.55,25.43,13.27,13.08,14.38,35.79,36.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",580,"United Arab Emirates","ARE","overall","35-54","2020-04-23",50,2412949.57,2,2,4,8,2.04,6,14,14,6,6,0,2,12.24,18,18,20,66.67,26,40,8,16,0,10,16,70,10,2,0,2,16,0,4.08,16.33,16.33,63.27,0,2.04,18.37,16.33,63.27,30,32,20,18,4,20,18,58,1912978.88,1912978.88,4261663.19,12083643.1,4128842.67,12748917.35,24712113.74,38219311.2,11232398.42,10170664.22,0,1912978.88,18101021.08,38946777.01,42809864.83,58131128.74,10724057.17,56002902.34,112009933.68,44773730.91,30591869.84,0,18135426.04,60154143.14,159488924.58,44012656.9,3317616.51,0,2058148.02,32417610.91,0,18343294.53,26768164.59,30134564.5,161557701.3,0,4128842.67,40391596.92,35992180.83,156291104.51,74141625.26,62936389.43,47248961.95,56967980.29,18705683.88,33642788.02,29731951.67,159214533.37,0.79,0.79,1.77,5.01,1.71,5.28,10.24,15.84,4.66,4.22,0,0.79,7.5,16.14,17.74,24.09,4.44,23.21,46.42,18.56,12.68,0,7.52,24.93,66.1,18.24,1.37,0,0.85,13.43,0,7.6,11.09,12.49,66.95,0,1.71,16.74,14.92,64.77,30.73,26.08,19.58,23.61,7.75,13.94,12.32,65.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",581,"United Arab Emirates","ARE","overall","overall","2020-04-23",162,8518863.83,2.48,2.48,3.11,9.32,4.38,6.21,8.7,11.18,3.73,4.35,0.62,3.11,8.12,21.12,14.2,18.24,37.5,31.17,47.1,7.84,20.26,1.97,9.15,18.67,58.64,10.49,6.17,0,1.23,13.58,2.07,2.07,13.1,24.83,57.93,2.08,4.17,14.58,27.78,51.39,28.4,22.84,23.46,15.43,9.88,16.67,22.22,41.36,19601434.97,19601434.97,21950119.28,69227675.87,38828967.37,89089374.35,59207103.26,141761871.74,19368437.49,28785217.69,4128842.67,24286485.76,56905839.15,174414580.97,133659644.15,138898696.91,16627604.58,208683232.49,465754742.87,90056996.73,208017085.93,14171834.94,67145733.95,201618201.37,527938705.48,103768775.08,40668438.02,0,6994616.03,94563490.43,18219797.44,23722257.79,72526496.79,275272353.27,376846301.14,12101564.82,19147768.39,105674723.85,228096546.8,391862575.31,322719880.6,146953277.63,173073077.38,128332202.84,83423911.01,104785140.93,213862350.87,369007035.63,2.3,2.3,2.58,8.13,4.56,10.46,6.95,16.64,2.27,3.38,0.48,2.85,6.68,20.47,15.69,16.3,1.95,24.5,54.67,10.57,24.42,1.66,7.88,23.67,61.97,12.18,4.77,0,0.82,11.1,2.14,2.78,8.51,32.31,44.24,1.42,2.25,12.4,26.78,46,37.88,17.25,20.32,15.06,9.79,12.3,25.1,43.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1436,"United Arab Emirates","ARE","female","overall","2020-04-24",69,1649256.58,0,0,0,5.88,0,14.71,14.71,20.59,4.41,5.88,4.41,1.47,10.29,26.47,18.84,17.39,25,21.21,47.06,3.03,15.15,0,4.55,18.84,65.22,8.7,2.9,0,0,23.19,1.49,2.99,14.93,29.85,50.75,2.99,1.49,23.88,29.85,41.79,31.88,34.78,17.39,13.04,8.7,11.59,23.19,56.52,0,0,0,7428803.46,0,16493512.62,17931624.66,24494774.2,7858411.78,7180626.24,5942513.42,1661985.86,18192935.02,38813021.97,30648828.33,23862437.5,2697468.3,33024764.91,76755862.76,2850435.05,19151698.17,0,10525902.84,28696663.7,102407314.32,18104542.54,3255448.08,0,0,41158353.31,3665959.62,2508570.7,25179480.98,46988232.65,79613292.99,7996164.34,3665959.62,29605520.81,48436790.8,68251101.37,55655481.8,54924420.79,28201771.7,19173862.65,17567572.3,14271223.81,35523845.08,97563017.05,0,0,0,4.5,0,10,10.87,14.85,4.76,4.35,3.6,1.01,11.03,23.53,18.58,14.47,1.64,20.02,46.54,1.73,11.61,0,6.38,17.4,62.09,10.98,1.97,0,0,24.96,2.22,1.52,15.27,28.49,48.27,4.85,2.22,17.95,29.37,41.38,33.75,33.3,17.1,11.63,10.65,8.65,21.54,59.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1437,"United Arab Emirates","ARE","male","18-34","2020-04-24",79,2218987.14,2.56,2.56,3.85,11.54,8.97,14.1,15.38,16.46,8.97,8.97,2.56,6.41,7.69,17.95,20.25,23.38,44.44,28.21,62.82,19.48,19.48,1.3,1.3,22.78,54.43,20.25,8.86,0,2.53,10.13,1.27,3.8,12.66,13.92,68.35,2.6,3.9,11.69,28.57,53.25,22.78,27.85,21.52,25.32,7.59,12.66,18.99,58.23,8645197.69,8645197.69,16872453.98,29893772.4,16613374.68,33525328.44,25973316.68,38673918.58,21164103.27,15400785.04,7450191.3,12540784.69,18287675.67,53533811.53,46650257.1,45722567.68,13961342.29,54984244.78,138168614.23,49247052.41,43354698.38,4314593.17,863430.31,53355893.79,125458336.14,43874333.16,14895782.83,0,8549989.42,21257623.31,4744975.54,12371145.11,31775243.53,28563719.56,144443630.66,6716509.95,13088399.17,29332057.77,54823386.22,111605667.81,50023458.08,46608131.36,56118285,62816146.48,25061711.4,34971113.56,44620329.76,110912866.2,3.9,3.9,7.6,13.47,7.49,15.11,11.71,17.43,9.54,6.94,3.36,5.65,8.24,24.13,21.02,20.61,6.29,24.78,62.27,22.19,19.54,1.94,0.39,24.05,56.54,19.77,6.71,0,3.85,9.58,2.14,5.58,14.32,12.87,65.09,3.03,5.9,13.22,24.71,50.3,22.54,21,25.29,28.31,11.29,15.76,20.11,49.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1438,"United Arab Emirates","ARE","male","overall","2020-04-24",125,4198939.37,1.63,1.63,2.44,8.94,5.69,11.38,11.38,15.32,8.94,6.5,4.07,4.07,6.5,14.63,16,18.18,45.45,27.42,65.85,15.57,20.49,0.82,1.64,24,58.4,18.4,10.4,0,1.6,8,0.8,3.2,12.8,17.6,65.6,2.44,3.25,11.38,30.89,52.03,21.6,28,24,24.8,5.6,12.8,17.6,62.4,8645197.69,8645197.69,16872453.98,39138343.6,16613374.68,43998482.18,34843069.02,57427755.66,48996563.95,18945517.16,18622351.31,12540784.69,23860186.96,80121929.12,63151354.82,59450841.29,16309101.61,117027469.14,279901433.85,65419476.77,90200548.93,4314593.17,4197874.07,105273528.29,262213159.15,75754599.62,38228708.91,0,8549989.42,25179605.49,4744975.54,14660879.9,58412045.11,81100360.41,260975675.66,9006244.74,23589406.67,51552542.97,118691404.89,210721643.86,89469568.6,101392615.93,98735182.04,123963876.56,28258806.74,63915239.28,72401041.87,248986155.23,2.06,2.06,4.02,9.32,3.96,10.48,8.3,13.68,11.67,4.51,4.44,2.99,5.68,19.08,15.04,14.16,3.88,27.87,66.66,15.58,21.48,1.03,1,25.07,62.45,18.04,9.1,0,2.04,6,1.13,3.49,13.91,19.31,62.15,2.14,5.62,12.28,28.27,50.18,21.31,24.15,23.51,29.52,6.73,15.22,17.24,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1439,"United Arab Emirates","ARE","overall","18-34","2020-04-24",130,3419217.61,1.55,1.55,2.33,8.53,5.43,13.95,13.18,16.15,5.43,6.98,2.33,3.88,9.3,19.38,17.69,18.75,44.44,23.81,61.72,15.87,19.05,0.79,1.59,21.54,59.23,15.38,7.69,0,1.54,13.85,0.78,3.88,13.18,19.38,62.79,3.94,2.36,18.9,27.56,47.24,25.38,31.54,18.46,22.31,9.23,13.08,17.69,58.46,8645197.69,8645197.69,16872453.98,32502567.05,16613374.68,44028960.39,33600607.03,52249333.61,21164103.27,18072680.05,10074097.36,12540784.69,35093375.68,78755451.16,74590303.14,59589560.64,13961342.29,87295875.38,212662042.1,56739078.12,71594447.51,4314593.17,7277375.73,83452600.84,195661562.98,56318600.57,31851754.24,0,8549989.42,41677204.15,4744975.54,14879715.81,63231519.3,59683926.91,196371915.74,15656649.91,13088399.17,67876446.47,86053563.72,149904300.55,83437185.01,85780486.87,71989580.39,91372107.55,42649740.71,49251335.46,62708490.56,180979500.68,2.53,2.53,4.93,9.51,4.86,12.88,9.83,15.28,6.19,5.29,2.95,3.67,10.26,23.03,21.82,17.43,4.08,25.53,62.2,16.59,20.94,1.26,2.13,24.41,57.22,16.47,9.32,0,2.5,12.19,1.39,4.35,18.49,17.46,57.43,4.58,3.83,19.85,25.17,43.84,24.4,25.09,21.05,26.72,12.47,14.4,18.34,52.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1440,"United Arab Emirates","ARE","overall","35-54","2020-04-24",76,2709383.51,0,0,0,6.76,0,10.81,9.46,20.27,8.11,4.05,5.41,1.35,5.41,20.27,13.16,13.51,20,26.67,61.33,8.11,16.22,0,4.05,21.05,64.47,14.47,5.26,0,1.32,13.16,1.32,2.63,15.79,21.05,59.21,2.63,1.32,14.47,27.63,53.95,26.32,28.95,22.37,22.37,3.95,11.84,22.37,61.84,0,0,0,15747022.87,0,18109613.9,19174086.65,34394165.62,31730458.75,8053463.35,12143008.05,1661985.86,8642189.17,47321118.8,25322066.86,24165342.83,2697468.3,69589747.26,182823387.32,23155906.33,43470636.17,0,7446401.18,57930132.41,177824245.13,45514273.73,10120954.15,0,6311193.87,29062459.39,3665959.62,11755258.37,31623612.67,64598585.96,159294934.14,11755258.37,3665959.62,36742914.51,74634721.46,144139496.78,72625479.66,76356163.71,49026214.83,72930492.55,10072989.17,40974085.56,53674103.65,166217172.37,0,0,0,5.81,0,6.68,7.08,12.69,11.71,2.97,4.48,0.61,3.19,17.47,9.35,8.92,1,25.68,67.48,8.55,16.04,0,2.75,21.38,65.63,16.8,3.74,0,2.33,10.73,1.35,4.34,11.67,23.84,58.79,4.34,1.35,13.56,27.55,53.2,26.81,28.18,18.09,26.92,3.72,15.12,19.81,61.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
