"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_fatalities_smooth","p_cases_fatalities_smooth_low","p_cases_fatalities_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_stillsick_smooth","p_cases_stillsick_smooth_low","p_cases_stillsick_smooth_high"
1,"2020-03-19",0.0205116386264116,0,0,0,0.0698949446929382,0.0681119728256491,0.0716779165602273,0.00287473662954934,0.00113612494206523,0.00461334831703345,29.4119974941028,-27.6936138025187,86.5176087907244,1.66057331543997e-06,-1.81189108986657e-05,2.14400575295457e-05
2,"2020-03-20",0.0257131378063479,0,0,0,0.0698949446959754,0.0681119728307801,0.0716779165611706,0.00288298912483975,0.00114837248659916,0.00461760576308035,25.5236111891463,-23.0536406561953,74.100863034488,1.93033173275759e-06,-2.06231929385643e-05,2.44838564040794e-05
3,"2020-03-21",0.0385026737967914,0,0,0,0.0698949446990125,0.0681119728358945,0.0716779165621305,0.00289126531053638,0.00116067936862078,0.00462185125245198,22.1492854494271,-19.156501312915,63.4550722117691,2.24391212591759e-06,-2.34629684208749e-05,2.79507926727101e-05
4,"2020-03-22",0.0329057445621863,0,0,0,0.0698949447020496,0.0681119728409921,0.0716779165631071,0.00289956525464718,0.00117304579776103,0.00462608471153333,19.2210593667411,-15.8868804584138,54.3289991918961,2.60843332956404e-06,-2.66811534951359e-05,3.18980201542639e-05
5,"2020-03-23",0.0329057445621863,0,0,0,0.0698949447050868,0.0681119728460731,0.0716779165641005,0.00290788902537534,0.00118547198367298,0.00463030606707771,16.6799567427736,-13.1469699974944,46.5068834830416,3.03217062566486e-06,-3.03257546468827e-05,3.63900958982124e-05
6,"2020-03-24",0.038961038961039,0,0,0,0.0698949447081239,0.0681119728511374,0.0716779165651104,0.00291623669111984,0.00119795813601113,0.00463451524622855,14.4747982737212,-10.853855464867,39.8034520123095,3.52474360718337e-06,-3.44503901262676e-05,4.14998773406344e-05
7,"2020-03-25",0.0378031383737518,0,0,0,0.0698949447111611,0.068111972856185,0.0716779165661372,0.00292460832047601,0.00121050446440997,0.00463871217654206,12.5611707689647,-8.93728750147181,34.0596290394012,4.09733456000875e-06,-3.91148464898028e-05,4.73095156098203e-05
8,"2020-03-26",0.0364730878186969,0,0,0,0.0698949447141982,0.0681119728612159,0.0716779165671805,0.0029330039822361,0.00122311117846166,0.00464289678601053,10.9005326432456,-7.33778226183154,29.1388475483227,4.76294232080544e-06,-4.43856679124375e-05,5.39115525540484e-05
9,"2020-03-27",0.0407354001441961,0,0,0,0.0698949447172353,0.0681119728662301,0.0716779165682405,0.00294142374538983,0.00123577848769308,0.00464706900308658,9.45943766643468,-6.00500273025637,24.9238780631257,5.53667737380742e-06,-5.03367742420497e-05,6.14101289896645e-05
10,"2020-03-28",0.0465817694369973,0,0,0,0.0698949447202725,0.0681119728712277,0.0716779165693173,0.00294986767912498,0.00124850660154196,0.00465122875670801,8.20886133675392,-4.89637987215945,21.3141025456673,6.43610488578139e-06,-5.70501015984738e-05,6.99223113700366e-05
11,"2020-03-29",0.0468384074941452,0,0,0,0.0698949447233096,0.0681119728762086,0.0716779165704107,0.00295833585282795,0.0012612957293321,0.0046553759763238,7.12361631021262,-3.9759384972788,18.223171117704,7.4816434666652e-06,-6.46162565515604e-05,7.95795434848908e-05
12,"2020-03-30",0.0529801324503311,0,0,0,0.0698949447263468,0.0681119728811728,0.0716779165715208,0.00296682833608432,0.0012741460802479,0.00465951059192075,6.18184511266137,-3.21329780665218,15.5769880319749,8.69702870845897e-06,-7.31351714109192e-05,9.05292288278371e-05
13,"2020-03-31",0.0659951372004168,0,0,0,0.0698949447293839,0.0681119728861203,0.0716779165726476,0.00297534519867943,0.00128705786330773,0.00466363253405113,5.36457991738675,-2.58282095694914,13.3119807917226,1.01098520255301e-05,-8.27167437589204e-05,0.000102936447809981
14,"2020-04-01",0.0681431005110733,0,0,0,0.0698949447324211,0.0681119728910511,0.0716779165737911,0.00298388651059895,0.00130003128733651,0.00466774173386139,4.65536052190728,-2.06289170906604,11.3736127528806,1.17521870289683e-05,-9.34814378590585e-05,0.000116985811916995
15,"2020-04-02",0.063728813559322,0,0,0,0.0698949447354582,0.0681119728959652,0.0716779165749512,0.00299245234202946,0.00131306656093726,0.00467183812312167,4.03990282979885,-1.63529942267129,9.71510508226898,1.36613176548059e-05,-0.000105560818734122,0.000132883454043733
