"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_stillsick_smooth","p_cases_stillsick_smooth_low","p_cases_stillsick_smooth_high"
1,"2020-03-20",0.00801083154688029,0,0,0,5.31732929962724e-08,-2.08311595511098e-07,3.14658181503643e-07,5.30842061841417e+28,-1.90876916218642e+30,2.01493757455471e+30,1.06168412368367e+29,-3.8175383243759e+30,4.02987514911263e+30
2,"2020-03-21",0.00672268907563025,0,0,0,5.60791995271343e-08,-2.18365464659218e-07,3.30523863713487e-07,3.87352469771159e+28,-1.38646461511776e+30,1.46393510907199e+30,7.74704939542926e+28,-2.77292923023773e+30,2.92787021814632e+30
3,"2020-03-22",0.0126849894291755,0,0,0,5.91439130953107e-08,-2.28897502095976e-07,3.47185328286598e-07,2.82648920692788e+28,-1.0070593134585e+30,1.06358909759706e+30,5.65297841386018e+28,-2.01411862691861e+30,2.12717819519581e+30
4,"2020-03-23",0.00482218203737191,0,0,0,6.23761124679297e-08,-2.39930031608602e-07,3.64682256544462e-07,2.0624732925028e+28,-7.31462567617975e+29,7.72712033468031e+29,4.1249465850087e+28,-1.46292513523708e+30,1.54542406693725e+30
5,"2020-03-24",0.00628053035589672,0,0,0,6.57849507050896e-08,-2.51486394434803e-07,3.83056295844982e-07,1.50497517268456e+28,-5.31275602498649e+29,5.6137510595234e+29,3.00995034537147e+28,-1.06255120499815e+30,1.12275021190558e+30
6,"2020-03-25",0.00876095118898623,0,0,0,6.93800810799082e-08,-2.63590993760003e-07,4.02351155919819e-07,1.09817192718576e+28,-3.8586755458879e+29,4.07830993132505e+29,2.19634385437314e+28,-7.71735109178164e+29,8.15661986265627e+29
7,"2020-03-26",0.00876095118898623,0,0,0,7.31716844151071e-08,-2.76269341017641e-07,4.22612709847855e-07,8.01329884736642e+27,-2.80251011789748e+29,2.96277609484481e+29,1.60265976947452e+28,-5.60502023579937e+29,5.92555218969427e+29
8,"2020-03-27",0.01468788249694,0,0,0,7.71704979135364e-08,-2.89548104059338e-07,4.43889099886411e-07,5.84725914290677e+27,-2.03538496836111e+29,2.15233015121924e+29,1.16945182858224e+28,-4.07076993672538e+29,4.30466030244183e+29
9,"2020-03-28",0.014405762304922,0,0,0,8.13878455642862e-08,-3.03455157264945e-07,4.66230848393518e-07,4.26671214134784e+27,-1.4782105362721e+29,1.56354477909906e+29,8.53342428270207e+27,-2.95642107254647e+29,3.12708955820051e+29
10,"2020-03-29",0.00491159135559921,0,0,0,8.58356702104951e-08,-3.18019633666081e-07,4.89690974087071e-07,3.11339587526395e+27,-1.0735352012855e+29,1.13580311879078e+29,6.2267917505327e+27,-2.14707040257269e+29,2.27160623758335e+29
11,"2020-03-30",0.00366300366300366,0,0,0,9.05265673696595e-08,-3.33271979160741e-07,5.1432511390006e-07,2.27182747628444e+27,-7.79626258696183e+28,8.25062808221872e+28,4.54365495257235e+27,-1.55925251739358e+29,1.65012561644503e+29
12,"2020-03-31",0.00628140703517588,0,0,0,9.54738209022269e-08,-3.49244008901218e-07,5.40191650705672e-07,1.6577397442474e+27,-5.66169806966347e+28,5.99324601851295e+28,3.31547948849728e+27,-1.13233961393356e+29,1.1986492037035e+29
13,"2020-04-01",0.0050761421319797,0,0,0,1.00691440629473e-07,-3.65968965942708e-07,5.67351847201654e-07,1.20964337668453e+27,-4.11146819803136e+28,4.35339687336827e+28,2.41928675337084e+27,-8.22293639606895e+28,8.70679374674312e+28
