"date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-01-01,"Cataluña","ESCT",7675217,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-02,"Cataluña","ESCT",7675217,1,0,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-03,"Cataluña","ESCT",7675217,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-01-04,"Cataluña","ESCT",7675217,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-01-05,"Cataluña","ESCT",7675217,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-01-06,"Cataluña","ESCT",7675217,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-01-07,"Cataluña","ESCT",7675217,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-01-08,"Cataluña","ESCT",7675217,1,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-01-09,"Cataluña","ESCT",7675217,0,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-01-10,"Cataluña","ESCT",7675217,0,0,2,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-11,"Cataluña","ESCT",7675217,0,0,2,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-12,"Cataluña","ESCT",7675217,1,0,3,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-13,"Cataluña","ESCT",7675217,1,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-14,"Cataluña","ESCT",7675217,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-15,"Cataluña","ESCT",7675217,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-16,"Cataluña","ESCT",7675217,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-17,"Cataluña","ESCT",7675217,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-18,"Cataluña","ESCT",7675217,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-19,"Cataluña","ESCT",7675217,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-20,"Cataluña","ESCT",7675217,2,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-21,"Cataluña","ESCT",7675217,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-22,"Cataluña","ESCT",7675217,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-23,"Cataluña","ESCT",7675217,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-24,"Cataluña","ESCT",7675217,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-25,"Cataluña","ESCT",7675217,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-26,"Cataluña","ESCT",7675217,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-27,"Cataluña","ESCT",7675217,2,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-01-28,"Cataluña","ESCT",7675217,0,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
