"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"166",2020-06-14,"Castilla La Mancha","ESCM",2032863,10,0,18659,2877,2,212809.745062602,212286.126722903,213334.654942968,0,1.93267624126747e-12,279.680428667576,0.104684745141508,0.104427168344794,0.104942957269117,0,9.50716423717423e-19,0.00013757957553833
"167",2020-06-15,"Castilla La Mancha","ESCM",2032863,16,1,18675,2878,2,212733.886559612,212210.469059557,213258.595069863,0,1.93267624126747e-12,129.657532124373,0.104647429049381,0.104389951049115,0.104905542119593,0,9.50716423717423e-19,6.37807526254218e-05
"168",2020-06-16,"Castilla La Mancha","ESCM",2032863,21,0,18696,2878,2,212658.202684694,212134.937956365,213182.758129105,0,1.93267624126747e-12,129.657532124373,0.104610198859783,0.104352796010535,0.104868236634296,0,9.50716423717423e-19,6.37807526254218e-05
"169",2020-06-17,"Castilla La Mancha","ESCM",2032863,15,0,18711,2878,1,212527.350296778,212004.375450558,213051.6152234,0,1.93267624126747e-12,1.13686837721616e-13,0.104545830337203,0.104288570085912,0.104803725201059,0,9.50716423717423e-19,5.59244955127896e-20
"170",2020-06-18,"Castilla La Mancha","ESCM",2032863,12,1,18723,2879,2,212445.99640355,211923.241118403,212970.041179583,0,1.93267624126747e-12,1.13686837721616e-13,0.10450581096884,0.104248658723388,0.104763597536865,0,9.50716423717423e-19,5.59244955127896e-20
"171",2020-06-19,"Castilla La Mancha","ESCM",2032863,13,0,18736,2879,2,212311.667620783,211789.212214384,212835.411854166,0,1.93267624126747e-12,1.13686837721616e-13,0.10443973234831,0.104182727618332,0.104697371074276,0,9.50716423717423e-19,5.59244955127896e-20
"172",2020-06-20,"Castilla La Mancha","ESCM",2032863,15,0,18751,2879,2,212209.920628314,211687.687482485,212733.442122378,0,1.93267624126747e-12,1.13686837721616e-13,0.104389681266428,0.104132785870216,0.104647210423121,0,9.50716423717423e-19,5.59244955127896e-20
"173",2020-06-21,"Castilla La Mancha","ESCM",2032863,8,0,18759,2879,2,212038.321303324,211516.482425807,212561.447625729,0,1.93267624126747e-12,1.13686837721616e-13,0.104305268630166,0.104048567181265,0.104562603395177,0,9.50716423717423e-19,5.59244955127896e-20
"174",2020-06-22,"Castilla La Mancha","ESCM",2032863,15,0,18774,2879,1,211955.134196838,211433.47331686,212478.082148675,0,1.93267624126747e-12,1.13686837721616e-13,0.104264347472918,0.104007733584044,0.104521594494403,0,9.50716423717423e-19,5.59244955127896e-20
"175",2020-06-23,"Castilla La Mancha","ESCM",2032863,24,1,18798,2880,2,212056.420400424,211534.534771461,212579.593595079,0,1.93267624126747e-12,1.13686837721616e-13,0.104314171884885,0.104057447438151,0.104571529707156,0,9.50716423717423e-19,5.59244955127896e-20
"176",2020-06-24,"Castilla La Mancha","ESCM",2032863,22,0,18820,2880,2,212067.180849906,211545.243326514,212590.406129875,0,1.93267624126747e-12,1.13686837721616e-13,0.10431946513361,0.10406271515912,0.104576848577536,0,9.50716423717423e-19,5.59244955127896e-20
"177",2020-06-25,"Castilla La Mancha","ESCM",2032863,22,0,18842,2880,1,212079.062344509,211557.071428566,212602.341208495,0,1.93267624126747e-12,1.13686837721616e-13,0.10432530984356,0.104068533604363,0.104582719646378,0,9.50716423717423e-19,5.59244955127896e-20
"178",2020-06-26,"Castilla La Mancha","ESCM",2032863,14,1,18856,2881,2,212073.374745086,211551.422500398,212596.614781378,0,1.93267624126747e-12,1.13686837721616e-13,0.104322512016346,0.1040657548002,0.104579902719159,0,9.50716423717423e-19,5.59244955127896e-20
"179",2020-06-27,"Castilla La Mancha","ESCM",2032863,17,0,18873,2881,2,212027.103585619,211505.239984852,212550.254821708,0,1.93267624126747e-12,1.13686837721616e-13,0.104299750443399,0.10404303683271,0.104557097463876,0,9.50716423717423e-19,5.59244955127896e-20
"180",2020-06-28,"Castilla La Mancha","ESCM",2032863,16,2,18889,2883,4,212118.06879156,211596.055968933,212641.369433026,0,1.93267624126747e-12,1.13686837721616e-13,0.1043444977805,0.104087710765031,0.104601918296032,0,9.50716423717423e-19,5.59244955127896e-20
"181",2020-06-29,"Castilla La Mancha","ESCM",2032863,14,1,18903,2884,5,212115.138690037,211593.159018128,212638.406034852,0,1.93267624126747e-12,1.13686837721616e-13,0.104343056413559,0.104086285705494,0.1046004605499,0,9.50716423717423e-19,5.59244955127896e-20
"182",2020-06-30,"Castilla La Mancha","ESCM",2032863,14,1,18917,2885,5,212115.27115027,211593.317109074,212638.512736956,0,1.93267624126747e-12,1.13686837721616e-13,0.104343121573008,0.104086363473128,0.104600513038486,0,9.50716423717423e-19,5.59244955127896e-20
"183",2020-07-01,"Castilla La Mancha","ESCM",2032863,19,1,18936,2886,6,212175.429123099,211653.353031311,212698.792997205,0,1.93267624126747e-12,1.13686837721616e-13,0.104372714306423,0.104115896167775,0.10463016592717,0,9.50716423717423e-19,5.59244955127896e-20
"184",2020-07-02,"Castilla La Mancha","ESCM",2032863,14,0,18950,2886,6,212109.589749807,211587.651876595,212632.815123217,0,1.93267624126747e-12,1.13686837721616e-13,0.104340326795169,0.104083576648596,0.104597710285059,0,9.50716423717423e-19,5.59244955127896e-20
"185",2020-07-03,"Castilla La Mancha","ESCM",2032863,21,0,18971,2886,5,212124.758907553,211602.761157434,212648.044361337,0,1.93267624126747e-12,1.13686837721616e-13,0.104347788762722,0.104091009161677,0.104605201807174,0,9.50716423717423e-19,5.59244955127896e-20
"186",2020-07-04,"Castilla La Mancha","ESCM",2032863,12,0,18983,2886,5,212041.298540184,211519.48367424,212564.400714274,0,1.93267624126747e-12,1.13686837721616e-13,0.104306733183783,0.104050043546584,0.104564056069826,0,9.50716423717423e-19,5.59244955127896e-20
"187",2020-07-05,"Castilla La Mancha","ESCM",2032863,6,0,18989,2886,3,211892.471063921,211371.000015047,212415.228628233,0,1.93267624126747e-12,1.13686837721616e-13,0.104233522408505,0.103977001900791,0.104490675775118,0,9.50716423717423e-19,5.59244955127896e-20
"188",2020-07-06,"Castilla La Mancha","ESCM",2032863,19,0,19008,2886,2,211893.145961193,211371.650862585,212415.927689948,0,1.93267624126747e-12,1.13686837721616e-13,0.10423385440199,0.103977322063801,0.104491019655504,0,9.50716423717423e-19,5.59244955127896e-20
"189",2020-07-07,"Castilla La Mancha","ESCM",2032863,15,0,19023,2886,1,211854.722048106,211333.300350664,212377.430246946,0,1.93267624126747e-12,1.13686837721616e-13,0.104214953023448,0.103958456792545,0.104472082106343,0,9.50716423717423e-19,5.59244955127896e-20
"190",2020-07-08,"Castilla La Mancha","ESCM",2032863,20,0,19043,2886,0,211875.314036228,211353.82053099,212398.094272292,0,1.93267624126747e-12,1.13686837721616e-13,0.104225082573803,0.10396855101942,0.104482247093037,0,9.50716423717423e-19,5.59244955127896e-20
"191",2020-07-09,"Castilla La Mancha","ESCM",2032863,28,0,19071,2886,0,211986.382549909,211464.594572274,212509.458037134,0,1.93267624126747e-12,1.13686837721616e-13,0.104279719071039,0.104023042660658,0.104537028829358,0,9.50716423717423e-19,5.59244955127896e-20
"192",2020-07-10,"Castilla La Mancha","ESCM",2032863,25,2,19096,2888,2,212208.901384785,211686.644175873,212732.447067012,0,1.93267624126747e-12,1.13686837721616e-13,0.104389179883143,0.10413227264989,0.104646720938407,0,9.50716423717423e-19,5.59244955127896e-20
"193",2020-07-11,"Castilla La Mancha","ESCM",2032863,11,0,19107,2888,2,212123.291895371,211601.224345906,212646.647502252,0,1.93267624126747e-12,1.13686837721616e-13,0.104347067114395,0.104090253177861,0.104604514668353,0,9.50716423717423e-19,5.59244955127896e-20
