"","date","total_cases","total_deaths","total_cases_daily","total_cases_active","total_cases_contagious","total_cases_infected","total_cum_cases","total_cum_deaths"
"1","2020-01-01",3,0,0,0,0,0,3,0
"2","2020-01-02",5,0,0,0,0,0,8,0
"3","2020-01-03",0,0,0,0,0,0,8,0
"4","2020-01-04",1,0,0,0,0,0,9,0
"5","2020-01-05",2,0,0,0,0,0,11,0
"6","2020-01-06",1,0,0,0,0,0,12,0
"7","2020-01-07",0,0,0,0,0,0,12,0
"8","2020-01-08",2,0,0,0,0,0,14,0
"9","2020-01-09",1,0,0,0,0,0,15,0
"10","2020-01-10",2,0,0,0,0,0,17,0
"11","2020-01-11",2,0,0,0,0,0,19,0
"12","2020-01-12",2,0,0,0,0,0,21,0
"13","2020-01-13",2,0,0,0,0,0,23,0
"14","2020-01-14",1,0,0,0,0,0,24,0
"15","2020-01-15",1,0,0,0,0,0,25,0
"16","2020-01-16",1,0,0,0,0,0,26,0
"17","2020-01-17",3,0,0,0,0,0,29,0
"18","2020-01-18",2,0,0,0,0,0,31,0
"19","2020-01-19",2,0,0,0,0,0,33,0
"20","2020-01-20",6,0,0,0,0,0,39,0
"21","2020-01-21",1,0,0,0,0,0,40,0
"22","2020-01-22",2,0,0,0,0,0,42,0
"23","2020-01-23",5,0,0,0,0,0,47,0
"24","2020-01-24",1,0,0,0,0,0,48,0
"25","2020-01-25",2,0,0,0,0,0,50,0
"26","2020-01-26",5,0,0,0,0,0,55,0
"27","2020-01-27",4,0,0,0,0,0,59,0
"28","2020-01-28",1,0,0,0,0,0,60,0
"29","2020-01-29",5,0,0,0,0,0,65,0
"30","2020-01-30",4,0,0,0,0,0,69,0
"31","2020-01-31",9,0,0,0,0,0,78,0
"32","2020-02-01",21,0,0,0,0,0,99,0
"33","2020-02-02",13,0,0,0,0,0,112,0
"34","2020-02-03",16,0,0,0,0,0,128,0
"35","2020-02-04",10,0,0,0,0,0,138,0
"36","2020-02-05",7,0,0,0,0,0,145,0
"37","2020-02-06",11,0,0,0,0,0,156,0
"38","2020-02-07",15,0,0,0,0,0,171,0
"39","2020-02-08",9,0,0,0,0,0,180,0
"40","2020-02-09",3,0,0,0,0,0,183,0
"41","2020-02-10",22,0,0,0,0,0,205,0
"42","2020-02-11",15,0,0,0,0,0,220,0
"43","2020-02-12",25,0,0,0,0,0,245,0
"44","2020-02-13",25,1,128.220706789364,128.220706789364,128.220706789364,128.220706789364,270,1
"45","2020-02-14",19,0,6.02527226852936,134.245979057893,134.245979057893,134.245979057893,289,1
"46","2020-02-15",34,0,16.9800817993881,151.226060857281,151.226060857281,151.226060857281,323,1
"47","2020-02-16",25,0,0,151.226060857281,151.226060857281,147.982509578087,348,1
"48","2020-02-17",28,0,0,151.226060857281,151.226060857281,154.217843075435,376,1
"49","2020-02-18",28,0,0,151.226060857281,151.226060857281,148.458878435236,404,1
"50","2020-02-19",18,0,0,151.226060857281,151.226060857281,142.457988530113,422,1
"51","2020-02-20",57,0,0,151.226060857281,151.226060857281,145.347967517885,479,1
"52","2020-02-21",61,0,0,151.226060857281,151.226060857281,143.480766168025,540,1
"53","2020-02-22",60,0,0,151.226060857281,151.226060857281,141.309987927358,600,1
"54","2020-02-23",75,0,0,151.226060857281,151.226060857281,149.364781673652,675,1
"55","2020-02-24",108,0,0,151.226060857281,151.226060857281,184.867966309217,783,1
"56","2020-02-25",132,0,40.2376548846208,191.463715741902,63.2430089525383,195.009574242425,915,1
"57","2020-02-26",152,0,7.89884788445053,199.362563626353,65.1165845684595,199.362563626353,1067,1
"58","2020-02-27",184,0,16.9352395993702,216.297803225723,65.0717423684415,216.297803225723,1251,1
"59","2020-02-28",321,0,24.8931504725062,241.190953698229,89.9648928409477,241.190953698229,1572,1
"60","2020-02-29",244,0,0,241.190953698229,89.9648928409477,239.595057470037,1816,1
"61","2020-03-01",689,0,30.0790480618814,271.27000176011,120.043940902829,272.865897988302,2505,1
"62","2020-03-02",803,0,19.4249934508221,162.474288421569,139.468934353651,290.694995210932,3308,1
"63","2020-03-03",795,1,335.48842794475,491.937444097789,474.957362298401,617.366865707865,4103,2
"64","2020-03-04",947,2,1414.06152278502,1889.01888508342,1889.01888508342,2022.81491544394,5050,4
"65","2020-03-05",1281,1,366.463918702309,2255.48280378573,2255.48280378573,2121.19054942738,6331,5
"66","2020-03-06",1621,3,1088.53650372964,3344.01930751537,3344.01930751537,3073.49412525805,7952,8
"67","2020-03-07",1855,3,865.706282343617,4209.72558985899,4209.72558985899,4081.49160679018,9807,11
"68","2020-03-08",2188,14,4846.06872532287,9055.79431518185,9015.55666029723,8771.10044189183,11995,25
"69","2020-03-09",3390,16,5364.2151502802,14420.0094654621,14371.872962693,14613.345735217,15385,41
"70","2020-03-10",4661,26,10131.8288924607,24551.8383579227,24486.7666155543,24713.7290138852,20046,67
"71","2020-03-11",4729,35,11937.9385769541,36489.7769348769,36399.8120420359,36990.1990486721,24775,102
"72","2020-03-12",5937,56,19263.5800316347,55753.3569665116,55663.3920736706,56622.8088800936,30712,158
"73","2020-03-13",7805,79,28618.4404765468,84371.7974430584,84251.7535021556,84792.9584448825,38517,237
"74","2020-03-14",7443,104,32815.8669818795,117147.426770053,117048.195490584,117169.752502143,45960,341
"75","2020-03-15",7924,129,34308.6033178434,151448.131240012,151021.310380483,151519.202909779,53884,470
"76","2020-03-16",9462,178,46981.1105369594,198412.306537372,196588.359394658,198352.908993316,63346,648
"77","2020-03-17",8820,186,40340.0509810709,238727.46436797,236561.946457025,238480.628478031,72166,834
"78","2020-03-18",8943,238,47441.0790142478,286168.543382219,282914.488967544,285870.569451396,81109,1072
"79","2020-03-19",8645,314,55801.2221904797,341939.686524636,337850.00487568,342728.833397597,89754,1386
