"","date","total_cases","total_deaths","total_cases_daily","total_cases_active","total_cases_active_undetected","total_cum_cases","total_cum_deaths"
"1","2020-02-25",1,0,1,1,0,1,0
"2","2020-02-26",0,0,0,1,0,1,0
"3","2020-02-27",0,0,0,1,0,1,0
"4","2020-02-28",1,0,1,2,0,2,0
"5","2020-02-29",0,0,0,2,0,2,0
"6","2020-03-01",0,0,0,2,0,2,0
"7","2020-03-02",0,0,0,2,0,2,0
"8","2020-03-03",0,0,0,2,0,2,0
"9","2020-03-04",1,0,1,3,0,3,0
"10","2020-03-05",5,0,5,8,0,8,0
"11","2020-03-06",6,0,6,14,0,14,0
"12","2020-03-07",5,0,5,19,0,19,0
"13","2020-03-08",6,0,6,25,0,25,0
"14","2020-03-09",0,0,0,25,0,25,0
"15","2020-03-10",4,0,4,29,0,29,0
"16","2020-03-11",14,0,14,43,0,43,0
"17","2020-03-12",46,0,46,89,0,89,0
"18","2020-03-13",7,0,7,96,0,96,0
"19","2020-03-14",40,0,40,135,0,136,0
"20","2020-03-15",19,0,19,154,0,155,0
"21","2020-03-16",125,0,125,279,0,280,0
"22","2020-03-17",47,1,72.4340360947742,350.434036094774,25.4340360947742,327,1
"23","2020-03-18",187,2,635.573827236598,986.007863331372,474.007863331372,514,3
"24","2020-03-19",128,4,514.763528537665,1500.77139186904,860.771391869037,642,7
"25","2020-03-20",288,4,1421.60856081798,2922.37995268702,1994.37995268702,930,11
"26","2020-03-21",202,7,830.181031705521,3752.56098439254,2622.56098439254,1132,18
"27","2020-03-22",462,7,4546.2822468636,8297.84323125614,6706.84323125614,1594,25
"28","2020-03-23",358,9,2570.04278076485,10862.886012021,8918.886012021,1952,34
"29","2020-03-24",303,13,2322.57929095653,13179.4653029775,10938.4653029775,2255,47
"30","2020-03-25",310,12,1901.30213170178,15075.7674346793,12529.7674346793,2565,59
"31","2020-03-26",422,18,3959.15432535346,19028.9217600328,16066.9217600328,2987,77
"32","2020-03-27",489,16,3910.47420267324,22939.395962706,19488.395962706,3476,93
"33","2020-03-28",477,22,4533.01250919414,27468.4084719002,23544.4084719002,3953,115
"34","2020-03-29",350,22,1745.53143930861,29199.9399112088,24939.9399112088,4303,137
"35","2020-03-30",357,29,2647.19927972865,31801.1391909374,27230.1391909374,4660,166
"36","2020-03-31",1164,36,14829.3206099604,46623.4598008979,40895.4598008979,5824,202
"37","2020-04-01",1107,42,13101.2080117265,59684.6678126244,52889.6678126244,6931,244
"38","2020-04-02",1167,61,12601.1712463019,72266.8390589263,64323.8390589263,8098,305
"39","2020-04-03",1114,60,12808.3899358463,84950.2289947726,76018.2289947726,9212,365
"40","2020-04-04",1169,80,12719.4707819136,97597.2657405915,87543.2657405915,10381,445
"41","2020-04-05",1040,51,9516.51395461384,106478.205867969,95571.2058679687,11421,496
"42","2020-04-06",840,73,8758.86154490012,114722.303884331,103103.303884331,12261,569
"43","2020-04-07",1821,122,23635.9602173567,136936.65554087,123784.65554087,14082,691
"44","2020-04-08",2173,135,27257.7855545385,163364.260063703,148241.260063703,16255,826
