"","horizon","mse","rmse","mae","coverage"
"1",1,1.77794727219203,1.33339689222378,1.17785450435953,0.371428571428571
"2",2,1.91544478841382,1.38399594956554,1.19027890514131,0.4
"3",3,1.6697799568892,1.29219965829171,1.1412793571904,0.371428571428571
"4",4,2.18394358413683,1.47781716871094,1.27563336340708,0.371428571428571
"5",5,1.7708434650012,1.33073042536841,1.16299367579136,0.371428571428571
"6",6,2.269935727875,1.50663058772713,1.31901546537352,0.342857142857143
"7",7,1.69750352133965,1.30288277344497,1.13931222572163,0.371428571428571
