"","horizon","mse","rmse","mae","coverage"
"1",1,0.229366928002335,0.478922674345593,0.394323250029685,0.961538461538462
"2",2,0.242979940132013,0.492929954589912,0.397398542041762,0.961538461538462
"3",3,0.297999060646106,0.545892902175973,0.45002786497914,0.961538461538462
"4",4,0.248486270000783,0.498483971658852,0.401150780389979,0.961538461538462
"5",5,0.192956440532871,0.439268073655337,0.398421648071817,1
"6",6,0.202203936854542,0.449670920623674,0.37229293093991,0.961538461538462
"7",7,0.144980136496642,0.380762572342191,0.350666802934051,1
