"","horizon","mse","rmse","mae","mape","coverage"
"1",1,27.3641050239467,5.23107111631516,4.04149978727285,0.433110815847923,0.352941176470588
"2",2,22.5797277431252,4.75181310060962,3.76954160647654,0.516882165539825,0.294117647058824
"3",3,31.6655042631673,5.6272110555023,4.40765601222625,0.473077544510088,0.352941176470588
"4",4,28.4033751063795,5.32948169209535,4.13512193556913,0.560879054872772,0.313725490196078
"5",5,33.4927141230805,5.78728901326696,4.48316285216518,0.471507271741865,0.274509803921569
"6",6,30.9948299747804,5.56730006150022,4.18268859414835,0.572595068250926,0.411764705882353
"7",7,37.7718668497779,6.14588210509914,4.89941395019471,0.497680207246912,0.352941176470588
