"","horizon","mse","rmse","mae","coverage"
"1",1,11.6001262297681,3.4058958043029,2.1709394363473,0.88
"2",2,4.96649431050177,2.22856328393469,1.80068336224644,0.96
"3",3,10.7614704437415,3.28046802205745,2.08019602631507,0.94
"4",4,5.14522696946531,2.26830927553218,1.78033896088171,0.94
"5",5,10.71816460764,3.27386081066987,2.06352164913221,0.92
"6",6,4.73461858720558,2.17591787234849,1.73567619647378,0.94
"7",7,10.0478628077246,3.16983640078232,1.97800239733511,0.92
