"","horizon","mse","rmse","mae","mape","coverage"
"1",1,44140.4497608918,210.096286880306,117.637529115049,0.915318491560581,0.630434782608696
"2",2,51117.2325541533,226.091204061886,124.447114149986,0.911630964916408,0.652173913043478
"3",3,56388.037750618,237.461655326956,133.225161451986,0.921945848070196,0.630434782608696
"4",4,60436.9354108066,245.839247092092,138.885584439189,0.920468494438054,0.608695652173913
"5",5,68157.5658218129,261.070040069352,152.609262963013,0.943196070420303,0.58695652173913
"6",6,71536.4850365278,267.463053591571,156.384067373903,0.926132985398124,0.58695652173913
"7",7,73841.3647689211,271.737676388316,159.746859016803,0.944730171387252,0.58695652173913
