"","horizon","mse","rmse","mae","coverage"
"1",1,4.29985038675487,2.07360806006219,1.79717103743409,0.441176470588235
"2",2,8.53366585412776,2.92124388816267,2.2330192766945,0.470588235294118
"3",3,4.40159929326345,2.09799887827984,1.82002654343053,0.441176470588235
"4",4,8.47652255623958,2.91144681494263,2.17661835834197,0.470588235294118
"5",5,4.30920549024819,2.07586258944281,1.79733515699359,0.441176470588235
"6",6,8.77028455545801,2.96146662237784,2.24997188200282,0.470588235294118
"7",7,5.0242046913931,2.24147377664632,1.94069292807761,0.411764705882353
