"","date","ccaa","reg_code","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"1",2020-01-31,"La Rioja","ESRI",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,316798
"2",2020-02-01,"La Rioja","ESRI",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,316798
"3",2020-02-02,"La Rioja","ESRI",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,316798
"4",2020-02-03,"La Rioja","ESRI",1,0,1,0,1,1,0,NA,NA,NA,3.15658558450495e-06,3.15658558450495e-06,0,316798
"5",2020-02-04,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"6",2020-02-05,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"7",2020-02-06,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"8",2020-02-07,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"9",2020-02-08,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"10",2020-02-09,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"11",2020-02-10,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"12",2020-02-11,"La Rioja","ESRI",0,0,1,0,0,1,0,0,NA,NA,0,3.15658558450495e-06,0,316798
"13",2020-02-12,"La Rioja","ESRI",0,0,1,0,0,1,0,0,0,NA,0,3.15658558450495e-06,0,316798
"14",2020-02-13,"La Rioja","ESRI",0,0,1,0,0,1,0,0,0,NA,0,3.15658558450495e-06,0,316798
"15",2020-02-14,"La Rioja","ESRI",0,0,1,0,0,1,0,0,0,NA,0,3.15658558450495e-06,0,316798
"16",2020-02-15,"La Rioja","ESRI",0,0,1,0,0,0,0,0,0,NA,0,0,0,316798
"17",2020-02-16,"La Rioja","ESRI",0,0,1,0,0,0,0,0,0,NA,0,0,0,316798
"18",2020-02-17,"La Rioja","ESRI",0,0,1,0,0,0,0,0,0,NA,0,0,0,316798
"19",2020-02-18,"La Rioja","ESRI",0,0,1,0,0,0,0,0,0,NA,0,0,0,316798
"20",2020-02-19,"La Rioja","ESRI",0,0,1,0,0,0,0,0,0,NA,0,0,0,316798
"21",2020-02-20,"La Rioja","ESRI",0,0,1,0,0,0,0,0,0,NA,0,0,0,316798
"22",2020-02-21,"La Rioja","ESRI",1,0,2,0,1,1,0,0,0,NA,3.15658558450495e-06,3.15658558450495e-06,0,316798
"23",2020-02-22,"La Rioja","ESRI",0,0,2,0,0,1,0,0,0,NA,0,3.15658558450495e-06,0,316798
"24",2020-02-23,"La Rioja","ESRI",1,0,3,0,1,2,0,0,0,NA,3.15658558450495e-06,6.31317116900991e-06,0,316798
"25",2020-02-24,"La Rioja","ESRI",2,0,5,0,2,4,0,0,0,NA,6.31317116900991e-06,1.26263423380198e-05,0,316798
"26",2020-02-25,"La Rioja","ESRI",2,0,7,0,2,6,0,0,0,NA,6.31317116900991e-06,1.89395135070297e-05,0,316798
"27",2020-02-26,"La Rioja","ESRI",4,0,11,0,4,10,0,0,0,NA,1.26263423380198e-05,3.15658558450495e-05,0,316798
"28",2020-02-27,"La Rioja","ESRI",9,0,20,0,9,19,0,0,0,NA,2.84092702605446e-05,5.99751261055941e-05,0,316798
"29",2020-02-28,"La Rioja","ESRI",10,0,30,0,10,29,0,0,0,NA,3.15658558450495e-05,9.15409819506436e-05,0,316798
"30",2020-02-29,"La Rioja","ESRI",13,0,43,0,13,42,0,0,0,NA,4.10356125985644e-05,0.000132576594549208,0,316798
"31",2020-03-01,"La Rioja","ESRI",22,0,65,0,22,64,0,0,0,NA,6.9444882859109e-05,0.000202021477408317,0,316798
"32",2020-03-02,"La Rioja","ESRI",30,0,95,0,30,94,0,0,0,NA,9.46975675351486e-05,0.000296719044943466,0,316798
"33",2020-03-03,"La Rioja","ESRI",28,0,123,0,28,122,0,0,0,NA,8.83843963661387e-05,0.000385103441309604,0,316798
"34",2020-03-04,"La Rioja","ESRI",25,0,148,0,25,146,0,0,0,NA,7.89146396126238e-05,0.000460861495337723,0,316798
"35",2020-03-05,"La Rioja","ESRI",27,0,175,0,27,173,0,0,0,NA,8.52278107816337e-05,0.000546089306119357,0,316798
"36",2020-03-06,"La Rioja","ESRI",45,0,220,0,45,217,0,0,0,NA,0.000142046351302723,0.000684979071837575,0,316798
"37",2020-03-07,"La Rioja","ESRI",39,0,259,0,39,254,0,0,0,NA,0.000123106837795693,0.000801772738464258,0,316798
"38",2020-03-08,"La Rioja","ESRI",41,0,300,0,41,293,0,0,0,NA,0.000129420008964703,0.000924879576259951,0,316798
"39",2020-03-09,"La Rioja","ESRI",60,1,360,1,60,349,0,0.00103783358702532,0.00014957700789382,0.00720096336679261,0.000189395135070297,0.00110164836899223,0,316798
"40",2020-03-10,"La Rioja","ESRI",88,1,448,2,129.876636684197,469.876636684197,41.8766366841967,0.00208710329734491,0.000797628466315119,0.00546118946069195,0.000605057938999229,0.00148320581785301,0.000132187187684887,316798
"41",2020-03-11,"La Rioja","ESRI",71,0,519,2,85.3926195178749,545.269256202072,56.2692562020716,0.00197036604254495,0.000750157711546826,0.00517536816839337,0.000324190207672412,0.0017211890738012,0.000177618722978275,316798
"42",2020-03-12,"La Rioja","ESRI",74,0,593,2,74,606.269256202072,56.2692562020716,0.00184457187715516,0.000700256239498805,0.00485885768390576,0.000233587333253366,0.001913740794456,0.000177618722978275,316798
"43",2020-03-13,"La Rioja","ESRI",107,1,700,3,130.7472148882,715.016471090272,80.0164710902721,0.0027000031926279,0.00141770783203946,0.00514211537486797,0.000504311282321925,0.00225701068532716,0.00025257883916651,316798
"44",2020-03-14,"La Rioja","ESRI",138,0,838,3,140.640196693467,825.656667783739,82.6566677837394,0.00269582667429018,0.0014129559835301,0.00514345920363174,0.000452436269359984,0.00260625593527655,0.000260912845989367,316798
"45",2020-03-15,"La Rioja","ESRI",111,1,949,4,126.416696619216,924.073364402955,98.0733644029552,0.0034116560446605,0.00210222140600396,0.00553671318055575,0.000454468163505754,0.00291691666109936,0.00030957696829827,316798
"46",2020-03-16,"La Rioja","ESRI",157,2,1106,6,225.760271155545,1124.8336355585,166.8336355585,0.00502019470660367,0.0036378855688699,0.00692774811496902,0.00102473826240188,0.00355063363897026,0.000526624649014514,316798
"47",2020-03-17,"La Rioja","ESRI",122,0,1228,6,148.490870701363,1246.32450625986,193.324506259863,0.00471797742816913,0.00341546699792558,0.0065172086353734,0.000570502097930138,0.00393412997007513,0.00061024534959142,316798
"48",2020-03-18,"La Rioja","ESRI",143,0,1371,6,148.251804524629,1349.57631078449,198.576310784491,0.00448661676148857,0.00324534141296128,0.00620265402095317,0.000485156113129924,0.0042600531278117,0.000626823120046501,316798
"49",2020-03-19,"La Rioja","ESRI",168,4,1539,10,249.294810187872,1559.87112097236,279.871120972363,0.00720875298784231,0.00593829990051377,0.00875100963412598,0.00116770936179038,0.00492386669414694,0.000883437145980603,316798
"50",2020-03-20,"La Rioja","ESRI",191,12,1730,22,539.659865689398,2058.53098666176,628.530986661761,0.0154294492981565,0.0141366787578958,0.0168404410768273,0.00481309510745925,0.00649792923775327,0.00198401185191119,316798
"51",2020-03-21,"La Rioja","ESRI",133,9,1863,31,461.152093197033,2459.68307985879,956.683079858794,0.0203902695526167,0.0191627290231424,0.0216964447979336,0.0050472439533231,0.00776420015233301,0.00301985201882207,316798
"52",2020-03-22,"La Rioja","ESRI",108,0,1971,31,328.244447873709,2658.05089104831,1135.05089104831,0.0189094033854229,0.0177643966271439,0.0201282117201934,0.00314911551185661,0.00839036512556363,0.00358288528036259,316798
"53",2020-03-23,"La Rioja","ESRI",158,9,2129,40,547.930082377201,3120.58835390763,1510.58835390763,0.0233056536481831,0.0222013030055448,0.0244649375684578,0.00599805952245348,0.00985040421311887,0.0047683014220659,316798
"54",2020-03-24,"La Rioja","ESRI",118,6,2247,46,419.991473434695,3466.57982734233,1812.57982734233,0.0252452169651752,0.0241970398104059,0.0263387994817733,0.00471863634640965,0.0109425559105245,0.00572156335375327,316798
"55",2020-03-25,"La Rioja","ESRI",133,13,2380,59,546.368700172697,3882.20131262682,2202.20131262682,0.0308623290183446,0.0298537149809129,0.0319050192930939,0.00708496243279624,0.012254500699584,0.00695143691761572,316798
"56",2020-03-26,"La Rioja","ESRI",114,9,2494,68,489.525790167381,4231.08690610074,2575.08690610074,0.0338052960605216,0.0328388338060323,0.034800201751671,0.00663535054766203,0.0133557879345853,0.00812848220664505,316798
"57",2020-03-27,"La Rioja","ESRI",129,6,2623,74,550.658868285453,4655.32907776698,2981.32907776698,0.0353434375273966,0.0344082809911421,0.0363040099729064,0.00741981597794656,0.014694944658006,0.00941082038954468,316798
"58",2020-03-28,"La Rioja","ESRI",100,6,2723,80,424.328010789351,4853.89681740078,3236.89681740078,0.0364726157797525,0.035573717017807,0.0373942284735544,0.00568356683881992,0.0153217407224818,0.0102175418323373,316798
"59",2020-03-29,"La Rioja","ESRI",87,7,2810,87,371.362739139389,5076.76868583881,3494.76868583881,0.0378619486880571,0.0369976871209442,0.0387463993025001,0.00500374269535654,0.0160252548495849,0.0110315364548981,316798
"60",2020-03-30,"La Rioja","ESRI",117,10,2927,97,518.102236862966,5446.61911817714,3890.61911817714,0.0409138074421793,0.0400691596327944,0.0417762602149935,0.00724206872373548,0.0171927193927271,0.0122810722232373,316798
"61",2020-03-31,"La Rioja","ESRI",108,13,3035,110,507.354754474465,5704.67906246374,4208.67906246374,0.0450053603449961,0.044178087379992,0.0458481247130738,0.00752345421676122,0.0180073076928003,0.0132850556583809,316798
"62",2020-04-01,"La Rioja","ESRI",108,6,3143,116,502.776382436691,5667.79557921103,4254.79557921103,0.0461862884118037,0.0453759483443177,0.0470110998247698,0.00738828348898007,0.0178908818212584,0.0134306263903529,316798
"63",2020-04-02,"La Rioja","ESRI",100,15,3243,131,495.97006998197,5702.61355599597,4322.61355599597,0.0507714990925299,0.0499742495388243,0.0515814673334944,0.00776476841135108,0.0180007877448594,0.0136446996382426,316798
"64",2020-04-03,"La Rioja","ESRI",79,16,3322,147,416.22695524396,5790.59606336622,4439.59606336622,0.0552484766406048,0.0544665786818081,0.0560415991784511,0.00692230740938772,0.0182785120593129,0.0140139649346467,316798
"65",2020-04-04,"La Rioja","ESRI",55,11,3377,158,295.841459824144,5538.50744081316,4290.50744081316,0.0573383216851194,0.0565765876414631,0.0581103115391286,0.00502311305631984,0.0174827727473442,0.0135433539378821,316798
"66",2020-04-05,"La Rioja","ESRI",36,11,3413,169,197.424340311983,5315.94030769045,4149.94030769045,0.0590815733163296,0.0583412682937774,0.0598312722300748,0.00341756244845309,0.0167802205433445,0.0130996417518117,316798
"67",2020-04-06,"La Rioja","ESRI",41,14,3454,183,232.943234188928,5002.51484170668,3928.51484170668,0.0619449841692273,0.0612207707372543,0.0626777647114921,0.00417766790797967,0.0157908662356034,0.0124006933178451,316798
"68",2020-04-07,"La Rioja","ESRI",52,15,3506,198,307.004868142725,4819.99391968202,3807.99391968202,0.0653388368630675,0.0646252179713234,0.0660603358353536,0.00572143211515833,0.0152147233242698,0.0120202587127508,316798
"69",2020-04-08,"La Rioja","ESRI",45,15,3551,213,275.453761421848,4544.78881281842,3616.78881281842,0.0686126881278698,0.0679086395178431,0.0693240360218876,0.00532233822193351,0.014346014851162,0.0114167034287414,316798
"70",2020-04-09,"La Rioja","ESRI",44,7,3595,220,268.925111970125,4389.38591399919,3517.38591399919,0.0693577738332686,0.0686644216706266,0.0700581272523072,0.00518833020698481,0.013855472300959,0.0111029296712706,316798
"71",2020-04-10,"La Rioja","ESRI",40,9,3635,229,246.667481738353,4264.69065659816,3439.69065659816,0.0707577301718218,0.0700732903449385,0.0714488552545896,0.004801549137553,0.0134618610489907,0.0108576779417741,316798
"72",2020-04-11,"La Rioja","ESRI",25,4,3660,233,152.406565960073,3898.99498569527,3165.99498569527,0.070430751635284,0.0697582749791965,0.0711097110327111,0.00293281666522417,0.0123075113659028,0.00999373413246064,316798
"73",2020-04-12,"La Rioja","ESRI",22,5,3682,238,133.400137154912,3525.04036837571,2878.04036837571,0.0704749778901819,0.0698131303412448,0.0711430999347031,0.00255333289422587,0.0111270916116128,0.0090847807384381,316798
"74",2020-04-13,"La Rioja","ESRI",29,12,3711,250,180.24874443182,3202.51273037084,2634.51273037084,0.0728086156267621,0.0721521573338691,0.0734710465406582,0.00353642186756746,0.0101090055188822,0.00831606490688338,316798
"75",2020-04-14,"La Rioja","ESRI",24,11,3735,261,152.274597442696,2858.81725783157,2366.81725783157,0.0748039262464396,0.0741528719142961,0.075460696766405,0.0030497289842864,0.0090241013448051,0.00747106123722867,316798
"76",2020-04-15,"La Rioja","ESRI",16,8,3751,269,102.484855212554,2545.07515780016,2116.07515780016,0.0758410509027618,0.0751967548972559,0.0764908673239197,0.00207212986428619,0.00803374755459365,0.00667957233884103,316798
"77",2020-04-16,"La Rioja","ESRI",29,8,3780,277,187.666293220427,2436.89999119644,2033.89999119644,0.0772142836557022,0.076573495568581,0.0778604340339079,0.00383347047548578,0.00769228338309094,0.00642017939253545,316798
"78",2020-04-17,"La Rioja","ESRI",25,8,3805,285,163.551749455467,2403.02740033993,2011.02740033993,0.0785755474059876,0.0779380831294871,0.0792182255739195,0.00337744237652306,0.00758536165108343,0.00634798010195749,316798
"79",2020-04-18,"La Rioja","ESRI",17,5,3822,290,111.332263559654,2281.41642971065,1913.41642971065,0.079009692077861,0.0783772100896249,0.079647278017424,0.00230149865572463,0.00720148621427741,0.00603986271917958,316798
"80",2020-04-19,"La Rioja","ESRI",14,8,3836,298,92.7913906623379,2067.20295223027,1737.20295223027,0.0802556867198675,0.0796269452252556,0.0808893928136603,0.00194135473912863,0.00652530303925614,0.0054836297963695,316798
