"","date","ccaa","reg_code","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"1",2020-01-31,"Madrid","ESMD",4,0,4,0,4,4,0,NA,NA,NA,6.002946846607e-07,6.002946846607e-07,0,6663394
"2",2020-02-01,"Madrid","ESMD",8,0,12,0,8,12,0,0,NA,NA,1.2005893693214e-06,1.8008840539821e-06,0,6663394
"3",2020-02-02,"Madrid","ESMD",6,0,18,0,6,18,0,0,NA,NA,9.0044202699105e-07,2.70132608097315e-06,0,6663394
"4",2020-02-03,"Madrid","ESMD",7,0,25,0,7,25,0,0,0,NA,1.05051569815622e-06,3.75184177912937e-06,0,6663394
"5",2020-02-04,"Madrid","ESMD",3,0,28,0,3,28,0,0,0,NA,4.50221013495525e-07,4.2020627926249e-06,0,6663394
"6",2020-02-05,"Madrid","ESMD",4,0,32,0,4,32,0,0,0,NA,6.002946846607e-07,4.8023574772856e-06,0,6663394
"7",2020-02-06,"Madrid","ESMD",4,0,36,0,4,36,0,0,0,NA,6.002946846607e-07,5.4026521619463e-06,0,6663394
"8",2020-02-07,"Madrid","ESMD",9,0,45,0,9,45,0,0,0,NA,1.35066304048657e-06,6.75331520243287e-06,0,6663394
"9",2020-02-08,"Madrid","ESMD",8,0,53,0,8,53,0,0,0,NA,1.2005893693214e-06,7.95390457175427e-06,0,6663394
"10",2020-02-09,"Madrid","ESMD",2,0,55,0,2,55,0,0,0,NA,3.0014734233035e-07,8.25405191408462e-06,0,6663394
"11",2020-02-10,"Madrid","ESMD",11,0,66,0,11,66,0,0,0,NA,1.65081038281692e-06,9.90486229690155e-06,0,6663394
"12",2020-02-11,"Madrid","ESMD",9,0,75,0,9,75,0,0,0,NA,1.35066304048657e-06,1.12555253373881e-05,0,6663394
"13",2020-02-12,"Madrid","ESMD",10,0,85,0,10,81,0,0,0,NA,1.50073671165175e-06,1.21559673643792e-05,0,6663394
"14",2020-02-13,"Madrid","ESMD",15,0,100,0,15,88,0,0,0,NA,2.25110506747762e-06,1.32064830625354e-05,0,6663394
"15",2020-02-14,"Madrid","ESMD",11,0,111,0,11,93,0,0,0,NA,1.65081038281692e-06,1.39568514183613e-05,0,6663394
"16",2020-02-15,"Madrid","ESMD",12,0,123,0,12,98,0,0,0,NA,1.8008840539821e-06,1.47072197741871e-05,0,6663394
"17",2020-02-16,"Madrid","ESMD",15,0,138,0,15,110,0,0,0,NA,2.25110506747762e-06,1.65081038281692e-05,0,6663394
"18",2020-02-17,"Madrid","ESMD",18,0,156,0,18,124,0,0,0,NA,2.70132608097315e-06,1.86091352244817e-05,0,6663394
"19",2020-02-18,"Madrid","ESMD",14,0,170,0,14,134,0,0,0,NA,2.10103139631245e-06,2.01098719361334e-05,0,6663394
"20",2020-02-19,"Madrid","ESMD",12,0,182,0,12,137,0,0,0,NA,1.8008840539821e-06,2.0560092949629e-05,0,6663394
"21",2020-02-20,"Madrid","ESMD",24,0,206,0,24,153,0,0,0,NA,3.6017681079642e-06,2.29612716882718e-05,0,6663394
"22",2020-02-21,"Madrid","ESMD",27,0,233,0,27,178,0,0,0,NA,4.05198912145972e-06,2.67131134674011e-05,0,6663394
"23",2020-02-22,"Madrid","ESMD",30,0,263,0,30,197,0,0,0,NA,4.50221013495525e-06,2.95645132195395e-05,0,6663394
"24",2020-02-23,"Madrid","ESMD",44,0,307,0,44,232,0,0,0,NA,6.6032415312677e-06,3.48170917103206e-05,0,6663394
"25",2020-02-24,"Madrid","ESMD",57,0,364,0,57,279,0,0,0,NA,8.55419925641497e-06,4.18705542550838e-05,0,6663394
"26",2020-02-25,"Madrid","ESMD",52,0,416,0,52,316,0,0,0,NA,7.8038309005891e-06,4.74232800881953e-05,0,6663394
"27",2020-02-26,"Madrid","ESMD",69,0,485,0,69,374,0,0,0,NA,1.03550833103971e-05,5.61275530157754e-05,0,6663394
"28",2020-02-27,"Madrid","ESMD",96,0,581,0,96,458,0,0,0,NA,1.44070724318568e-05,6.87337413936501e-05,0,6663394
"29",2020-02-28,"Madrid","ESMD",162,0,743,0,162,605,0,0,0,NA,2.43119347287583e-05,9.07945710549309e-05,0,6663394
"30",2020-02-29,"Madrid","ESMD",109,0,852,0,109,696,0,0,0,NA,1.63580301570041e-05,0.000104451275130962,0,6663394
"31",2020-03-01,"Madrid","ESMD",325,0,1177,0,325,1007,0,0,0,NA,4.87739431286819e-05,0.000151124186863331,0,6663394
"32",2020-03-02,"Madrid","ESMD",383,0,1560,0,383,1378,0,0,0,NA,5.7478216056262e-05,0.000206801518865611,0,6663394
"33",2020-03-03,"Madrid","ESMD",399,1,1959,1,399,1753,0,5.43368092960442e-05,7.67764140582171e-06,0.000384556752316654,5.98793947949048e-05,0.000263079145552552,0,6663394
"34",2020-03-04,"Madrid","ESMD",463,0,2422,1,463,2189,0,5.45326380658853e-05,7.69805626240926e-06,0.00038630642762984,6.9484109749476e-05,0.000328511266180568,0,6663394
"35",2020-03-05,"Madrid","ESMD",651,1,3073,2,651,2810,0,0.000111319950393124,4.18371903062333e-05,0.000296198938428264,9.76979599285289e-05,0.000421707015974142,0,6663394
"36",2020-03-06,"Madrid","ESMD",791,2,3864,4,791,3557,0,0.000224299782804787,0.000137511947211086,0.000365861974807514,0.000118708273891653,0.000533812048334527,0,6663394
"37",2020-03-07,"Madrid","ESMD",843,1,4707,5,843,4343,0,0.000272849203291018,0.000184402216741217,0.000403719049869227,0.000126512104792243,0.000651769953870355,0,6663394
"38",2020-03-08,"Madrid","ESMD",1055,10,5762,15,1055,5346,0,0.000800691288899124,0.000702460246832217,0.000912658820210887,0.00015832772307926,0.000802293846049025,0,6663394
"39",2020-03-09,"Madrid","ESMD",1523,9,7285,24,1809.42518895543,7086.42518895543,286.425188955427,0.00129889723156039,0.0011963775209789,0.00141020203787748,0.000322615973733678,0.00106348584354391,4.29848796207199e-05,6663394
"40",2020-03-10,"Madrid","ESMD",1991,23,9276,47,3722.59854479752,10713.0237337529,2018.02373375295,0.00260279635423269,0.00249445559680447,0.00271584263527702,0.00104454138860186,0.00160774280100395,0.000302852230222758,6663394
"41",2020-03-11,"Madrid","ESMD",1973,25,11249,72,4533.51143654981,15084.5351703028,4578.53517030275,0.00387905603928496,0.00377101115133321,0.00399019656852337,0.00156331628741363,0.00226379157082753,0.000687117581566204,6663394
