"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_past_smooth"
1,"2020-04-07",0.00178571428571429,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.00178571428571429
2,"2020-04-08",0.0033921302578019,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0033921302578019
3,"2020-04-09",0.0071609098567818,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0071609098567818
4,"2020-04-10",0.00740362522338524,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.00740362522338524
5,"2020-04-11",0.00312963267995388,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.00312963267995388
6,"2020-04-12",0.0100072780203785,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0100072780203785
7,"2020-04-13",0.0181430096051227,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0181430096051227
8,"2020-04-14",0.0134572252483178,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0134572252483178
9,"2020-04-15",0.0134572252483178,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0134572252483178
10,"2020-04-16",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0127181307305531
11,"2020-04-17",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0127181307305531
12,"2020-04-18",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0127181307305531
13,"2020-04-19",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0127181307305531
14,"2020-04-20",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0127181307305531
15,"2020-04-21",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0127181307305531
16,"2020-04-22",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0152709572250416
17,"2020-04-23",0.0127181307305531,0,0,0,0.00586476976194384,0.00501912418030569,0.00671041534358199,0.0135404145319975
