"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_stillsick_smooth","p_cases_stillsick_smooth_low","p_cases_stillsick_smooth_high"
2020-03-20,0.00801083154688029,0,0,0,1.78857844894755e-07,-3.31192413287283e-07,6.88908103076792e-07,6.68022031985232e+40,-4.29867242155734e+42,4.43227682795439e+42,1.33604390886949e+41,-8.59734383648468e+42,8.86455261825858e+42
2020-03-21,0.00672268907563025,0,0,0,1.87710700761523e-07,-3.45025283140885e-07,7.20446684663931e-07,4.30707261273934e+40,-2.75907238183297e+42,2.84521383408776e+42,8.61414422990646e+40,-5.51814412041242e+42,5.69042700501055e+42
2020-03-22,0.0126849894291755,0,0,0,1.97001742955981e-07,-3.59419194875947e-07,7.53422680787909e-07,2.77698542910041e+40,-1.77085469339834e+42,1.82639440198035e+42,5.55397021916924e+40,-3.54170897576335e+42,3.65278838014674e+42
2020-03-23,0.00482218203737191,0,0,0,2.06752660230285e-07,-3.74395970107893e-07,7.87901290568462e-07,1.79046158883559e+40,-1.13656366660673e+42,1.17237289838344e+42,3.58092276750193e+40,-2.27312707057744e+42,2.34474552592748e+42
2020-03-24,0.00628053035589672,0,0,0,2.16986214858485e-07,-3.89978226302975e-07,8.23950656019946e-07,1.15440025990131e+40,-7.29450013404283e+41,7.52538018602309e+41,2.30880025653641e+40,-1.45889985900011e+42,1.50507586413084e+42
2020-03-25,0.00876095118898623,0,0,0,2.27726295772451e-07,-4.06189401938033e-07,8.61641993482934e-07,7.44299664606039e+39,-4.68153363101048e+41,4.83039356393169e+41,1.48859916023867e+40,-9.36306618987073e+41,9.66078602191846e+41
2020-03-26,0.00876095118898623,0,0,0,2.38997974327837e-07,-4.23053782160822e-07,9.01049730816496e-07,4.79887271317808e+39,-3.0044952158887e+41,3.10047267015227e+41,9.59774434184879e+39,-6.00898974679527e+41,6.20094463363225e+41
2020-03-27,0.01468788249694,0,0,0,2.50827562830312e-07,-4.40596524943821e-07,9.42251650604445e-07,3.09407358519697e+39,-1.92817105184378e+41,1.99005252354772e+41,6.18814647434859e+39,-3.85634166608025e+41,3.98010459556722e+41
2020-03-28,0.014405762304922,0,0,0,2.63242675958651e-07,-4.58843687724485e-07,9.85329039641788e-07,1.99490420413219e+39,-1.23740020966908e+41,1.27729829375173e+41,3.9898079615461e+39,-2.47480013978024e+41,2.55459629901116e+41
2020-03-29,0.00491159135559921,0,0,0,2.76272295228084e-07,-4.77822254525392e-07,1.03036684498156e-06,1.28621465329852e+39,-7.94081922263988e+40,8.19806215329958e+40,2.57242901990184e+39,-1.58816366594493e+41,1.63961224634297e+41
2020-03-30,0.00366300366300366,0,0,0,2.89946836644391e-07,-4.97560163548672e-07,1.07745383683745e-06,8.29287005828679e+38,-5.09578200172839e+40,5.26163940289413e+40,1.65857382766576e+39,-1.01915628627078e+41,1.0523277628241e+41
2020-03-31,0.00628140703517588,0,0,0,3.04298221706658e-07,-5.18086335240594e-07,1.12668277865391e-06,5.3468286671484e+38,-3.2699919882333e+40,3.37692856157627e+40,1.06936561535245e+39,-6.53998324781313e+40,6.75385637088362e+40
2020-04-01,0.0050761421319797,0,0,0,3.19359951924475e-07,-5.39430700824413e-07,1.17815060467336e-06,3.44736823257863e+38,-2.0983250303226e+40,2.16727239497418e+40,6.89473570740931e+38,-4.19664959523831e+40,4.3345443093865e+40
2020-04-02,0.0051150895140665,0,0,0,3.35167187023498e-07,-5.61624231302535e-07,1.23195860534953e-06,2.22269095772816e+38,-1.34644607616343e+40,1.39089989531799e+40,4.44538142919023e+38,-2.69289185507436e+40,2.78179948365816e+40
2020-04-03,0.0119617224880383,0,0,0,3.51756827021951e-07,-5.84698966933052e-07,1.28821262097695e-06,1.43308018182635e+38,-8.63963122135482e+39,8.92624725772009e+39,2.86616005161052e+38,-1.72792605442623e+40,1.78524925545844e+40
2020-04-04,0.0150187734668335,0,0,0,3.69167598369685e-07,-6.08688047190797e-07,1.34702324393017e-06,9.23978567691988e+37,-5.54359361211273e+39,5.72838932565113e+39,1.84795693514758e+38,-1.10871860118083e+40,1.14567773988378e+40
2020-04-05,0.0173913043478261,0,0,0,3.87440144350843e-07,-6.33625741229456e-07,1.40850602993114e-06,5.9573525918564e+37,-3.55694712083943e+39,3.67609417267656e+39,1.19147038988316e+38,-7.11389346742057e+39,7.3521875453972e+39
2020-04-06,0.0125348189415042,0,0,0,4.06617119961213e-07,-6.59547478869334e-07,1.47278171879176e-06,3.84100358435244e+37,-2.28219723959839e+39,2.35901731128544e+39,7.6820063442387e+37,-4.5643939847728e+39,4.71803411165757e+39
2020-04-07,0.0125348189415042,0,0,0,4.26743291481704e-07,-6.86489882145022e-07,1.53997646510843e-06,2.47648738387176e+37,-1.46426130590663e+39,1.51379105358407e+39,4.95297423872277e+37,-2.92852229609987e+39,3.02758178087433e+39
2020-04-08,0.0126404494382022,0,0,0,4.47865640980442e-07,-7.14490797459217e-07,1.6102220794201e-06,1.59671544891571e+37,-9.39449712210926e+38,9.7138402118924e+38,3.19343055839182e+37,-1.87889922283316e+39,1.942767834001e+39
2020-04-09,0.00930851063829787,0,0,0,4.70033475987385e-07,-7.43589328403113e-07,1.68365628037788e-06,1.0294824199024e+37,-6.02723226136939e+38,6.23312874534987e+38,2.05896462201269e+37,-1.20544632356196e+39,1.24662561600221e+39
