"","cutoff","predType"
"1",2020-09-10,"nearFuture"
"2",2020-09-10,"farFuture"
"3",2020-09-10,"nearFar"
"4",2020-09-11,"nearFuture"
"5",2020-09-11,"farFuture"
"6",2020-09-11,"nearFar"
"7",2020-09-12,"nearFuture"
"8",2020-09-12,"farFuture"
"9",2020-09-12,"nearFar"
"10",2020-09-13,"nearFuture"
"11",2020-09-13,"farFuture"
"12",2020-09-13,"nearFar"
"13",2020-09-14,"nearFuture"
"14",2020-09-14,"farFuture"
"15",2020-09-14,"nearFar"
"16",2020-09-15,"nearFuture"
"17",2020-09-15,"farFuture"
"18",2020-09-15,"nearFar"
"19",2020-09-16,"nearFuture"
"20",2020-09-16,"farFuture"
"21",2020-09-16,"nearFar"
"22",2020-09-17,"nearFuture"
"23",2020-09-17,"farFuture"
"24",2020-09-17,"nearFar"
"25",2020-09-18,"nearFuture"
"26",2020-09-18,"farFuture"
"27",2020-09-18,"nearFar"
"28",2020-09-19,"nearFuture"
"29",2020-09-19,"nearFar"
"30",2020-09-20,"nearFuture"
"31",2020-09-20,"farFuture"
"32",2020-09-20,"nearFar"
"33",2020-09-21,"nearFuture"
"34",2020-09-21,"farFuture"
"35",2020-09-21,"nearFar"
"36",2020-09-22,"nearFuture"
"37",2020-09-22,"farFuture"
"38",2020-09-22,"nearFar"
"39",2020-09-23,"nearFuture"
"40",2020-09-23,"farFuture"
"41",2020-09-23,"nearFar"
"42",2020-09-24,"nearFuture"
"43",2020-09-24,"nearFar"
"44",2020-09-25,"nearFuture"
"45",2020-09-25,"nearFar"
"46",2020-09-26,"nearFuture"
"47",2020-09-26,"nearFar"
"48",2020-09-27,"nearFuture"
"49",2020-09-27,"farFuture"
"50",2020-09-27,"nearFar"
"51",2020-09-28,"nearFuture"
"52",2020-09-28,"nearFar"
"53",2020-09-29,"nearFuture"
"54",2020-09-29,"nearFar"
"55",2020-09-30,"nearFuture"
"56",2020-09-30,"nearFar"
"57",2020-10-01,"nearFuture"
"58",2020-10-01,"nearFar"
"59",2020-10-02,"nearFuture"
"60",2020-10-02,"farFuture"
"61",2020-10-02,"nearFar"
"62",2020-10-03,"nearFuture"
"63",2020-10-03,"farFuture"
"64",2020-10-03,"nearFar"
"65",2020-10-04,"nearFuture"
"66",2020-10-04,"nearFar"
"67",2020-10-05,"nearFuture"
"68",2020-10-05,"nearFar"
"69",2020-10-06,"nearFuture"
"70",2020-10-06,"nearFar"
"71",2020-10-07,"nearFuture"
"72",2020-10-07,"nearFar"
"73",2020-10-08,"nearFuture"
"74",2020-10-08,"nearFar"
"75",2020-10-09,"nearFuture"
"76",2020-10-09,"nearFar"
"77",2020-10-10,"nearFuture"
"78",2020-10-10,"nearFar"
"79",2020-10-11,"nearFuture"
"80",2020-10-11,"nearFar"
"81",2020-10-12,"nearFuture"
"82",2020-10-12,"nearFar"
"83",2020-10-13,"nearFuture"
"84",2020-10-13,"nearFar"
"85",2020-10-14,"nearFuture"
"86",2020-10-14,"nearFar"
"87",2020-10-15,"nearFuture"
"88",2020-10-15,"nearFar"
"89",2020-10-16,"nearFuture"
"90",2020-10-16,"nearFar"
"91",2020-10-17,"nearFuture"
"92",2020-10-17,"nearFar"
"93",2020-10-18,"nearFuture"
"94",2020-10-18,"nearFar"
"95",2020-10-19,"nearFuture"
"96",2020-10-19,"nearFar"
"97",2020-10-20,"nearFuture"
"98",2020-10-20,"nearFar"
"99",2020-10-21,"nearFuture"
"100",2020-10-21,"nearFar"
"101",2020-10-22,"nearFuture"
"102",2020-10-22,"nearFar"
"103",2020-10-23,"nearFuture"
"104",2020-10-23,"nearFar"
"105",2020-10-24,"nearFuture"
"106",2020-10-24,"nearFar"
"107",2020-10-25,"nearFuture"
"108",2020-10-25,"nearFar"
"109",2020-10-26,"nearFuture"
"110",2020-10-26,"nearFar"
"111",2020-10-27,"nearFuture"
"112",2020-10-27,"nearFar"
"113",2020-10-28,"nearFuture"
"114",2020-10-28,"nearFar"
"115",2020-10-29,"nearFuture"
"116",2020-10-29,"nearFar"
"117",2020-10-30,"nearFuture"
"118",2020-10-30,"nearFar"
"119",2020-10-31,"nearFuture"
"120",2020-10-31,"nearFar"
"121",2020-11-01,"nearFuture"
"122",2020-11-01,"nearFar"
"123",2020-11-02,"nearFuture"
"124",2020-11-02,"nearFar"
"125",2020-11-03,"nearFuture"
"126",2020-11-03,"nearFar"
"127",2020-11-04,"nearFuture"
"128",2020-11-04,"nearFar"
"129",2020-11-05,"nearFuture"
"130",2020-11-05,"nearFar"
"131",2020-11-06,"nearFuture"
"132",2020-11-06,"nearFar"
"133",2020-11-07,"nearFuture"
"134",2020-11-07,"nearFar"
"135",2020-11-08,"nearFuture"
"136",2020-11-08,"nearFar"
"137",2020-11-09,"nearFuture"
"138",2020-11-09,"nearFar"
"139",2020-11-10,"nearFuture"
"140",2020-11-10,"nearFar"
