"","X","cutoff","date","lag","predType","fore","fore_low","fore_high","y","strawman.x","scaled_abs_err","time_value","err0","err1","err2","strawman.y","case_model","case_fb_model","lead","case_sae","fb_sae"
"1",1,"2020-09-11",2020-09-12,1,"nearFuture",70.3297580444127,116.005350212713,42.6383339864574,69,32,0.0359394056344126,2020-09-05,3.24880302149616e-06,6.69727401563753e-06,7.10160715063413e-06,9.42002119712064e-05,8.42541349340727e-05,8.38498017990761e-05,7,2.06145893466734,2.18591496734193
"2",2,"2020-09-11",2020-09-13,2,"nearFuture",23.3633134732389,35.1893221677897,15.511649069173,45,32,1.66436037403083,2020-09-06,1.45480042494196e-06,7.11686720604412e-06,9.65908454486043e-06,9.3657488496622e-05,8.50858208656359e-05,8.25436035268196e-05,7,4.89198867695413,6.63945677995371
"3",3,"2020-09-11",2020-09-14,3,"nearFuture",60.8067059705918,102.740413791957,35.9883258644562,54,32,0.309395711872549,2020-09-07,2.24627215871101e-06,4.55877654716546e-06,7.347737881113e-06,9.44941871866091e-05,8.76891384807326e-05,8.49001771467851e-05,7,2.02948539850196,3.27108086730212
"4",4,"2020-09-11",2020-09-15,4,"nearFuture",39.9668094368448,67.9923074834489,23.4930378991756,64,32,0.751037181628687,2020-09-08,2.93221432798561e-06,1.57801763426338e-06,4.51571010714186e-06,9.45846410990409e-05,9.00744091367919e-05,8.71367166639135e-05,7,0.538165856159451,1.54003411825768
"5",5,"2020-09-11",2020-09-16,5,"nearFuture",44.9385870093117,68.6628095335961,29.4115055313221,27,32,3.587716684319,2020-09-09,3.46739997654299e-07,4.95866530219067e-07,4.05482498626862e-07,9.34388915415781e-05,9.42814980694515e-05,9.41911140378593e-05,7,1.43008171417665,1.16941368567214
"6",6,"2020-09-11",2020-09-17,6,"nearFuture",78.0726206363381,140.320583839909,43.4386312130776,18,32,4.29090116753121,2020-09-10,2.11059129009484e-07,8.50009624174389e-08,3.20475603495806e-07,9.26248063296957e-05,9.24987481631036e-05,9.2734222804182e-05,7,0.402735303686482,1.51841621350292
"7",7,"2020-09-11",2020-09-18,7,"nearFuture",47.6686232524433,75.0882860403198,30.2616794524147,84,32,0.698680308632238,2020-09-11,2.35933954924911e-06,1.48120583334707e-06,1.1900071822171e-07,9.17202672053816e-05,9.25984009212836e-05,9.3960606036409e-05,7,0.627805282973568,0.0504381483621479
"8",8,"2020-09-11",2020-11-10,60,"farFuture",14.3899597365674,58.6826989631747,3.52865401351041,45,NA,NA,2020-11-03,7.61320429627048e-07,4.54351204048503e-06,2.81926214838125e-06,7.22877516847149e-05,6.85055600738569e-05,7.02298099659607e-05,7,5.96793657922826,3.70312162746288
"9",9,"2020-09-11",2020-11-11,61,"farFuture",5.16774824367565,18.6758758240661,1.42995285263138,23,NA,NA,2020-11-04,2.11059129006489e-07,5.17244467385684e-06,3.92820951574698e-06,7.29435425498447e-05,6.79821570049943e-05,6.92263921631042e-05,7,24.5070881236216,18.6118910574401
"10",10,"2020-09-11",2020-11-12,62,"farFuture",8.89664521943159,35.6057385203812,2.22296459642674,22,NA,NA,2020-11-05,1.88445650898616e-06,5.00651699079489e-06,5.07521294851633e-06,7.16998012539094e-05,6.85777407721007e-05,6.85090448143793e-05,7,2.65674318665407,2.69319717611674
"11",11,"2020-09-11",2020-11-13,63,"farFuture",15.9405664824769,65.3681304839808,3.88724073796995,66,NA,NA,2020-11-06,2.44225563565022e-06,4.8251570979332e-06,3.94154033525041e-06,7.18505577746235e-05,6.94676563123405e-05,7.03512730750233e-05,7,1.97569698581064,1.61389343429687
"12",12,"2020-09-11",2020-11-14,64,"farFuture",25.8631657293728,106.007761906179,6.30994683329899,39,NA,NA,2020-11-07,1.34927086043121e-06,2.05779667938354e-06,2.3425388267257e-06,7.40139138469452e-05,7.06068463071304e-05,7.03221041597883e-05,7,1.52511755773477,1.73615164710297
"13",13,"2020-09-11",2020-11-15,65,"farFuture",3.3248710155403,22.0169023805083,0.502103660130084,39,NA,NA,2020-11-08,1.65832172792734e-07,3.12007193100733e-06,2.67034765339198e-06,7.32752068954241e-05,6.99893027916241e-05,7.04390270692394e-05,7,18.8146357758151,16.1027116054827
"14",14,"2020-09-11",2020-11-16,66,"farFuture",42.2995907338578,234.941988166421,7.61573267603596,42,NA,NA,2020-11-09,1.58294346757221e-07,3.36336817594087e-06,3.25628358637264e-06,7.30716855924531e-05,6.98666117632694e-05,6.99736963528376e-05,7,21.2475571291205,20.5710668326447
"15",15,"2020-09-11",2020-11-17,67,"farFuture",14.7393387625753,72.9109946060899,2.97963439302483,44,NA,NA,2020-11-10,2.56286085223035e-07,2.60774958159295e-06,2.4517128723656e-07,7.3049072114342e-05,7.06976086179721e-05,7.30601869123284e-05,7,10.1751508644081,0.95663128578829
"16",16,"2020-09-11",2020-09-12,1,"nearFar",70.3297580444127,116.005350212713,42.6383339864574,69,NA,NA,2020-09-05,3.24880302149616e-06,6.69727401563753e-06,7.10160715063413e-06,9.42002119712064e-05,8.42541349340727e-05,8.38498017990761e-05,7,2.06145893466734,2.18591496734193
"17",17,"2020-09-11",2020-09-13,2,"nearFar",23.3633134732389,35.1893221677897,15.511649069173,45,NA,NA,2020-09-06,1.45480042494196e-06,7.11686720604412e-06,9.65908454486043e-06,9.3657488496622e-05,8.50858208656359e-05,8.25436035268196e-05,7,4.89198867695413,6.63945677995371
"18",18,"2020-09-11",2020-09-14,3,"nearFar",60.8067059705918,102.740413791957,35.9883258644562,54,NA,NA,2020-09-07,2.24627215871101e-06,4.55877654716546e-06,7.347737881113e-06,9.44941871866091e-05,8.76891384807326e-05,8.49001771467851e-05,7,2.02948539850196,3.27108086730212
"19",19,"2020-09-11",2020-09-15,4,"nearFar",39.9668094368448,67.9923074834489,23.4930378991756,64,NA,NA,2020-09-08,2.93221432798561e-06,1.57801763426338e-06,4.51571010714186e-06,9.45846410990409e-05,9.00744091367919e-05,8.71367166639135e-05,7,0.538165856159451,1.54003411825768
"20",20,"2020-09-11",2020-09-16,5,"nearFar",44.9385870093117,68.6628095335961,29.4115055313221,27,NA,NA,2020-09-09,3.46739997654299e-07,4.95866530219067e-07,4.05482498626862e-07,9.34388915415781e-05,9.42814980694515e-05,9.41911140378593e-05,7,1.43008171417665,1.16941368567214
"21",21,"2020-09-11",2020-09-17,6,"nearFar",78.0726206363381,140.320583839909,43.4386312130776,18,NA,NA,2020-09-10,2.11059129009484e-07,8.50009624174389e-08,3.20475603495806e-07,9.26248063296957e-05,9.24987481631036e-05,9.2734222804182e-05,7,0.402735303686482,1.51841621350292
"22",22,"2020-09-11",2020-09-18,7,"nearFar",47.6686232524433,75.0882860403198,30.2616794524147,84,NA,NA,2020-09-11,2.35933954924911e-06,1.48120583334707e-06,1.1900071822171e-07,9.17202672053816e-05,9.25984009212836e-05,9.3960606036409e-05,7,0.627805282973568,0.0504381483621479
"23",23,"2020-09-11",2020-11-10,60,"nearFar",14.3899597365674,58.6826989631747,3.52865401351041,45,NA,NA,2020-11-03,7.61320429627048e-07,4.54351204048503e-06,2.81926214838125e-06,7.22877516847149e-05,6.85055600738569e-05,7.02298099659607e-05,7,5.96793657922826,3.70312162746288
"24",24,"2020-09-11",2020-11-11,61,"nearFar",5.16774824367565,18.6758758240661,1.42995285263138,23,NA,NA,2020-11-04,2.11059129006489e-07,5.17244467385684e-06,3.92820951574698e-06,7.29435425498447e-05,6.79821570049943e-05,6.92263921631042e-05,7,24.5070881236216,18.6118910574401
"25",25,"2020-09-11",2020-11-12,62,"nearFar",8.89664521943159,35.6057385203812,2.22296459642674,22,NA,NA,2020-11-05,1.88445650898616e-06,5.00651699079489e-06,5.07521294851633e-06,7.16998012539094e-05,6.85777407721007e-05,6.85090448143793e-05,7,2.65674318665407,2.69319717611674
"26",26,"2020-09-11",2020-11-13,63,"nearFar",15.9405664824769,65.3681304839808,3.88724073796995,66,NA,NA,2020-11-06,2.44225563565022e-06,4.8251570979332e-06,3.94154033525041e-06,7.18505577746235e-05,6.94676563123405e-05,7.03512730750233e-05,7,1.97569698581064,1.61389343429687
"27",27,"2020-09-11",2020-11-14,64,"nearFar",25.8631657293728,106.007761906179,6.30994683329899,39,NA,NA,2020-11-07,1.34927086043121e-06,2.05779667938354e-06,2.3425388267257e-06,7.40139138469452e-05,7.06068463071304e-05,7.03221041597883e-05,7,1.52511755773477,1.73615164710297
"28",28,"2020-09-11",2020-11-15,65,"nearFar",3.3248710155403,22.0169023805083,0.502103660130084,39,NA,NA,2020-11-08,1.65832172792734e-07,3.12007193100733e-06,2.67034765339198e-06,7.32752068954241e-05,6.99893027916241e-05,7.04390270692394e-05,7,18.8146357758151,16.1027116054827
"29",29,"2020-09-11",2020-11-16,66,"nearFar",42.2995907338578,234.941988166421,7.61573267603596,42,NA,NA,2020-11-09,1.58294346757221e-07,3.36336817594087e-06,3.25628358637264e-06,7.30716855924531e-05,6.98666117632694e-05,6.99736963528376e-05,7,21.2475571291205,20.5710668326447
"30",30,"2020-09-11",2020-11-17,67,"nearFar",14.7393387625753,72.9109946060899,2.97963439302483,44,NA,NA,2020-11-10,2.56286085223035e-07,2.60774958159295e-06,2.4517128723656e-07,7.3049072114342e-05,7.06976086179721e-05,7.30601869123284e-05,7,10.1751508644081,0.95663128578829
"31",31,"2020-09-26",2020-09-27,1,"nearFuture",88.3423761994456,131.832143118213,59.1993367320614,64,32,0.760699232460823,2020-09-20,5.2990917032726e-06,8.37504565033731e-06,7.87846497964543e-06,9.0514215039634e-05,9.35901689866987e-05,9.30935883160068e-05,7,1.58046814799696,1.48675762202414
"32",32,"2020-09-26",2020-09-28,2,"nearFuture",25.37896543847,46.9994598705815,13.7042401870285,50,32,1.36783517742749,2020-09-21,7.61320429632157e-07,7.22317377394534e-06,7.37956147692742e-06,8.6880982890307e-05,9.48654770938845e-05,9.50218647968665e-05,7,9.48769203190216,9.69310843332152
"33",33,"2020-09-26",2020-09-29,3,"nearFuture",66.8344475909977,108.445434406047,41.1897781521058,57,32,0.393377887904793,2020-09-22,8.8041808099878e-06,4.12685562511042e-06,3.78774178829908e-06,8.31799103066545e-05,9.61109467417527e-05,9.57718329049414e-05,7,0.468738172713213,0.430220808732383
"34",34,"2020-09-26",2020-09-30,4,"nearFuture",19.8598925801498,33.6244451626638,11.7300175924701,27,32,1.42802119836579,2020-09-23,1.6862116842407e-05,1.38902101866841e-06,2.15083047101215e-06,7.94486864188614e-05,9.76998242799368e-05,9.84616337322806e-05,7,0.0823752457446576,0.127554001144326
"35",35,"2020-09-26",2020-10-01,5,"nearFuture",40.9169651657055,61.8788497144069,27.0560627112265,16,32,1.5573102255247,2020-09-24,1.86335059608533e-05,3.65829405442294e-06,2.94159545344873e-06,8.0021561197597e-05,9.49967731040273e-05,9.57134717050015e-05,7,0.196328810161039,0.157865914210061
"36",36,"2020-09-26",2020-10-02,6,"nearFuture",72.9203291572759,110.952594784015,47.9247413253968,81,32,0.164891238323119,2020-09-25,1.98395581266045e-05,2.96641252269932e-06,7.62604987187778e-08,7.90265681608523e-05,9.58997137647574e-05,9.89423867861755e-05,7,0.149520090304906,0.00384386074690414
"37",37,"2020-09-26",2020-10-03,7,"nearFuture",47.2166987360802,79.6106250355799,28.0040087430211,45,32,0.170515274274222,2020-09-26,1.2671085566431e-05,2.26076756252456e-06,5.26746992453398e-06,8.32251372628663e-05,9.81569903918218e-05,0.000101163692753831,7,0.178419406188364,0.415707864722253
"38",38,"2020-09-26",2020-10-04,8,"nearFuture",27.2780899924177,55.4044341150389,13.4302282032056,52,32,1.23609543857434,2020-09-27,8.94739950466451e-06,3.55178620247947e-06,5.31122012221412e-06,8.52151233363614e-05,9.77143090435054e-05,9.947374296324e-05,7,0.396962961207648,0.59360489262218
"39",39,"2020-09-26",2020-10-05,9,"nearFuture",33.2389222230005,57.4994361595371,19.2145527737218,60,32,0.955752743615957,2020-09-28,4.90712474939644e-06,4.54247325680439e-06,4.47325100722874e-06,8.76423033199391e-05,9.709190132614e-05,9.70226790765643e-05,7,0.925689377952557,0.911582899493014
