"","X","cutoff","date","lag","predType","fore","fore_low","fore_high","y","strawman.x","scaled_abs_err","time_value","err0","err1","err2","strawman.y","case_model","case_fb_model","lead","case_sae","fb_sae"
"1",1,"2020-09-11",2020-09-12,1,"nearFuture",47.8231787340154,118.986833216786,19.2210882699829,80,0,0.402210260797179,2020-09-05,2.58265904738727e-05,3.08137119011414e-05,3.13275726214495e-05,8.97034338051958e-05,0.00014634373618021,0.000146857596900518,7,1.19310026355643,1.21299683956122
"2",2,"2020-09-11",2020-09-13,2,"nearFuture",45.2669071762835,153.712472350179,13.3306871848248,17,0,1.66275914785437,2020-09-06,2.35114706014345e-05,3.00173795339812e-05,3.15805169209324e-05,9.63055758355299e-05,0.000149834425970946,0.000151397563357897,7,1.27671212247139,1.34319615545467
"3",3,"2020-09-11",2020-09-14,3,"nearFuture",8.85072739641723,28.0780987374293,2.7899102492031,6,0,0.475121153549346,2020-09-07,2.02157290518894e-05,1.5307295490294e-05,1.16125793676462e-05,9.984007744558e-05,0.000135363101987763,0.000131668385865116,7,0.757197301715089,0.574432875403072
"4",4,"2020-09-11",2020-09-15,4,"nearFuture",203.562688474801,602.461953747276,68.7807219714846,34,0,4.98713774963715,2020-09-08,2.19936387881826e-05,1.34378342756202e-05,9.49325742339197e-06,0.000102229809836932,0.000137661282900735,0.000133716706048507,7,0.610987313424486,0.431636507029151
"5",5,"2020-09-11",2020-09-16,5,"nearFuture",103.353046323934,451.638837231364,23.6513145103268,49,0,1.10924582070792,2020-09-09,2.14521650795389e-05,1.60551823394923e-05,4.30791523047322e-06,0.000105559659966532,0.000143067007385563,0.000131319740276544,7,0.748417806779125,0.20081493940125
"6",6,"2020-09-11",2020-09-17,6,"nearFuture",1091.53566296475,3624.11553956863,328.756103528013,46,0,22.7290356572982,2020-09-10,2.06996445316766e-05,1.7504793040234e-05,8.18610191926635e-06,0.000108885246523632,0.000147089684095542,0.000137770992974575,7,0.845656697797224,0.395470652007536
"7",7,"2020-09-11",2020-09-18,7,"nearFuture",35.6821402427678,112.700463974588,11.297337095184,50,0,0.2863571894175,2020-09-11,1.65725063428735e-05,1.90088093361396e-05,1.21723243456098e-05,0.000114611224403351,0.000150192540082364,0.000143356055091834,7,1.14700872293308,0.734489044310677
"8",8,"2020-09-11",2020-11-08,58,"farFuture",177027.842796444,10090368.7053014,3105.8188298607,304,NA,NA,2020-11-01,0.000225867017242044,0.000364117305436145,0.000252259856857157,0.000592909447405379,0.00118289377008357,0.00107103632150458,7,1.61208710276609,1.11685123369221
"9",9,"2020-09-11",2020-11-09,59,"farFuture",17608.15418448,1495048.64657944,207.382612260668,270,NA,NA,2020-11-02,0.000208917184732114,0.000441252827611695,0.000194465160602322,0.00058711098879301,0.00123728100113682,0.000990493334127446,7,2.1120944558845,0.930824148581539
"10",10,"2020-09-11",2020-11-10,60,"farFuture",17403348.1269856,1409748439.25881,214844.37761697,548,NA,NA,2020-11-03,8.50390854802428e-05,0.000442397486483007,0.000219257029883595,0.000641998089488896,0.00116943466145215,0.000946294204852734,7,5.20228414951369,2.57830888755895
