"","date","cs_recent","cs_dunb_recent","confirmed","ccfr","fb_umd","population","confirmed_active"
"1",2020-04-23,0.144935572261416,7.04059500384049e-14,1180,0.588979972917053,1.03612055447832,47026208,0.00250923910343781
"2",2020-04-24,0.167252529439141,8.03513048046817e-13,1112,0.588979972917053,1.01330774552873,47026208,0.00487387798735548
"3",2020-04-25,0.193005817463058,9.17015135836248e-12,742,0.588807089655276,0.990915551046875,47026208,0.00645172155917824
"4",2020-04-26,0.222724557287716,1.04655022267144e-10,555,0.495703234503235,0.968921344455459,47026208,0.0076319145273206
"5",2020-04-27,0.257019343100908,1.19438308679038e-09,694,0.407988561946803,0.947304036436729,47026208,0.00910768735595266
"6",2020-04-28,0.296594787447203,1.3630984229018e-08,839,0.436632816299804,0.926044009553586,47026208,0.0108917988879733
"7",2020-04-29,0.342263998030351,1.55564603272332e-07,743,0.424062246656284,0.905139151070619,47026208,0.0124717689336125
"8",2020-04-30,0.394965283631539,1.77539239901405e-06,733,0.421446013072623,0.884651600146033,47026208,0.014030474241087
"9",2020-05-01,0.455781432379307,2.02617954481515e-05,718,0.413691105228575,0.864653626297745,47026208,0.0155572824413144
"10",2020-05-02,0.525961958457921,0.000231239220698886,651,0.419636811965591,0.845210413667324,47026208,0.0169416168958382
"11",2020-05-03,0.606948774329777,0.00263903449851015,439,0.312605037321656,0.82638052347666,47026208,0.0178751389012697
"12",2020-05-04,0.700405815927263,0.0301181739986733,487,0.252640485712545,0.808215210565638,47026208,0.0189107316498919
"13",2020-05-05,0.808253229486201,0.343725860926209,293,0.194621682124407,0.790751463013335,47026208,0.0195337884781184
"14",2020-05-06,0.932204977295747,3.92279649737955,281,0.13606352689135,0.774018150335478,47026208,0.0201313276205472
"15",2020-05-07,1.05419669905514,41.7215915797323,286,0.13606352689135,0.75804074282902,47026208,0.0207394991320584
"16",2020-05-08,1.15968744782462,38.9587131669397,283,0.13606352689135,0.742841780326381,47026208,0.0213412912221202
"17",2020-05-09,1.24377704190097,2.31657699774172,224,0.13606352689135,0.728438694920922,47026208,0.0218176213570101
