"","data.country","data.survey_date","status"
"1","Spain","20200423","success"
"2","Spain","20200424","success"
"3","Spain","20200425","success"
"4","Spain","20200426","success"
"5","Spain","20200427","success"
"6","Spain","20200428","success"
"7","Spain","20200429","success"
"8","Spain","20200430","success"
"9","Spain","20200501","success"
"10","Spain","20200502","success"
"11","Spain","20200503","success"
"12","Spain","20200504","success"
"13","Spain","20200505","success"
"14","Spain","20200506","success"
"15","Spain","20200507","success"
"16","Spain","20200508","success"
"17","Spain","20200509","success"
"18","Spain","20200510","success"
"19","Spain","20200511","success"
"20","Spain","20200512","success"
"21","Spain","20200513","success"
"22","Spain","20200514","success"
"23","Spain","20200515","success"
"24","Spain","20200516","success"
"25","Spain","20200517","success"
"26","Spain","20200518","success"
"27","Spain","20200519","success"
"28","Spain","20200520","success"
"29","Spain","20200521","success"
"30","Spain","20200522","success"
"31","Spain","20200523","success"
"32","Spain","20200524","success"
"33","Spain","20200525","success"
"34","Spain","20200526","success"
"35","Spain","20200527","success"
"36","Spain","20200528","success"
"37","Spain","20200529","success"
"38","Spain","20200530","success"
"39","Spain","20200531","success"
"40","Spain","20200601","success"
"41","Spain","20200602","success"
"42","Spain","20200603","success"
"43","Spain","20200604","success"
"44","Spain","20200605","success"
"45","Spain","20200606","success"
"46","Spain","20200607","success"
"47","Spain","20200608","success"
"48","Spain","20200609","success"
"49","Spain","20200610","success"
"50","Spain","20200611","success"
"51","Spain","20200612","success"
"52","Spain","20200613","success"
"53","Spain","20200614","success"
"54","Spain","20200615","success"
"55","Spain","20200616","success"
"56","Spain","20200617","success"
"57","Spain","20200618","success"
"58","Spain","20200619","success"
"59","Spain","20200620","success"
"60","Spain","20200621","success"
"61","Spain","20200622","success"
"62","Spain","20200623","success"
"63","Spain","20200624","success"
"64","Spain","20200625","success"
"65","Spain","20200626","success"
"66","Spain","20200627","success"
"67","Spain","20200628","success"
"68","Spain","20200629","success"
"69","Spain","20200630","success"
"70","Spain","20200701","success"
"71","Spain","20200702","success"
"72","Spain","20200703","success"
"73","Spain","20200704","success"
"74","Spain","20200705","success"
"75","Spain","20200706","success"
"76","Spain","20200707","success"
"77","Spain","20200708","success"
"78","Spain","20200709","success"
"79","Spain","20200710","success"
"80","Spain","20200711","success"
"81","Spain","20200712","success"
"82","Spain","20200713","success"
"83","Spain","20200714","success"
"84","Spain","20200715","success"
"85","Spain","20200716","success"
"86","Spain","20200717","success"
"87","Spain","20200718","success"
"88","Spain","20200719","success"
"89","Spain","20200720","success"
"90","Spain","20200721","success"
"91","Spain","20200722","success"
"92","Spain","20200723","success"
"93","Spain","20200724","success"
"94","Spain","20200725","success"
"95","Spain","20200726","success"
"96","Spain","20200727","success"
"97","Spain","20200728","success"
"98","Spain","20200729","success"
"99","Spain","20200730","success"
"100","Spain","20200731","success"
"101","Spain","20200801","success"
"102","Spain","20200802","success"
"103","Spain","20200803","success"
"104","Spain","20200804","success"
"105","Spain","20200805","success"
"106","Spain","20200806","success"
"107","Spain","20200807","success"
"108","Spain","20200808","success"
"109","Spain","20200809","success"
"110","Spain","20200810","success"
"111","Spain","20200811","success"
"112","Spain","20200812","success"
"113","Spain","20200813","success"
"114","Spain","20200814","success"
"115","Spain","20200815","success"
"116","Spain","20200816","success"
"117","Spain","20200817","success"
"118","Spain","20200818","success"
"119","Spain","20200819","success"
"120","Spain","20200820","success"
"121","Spain","20200821","success"
"122","Spain","20200822","success"
"123","Spain","20200823","success"
"124","Spain","20200824","success"
"125","Spain","20200825","success"
"126","Spain","20200826","success"
"127","Spain","20200827","success"
"128","Spain","20200828","success"
"129","Spain","20200829","success"
"130","Spain","20200830","success"
"131","Spain","20200831","success"
"132","Spain","20200901","success"
"133","Spain","20200902","success"
"134","Spain","20200903","success"
"135","Spain","20200904","success"
"136","Spain","20200905","success"
"137","Spain","20200906","success"
"138","Spain","20200907","success"
"139","Spain","20200908","success"
"140","Spain","20200909","success"
"141","Spain","20200910","success"
"142","Spain","20200911","success"
"143","Spain","20200912","success"
"144","Spain","20200913","success"
"145","Spain","20200914","success"
"146","Spain","20200915","success"
"147","Spain","20200916","success"
"148","Spain","20200917","success"
"149","Spain","20200918","success"
"150","Spain","20200919","success"
"151","Spain","20200920","success"
"152","Spain","20200921","success"
"153","Spain","20200922","success"
"154","Spain","20200923","success"
"155","Spain","20200924","success"
