"","data.country","data.gid_0","data.gid_1","data.iso_code","data.region","data.sample_size","data.smoothed_ili","data.smoothed_ili_se","data.survey_date","status"
"1","Spain","ESP","ESP.1_1","ESP","Andalucía",283,0.001281,0.002837,"20200501","success"
"2","Spain","ESP","ESP.1_1","ESP","Andalucía",499,0.003794,0.003658,"20200502","success"
"3","Spain","ESP","ESP.1_1","ESP","Andalucía",945,0.004619,0.00289,"20200503","success"
"4","Spain","ESP","ESP.1_1","ESP","Andalucía",1401,0.006604,0.002798,"20200504","success"
"5","Spain","ESP","ESP.1_1","ESP","Andalucía",1875,0.005826,0.002262,"20200505","success"
"6","Spain","ESP","ESP.1_1","ESP","Andalucía",459,0.00219,0.002877,"20200506","success"
"7","Spain","ESP","ESP.1_1","ESP","Andalucía",961,0.004794,0.002834,"20200507","success"
"8","Spain","ESP","ESP.1_1","ESP","Andalucía",1388,0.005431,0.002473,"20200508","success"
"9","Spain","ESP","ESP.1_1","ESP","Andalucía",1857,0.005251,0.002094,"20200509","success"
"10","Spain","ESP","ESP.1_1","ESP","Andalucía",2365,0.005179,0.001855,"20200510","success"
"11","Spain","ESP","ESP.1_1","ESP","Andalucía",2835,0.004429,0.00156,"20200511","success"
"12","Spain","ESP","ESP.1_1","ESP","Andalucía",3286,0.004481,0.00146,"20200512","success"
"13","Spain","ESP","ESP.1_1","ESP","Andalucía",3269,0.004918,0.001522,"20200513","success"
"14","Spain","ESP","ESP.1_1","ESP","Andalucía",3281,0.00471,0.001502,"20200514","success"
"15","Spain","ESP","ESP.1_1","ESP","Andalucía",3407,0.003813,0.001336,"20200515","success"
"16","Spain","ESP","ESP.1_1","ESP","Andalucía",3437,0.0051,0.001539,"20200516","success"
"17","Spain","ESP","ESP.1_1","ESP","Andalucía",3408,0.005267,0.001562,"20200517","success"
"18","Spain","ESP","ESP.1_1","ESP","Andalucía",3357,0.005266,0.001581,"20200518","success"
"19","Spain","ESP","ESP.1_1","ESP","Andalucía",3412,0.004557,0.00146,"20200519","success"
"20","Spain","ESP","ESP.1_1","ESP","Andalucía",3435,0.004364,0.001428,"20200520","success"
"21","Spain","ESP","ESP.1_1","ESP","Andalucía",3273,0.003823,0.001364,"20200521","success"
"22","Spain","ESP","ESP.1_1","ESP","Andalucía",3100,0.004242,0.001475,"20200522","success"
"23","Spain","ESP","ESP.1_1","ESP","Andalucía",3026,0.002623,0.001174,"20200523","success"
"24","Spain","ESP","ESP.1_1","ESP","Andalucía",3060,0.001636,0.000929,"20200524","success"
"25","Spain","ESP","ESP.1_1","ESP","Andalucía",3122,0.002078,0.001037,"20200525","success"
"26","Spain","ESP","ESP.1_1","ESP","Andalucía",3031,0.002531,0.001168,"20200526","success"
"27","Spain","ESP","ESP.1_1","ESP","Andalucía",2954,0.002795,0.001242,"20200527","success"
"28","Spain","ESP","ESP.1_1","ESP","Andalucía",2972,0.002751,0.001223,"20200528","success"
"29","Spain","ESP","ESP.1_1","ESP","Andalucía",2994,0.002598,0.001189,"20200529","success"
"30","Spain","ESP","ESP.1_1","ESP","Andalucía",2972,0.002769,0.001234,"20200530","success"
"31","Spain","ESP","ESP.1_1","ESP","Andalucía",2885,0.004223,0.001531,"20200531","success"
"32","Spain","ESP","ESP.1_1","ESP","Andalucía",2754,0.004046,0.001542,"20200601","success"
"33","Spain","ESP","ESP.1_1","ESP","Andalucía",2749,0.003596,0.001444,"20200602","success"
"34","Spain","ESP","ESP.1_1","ESP","Andalucía",2749,0.00271,0.001253,"20200603","success"
"35","Spain","ESP","ESP.1_1","ESP","Andalucía",2829,0.002514,0.001188,"20200604","success"
"36","Spain","ESP","ESP.1_1","ESP","Andalucía",2827,0.002445,0.001169,"20200605","success"
"37","Spain","ESP","ESP.1_1","ESP","Andalucía",2814,0.002548,0.0012,"20200606","success"
"38","Spain","ESP","ESP.1_1","ESP","Andalucía",2851,0.001863,0.001022,"20200607","success"
"39","Spain","ESP","ESP.1_1","ESP","Andalucía",2896,0.002089,0.001073,"20200608","success"
"40","Spain","ESP","ESP.1_1","ESP","Andalucía",2880,0.002789,0.00124,"20200609","success"
"41","Spain","ESP","ESP.1_1","ESP","Andalucía",2843,0.003585,0.001417,"20200610","success"
"42","Spain","ESP","ESP.1_1","ESP","Andalucía",2754,0.005045,0.001717,"20200611","success"
"43","Spain","ESP","ESP.1_1","ESP","Andalucía",2770,0.005708,0.001808,"20200612","success"
"44","Spain","ESP","ESP.1_1","ESP","Andalucía",2713,0.004948,0.001693,"20200613","success"
"45","Spain","ESP","ESP.1_1","ESP","Andalucía",2619,0.005277,0.001774,"20200614","success"
"46","Spain","ESP","ESP.1_1","ESP","Andalucía",2592,0.006451,0.001962,"20200615","success"
"47","Spain","ESP","ESP.1_1","ESP","Andalucía",2567,0.006865,0.002034,"20200616","success"
"48","Spain","ESP","ESP.1_1","ESP","Andalucía",2595,0.005921,0.001872,"20200617","success"
"49","Spain","ESP","ESP.1_1","ESP","Andalucía",2599,0.005044,0.001728,"20200618","success"
"50","Spain","ESP","ESP.1_1","ESP","Andalucía",2546,0.004781,0.001703,"20200619","success"
"51","Spain","ESP","ESP.1_1","ESP","Andalucía",2567,0.004761,0.001696,"20200620","success"
"52","Spain","ESP","ESP.1_1","ESP","Andalucía",2577,0.005587,0.00184,"20200621","success"
"53","Spain","ESP","ESP.1_1","ESP","Andalucía",2576,0.004117,0.001585,"20200622","success"
"54","Spain","ESP","ESP.1_1","ESP","Andalucía",2615,0.002958,0.001336,"20200623","success"
"55","Spain","ESP","ESP.1_1","ESP","Andalucía",2662,0.003882,0.001517,"20200624","success"
"56","Spain","ESP","ESP.1_1","ESP","Andalucía",2707,0.00698,0.001991,"20200625","success"
"57","Spain","ESP","ESP.1_1","ESP","Andalucía",2734,0.00718,0.002017,"20200626","success"
"58","Spain","ESP","ESP.1_1","ESP","Andalucía",2750,0.007169,0.002014,"20200627","success"
"59","Spain","ESP","ESP.1_1","ESP","Andalucía",2799,0.005362,0.001726,"20200628","success"
"60","Spain","ESP","ESP.1_1","ESP","Andalucía",2839,0.005185,0.001683,"20200629","success"
"61","Spain","ESP","ESP.1_1","ESP","Andalucía",2810,0.005424,0.00173,"20200630","success"
"62","Spain","ESP","ESP.1_1","ESP","Andalucía",2741,0.005397,0.001739,"20200701","success"
"63","Spain","ESP","ESP.1_1","ESP","Andalucía",2713,0.002022,0.001078,"20200702","success"
"64","Spain","ESP","ESP.1_1","ESP","Andalucía",2656,0.00228,0.001155,"20200703","success"
"65","Spain","ESP","ESP.1_1","ESP","Andalucía",2636,0.002469,0.001209,"20200704","success"
"66","Spain","ESP","ESP.1_1","ESP","Andalucía",2593,0.002964,0.001345,"20200705","success"
"67","Spain","ESP","ESP.1_1","ESP","Andalucía",2589,0.002963,0.001344,"20200706","success"
"68","Spain","ESP","ESP.1_1","ESP","Andalucía",2580,0.003426,0.00145,"20200707","success"
"69","Spain","ESP","ESP.1_1","ESP","Andalucía",2631,0.003286,0.001406,"20200708","success"
"70","Spain","ESP","ESP.1_1","ESP","Andalucía",2628,0.004019,0.001562,"20200709","success"
"71","Spain","ESP","ESP.1_1","ESP","Andalucía",2718,0.002872,0.001297,"20200710","success"
"72","Spain","ESP","ESP.1_1","ESP","Andalucía",2784,0.002848,0.001285,"20200711","success"
"73","Spain","ESP","ESP.1_1","ESP","Andalucía",2887,0.002296,0.001118,"20200712","success"
"74","Spain","ESP","ESP.1_1","ESP","Andalucía",2989,0.002396,0.001132,"20200713","success"
"75","Spain","ESP","ESP.1_1","ESP","Andalucía",3065,0.001766,0.000956,"20200714","success"
"76","Spain","ESP","ESP.1_1","ESP","Andalucía",3118,0.001421,0.000862,"20200715","success"
"77","Spain","ESP","ESP.1_1","ESP","Andalucía",3126,0.000926,0.000703,"20200716","success"
"78","Spain","ESP","ESP.1_1","ESP","Andalucía",3125,0.003048,0.001261,"20200717","success"
"79","Spain","ESP","ESP.1_1","ESP","Andalucía",3164,0.003031,0.001237,"20200718","success"
"80","Spain","ESP","ESP.1_1","ESP","Andalucía",3174,0.00309,0.001261,"20200719","success"
"81","Spain","ESP","ESP.1_1","ESP","Andalucía",3114,0.002937,0.001225,"20200720","success"
"82","Spain","ESP","ESP.1_1","ESP","Andalucía",3136,0.002938,0.001226,"20200721","success"
"83","Spain","ESP","ESP.1_1","ESP","Andalucía",3150,0.002981,0.001229,"20200722","success"
"84","Spain","ESP","ESP.1_1","ESP","Andalucía",3226,0.002612,0.001131,"20200723","success"
"85","Spain","ESP","ESP.1_1","ESP","Andalucía",3273,0.001078,0.000728,"20200724","success"
"86","Spain","ESP","ESP.1_1","ESP","Andalucía",3232,0.001102,0.000745,"20200725","success"
"87","Spain","ESP","ESP.1_1","ESP","Andalucía",3226,0.001465,0.000856,"20200726","success"
"88","Spain","ESP","ESP.1_1","ESP","Andalucía",3292,0.002119,0.001022,"20200727","success"
"89","Spain","ESP","ESP.1_1","ESP","Andalucía",3287,0.002148,0.001036,"20200728","success"
"90","Spain","ESP","ESP.1_1","ESP","Andalucía",3310,0.002404,0.001093,"20200729","success"
"91","Spain","ESP","ESP.1_1","ESP","Andalucía",3320,0.002548,0.001112,"20200730","success"
"92","Spain","ESP","ESP.1_1","ESP","Andalucía",3349,0.003588,0.001314,"20200731","success"
"93","Spain","ESP","ESP.1_1","ESP","Andalucía",3340,0.003358,0.001269,"20200801","success"
"94","Spain","ESP","ESP.1_1","ESP","Andalucía",3334,0.003022,0.001207,"20200802","success"
"95","Spain","ESP","ESP.1_1","ESP","Andalucía",3292,0.002388,0.001079,"20200803","success"
"96","Spain","ESP","ESP.1_1","ESP","Andalucía",3210,0.001991,0.000994,"20200804","success"
