"","data.country","data.gid_0","data.ili_se","data.ili_se_unw","data.iso_code","data.percent_ili","data.percent_ili_unw","data.sample_size","data.survey_date","status"
"1","Spain","ESP",0.002675,0.00222,"ESP",0.006994,0.009724,1954,"20200423","success"
"2","Spain","ESP",0.004338,0.002533,"ESP",0.012306,0.009174,1417,"20200424","success"
"3","Spain","ESP",0.002275,0.001715,"ESP",0.006802,0.007302,2465,"20200425","success"
"4","Spain","ESP",0.002597,0.001974,"ESP",0.009856,0.010874,2759,"20200426","success"
"5","Spain","ESP",0.002245,0.001708,"ESP",0.007267,0.008044,2735,"20200427","success"
"6","Spain","ESP",0.002005,0.001611,"ESP",0.006373,0.007047,2696,"20200428","success"
"7","Spain","ESP",0.002624,0.001788,"ESP",0.009988,0.008229,2552,"20200429","success"
"8","Spain","ESP",0.002161,0.001628,"ESP",0.006539,0.006533,2449,"20200430","success"
"9","Spain","ESP",0.003125,0.002229,"ESP",0.009195,0.009764,1946,"20200501","success"
"10","Spain","ESP",0.002144,0.001727,"ESP",0.004267,0.005476,1826,"20200502","success"
"11","Spain","ESP",0.001854,0.001339,"ESP",0.006609,0.007483,4143,"20200503","success"
"12","Spain","ESP",0.001819,0.00122,"ESP",0.007061,0.006707,4473,"20200504","success"
"13","Spain","ESP",0.001521,0.000944,"ESP",0.005353,0.004123,4608,"20200505","success"
"14","Spain","ESP",0.001721,0.001186,"ESP",0.006543,0.006409,4525,"20200506","success"
"15","Spain","ESP",0.001913,0.001375,"ESP",0.008588,0.008736,4579,"20200507","success"
"16","Spain","ESP",0.00132,0.001065,"ESP",0.004032,0.005119,4493,"20200508","success"
"17","Spain","ESP",0.001444,0.001052,"ESP",0.005073,0.005166,4646,"20200509","success"
"18","Spain","ESP",0.001415,0.001081,"ESP",0.005127,0.005631,4795,"20200510","success"
"19","Spain","ESP",0.001461,0.001181,"ESP",0.005136,0.006157,4385,"20200511","success"
"20","Spain","ESP",0.001452,0.001176,"ESP",0.004487,0.005898,4239,"20200512","success"
"21","Spain","ESP",0.001523,0.001192,"ESP",0.005245,0.006099,4263,"20200513","success"
"22","Spain","ESP",0.001635,0.001163,"ESP",0.006683,0.006804,4997,"20200514","success"
"23","Spain","ESP",0.001391,0.00102,"ESP",0.004924,0.005213,4988,"20200515","success"
"24","Spain","ESP",0.001695,0.001042,"ESP",0.007471,0.005428,4974,"20200516","success"
"25","Spain","ESP",0.001363,0.000984,"ESP",0.00479,0.004832,4967,"20200517","success"
"26","Spain","ESP",0.001543,0.001068,"ESP",0.005479,0.005134,4480,"20200518","success"
"27","Spain","ESP",0.001444,0.00106,"ESP",0.00485,0.005625,4978,"20200519","success"
"28","Spain","ESP",0.001605,0.001188,"ESP",0.006402,0.006949,4893,"20200520","success"
"29","Spain","ESP",0.001466,0.001186,"ESP",0.003684,0.004903,3467,"20200521","success"
"30","Spain","ESP",0.001296,0.001069,"ESP",0.00339,0.004794,4172,"20200522","success"
"31","Spain","ESP",0.001292,0.000989,"ESP",0.003928,0.004753,4839,"20200523","success"
"32","Spain","ESP",0.001521,0.000929,"ESP",0.005674,0.004366,5039,"20200524","success"
"33","Spain","ESP",0.001553,0.000934,"ESP",0.005933,0.004184,4780,"20200525","success"
"34","Spain","ESP",0.001326,0.00091,"ESP",0.003664,0.003645,4389,"20200526","success"
"35","Spain","ESP",0.001598,0.001141,"ESP",0.005459,0.005604,4283,"20200527","success"
"36","Spain","ESP",0.001515,0.001125,"ESP",0.004958,0.00541,4251,"20200528","success"
"37","Spain","ESP",0.001466,0.000983,"ESP",0.004144,0.003815,3932,"20200529","success"
"38","Spain","ESP",0.001401,0.001125,"ESP",0.004118,0.005169,4063,"20200530","success"
"39","Spain","ESP",0.001534,0.001069,"ESP",0.005171,0.005249,4572,"20200531","success"
"40","Spain","ESP",0.001569,0.001069,"ESP",0.004303,0.004147,3617,"20200601","success"
"41","Spain","ESP",0.001034,0.000826,"ESP",0.002006,0.002616,3823,"20200602","success"
"42","Spain","ESP",0.001275,0.00116,"ESP",0.003067,0.005071,3747,"20200603","success"
"43","Spain","ESP",0.001607,0.00107,"ESP",0.006192,0.004915,4273,"20200604","success"
"44","Spain","ESP",0.000737,0.000702,"ESP",0.00103,0.001858,3767,"20200605","success"
"45","Spain","ESP",0.001428,0.001188,"ESP",0.004002,0.005329,3753,"20200606","success"
"46","Spain","ESP",0.001544,0.001106,"ESP",0.005225,0.005081,4133,"20200607","success"
"47","Spain","ESP",0.00109,0.00084,"ESP",0.002221,0.00266,3760,"20200608","success"
"48","Spain","ESP",0.001518,0.001226,"ESP",0.004353,0.005357,3547,"20200609","success"
"49","Spain","ESP",0.001643,0.001222,"ESP",0.004942,0.00534,3558,"20200610","success"
"50","Spain","ESP",0.002103,0.00153,"ESP",0.008285,0.008128,3445,"20200611","success"
"51","Spain","ESP",0.001739,0.001204,"ESP",0.00634,0.005398,3705,"20200612","success"
"52","Spain","ESP",0.001235,0.001126,"ESP",0.002968,0.004369,3433,"20200613","success"
"53","Spain","ESP",0.001472,0.001099,"ESP",0.003682,0.004264,3518,"20200614","success"
"54","Spain","ESP",0.00178,0.001303,"ESP",0.005839,0.005988,3507,"20200615","success"
"55","Spain","ESP",0.001534,0.001152,"ESP",0.004296,0.004474,3353,"20200616","success"
"56","Spain","ESP",0.001585,0.001181,"ESP",0.004537,0.004879,3484,"20200617","success"
"57","Spain","ESP",0.001606,0.001095,"ESP",0.004669,0.003957,3285,"20200618","success"
"58","Spain","ESP",0.001493,0.000946,"ESP",0.003913,0.002843,3166,"20200619","success"
"59","Spain","ESP",0.001622,0.001053,"ESP",0.004513,0.003655,3283,"20200620","success"
"60","Spain","ESP",0.001437,0.000973,"ESP",0.004156,0.003514,3699,"20200621","success"
"61","Spain","ESP",0.001215,0.001014,"ESP",0.002667,0.003519,3410,"20200622","success"
"62","Spain","ESP",0.00102,0.000946,"ESP",0.001907,0.003141,3502,"20200623","success"
"63","Spain","ESP",0.001958,0.001267,"ESP",0.008025,0.006096,3773,"20200624","success"
"64","Spain","ESP",0.001951,0.001007,"ESP",0.007172,0.003776,3708,"20200625","success"
"65","Spain","ESP",0.001327,0.000894,"ESP",0.003,0.002685,3352,"20200626","success"
"66","Spain","ESP",0.001206,0.000778,"ESP",0.0027,0.002061,3396,"20200627","success"
"67","Spain","ESP",0.001171,0.000813,"ESP",0.002677,0.002443,3684,"20200628","success"
"68","Spain","ESP",0.001069,0.001,"ESP",0.00204,0.003471,3457,"20200629","success"
"69","Spain","ESP",0.000923,0.000767,"ESP",0.001437,0.002032,3445,"20200630","success"
"70","Spain","ESP",0.001352,0.001056,"ESP",0.003357,0.003816,3407,"20200701","success"
"71","Spain","ESP",0.001358,0.001032,"ESP",0.002951,0.003101,2902,"20200702","success"
"72","Spain","ESP",0.001554,0.00122,"ESP",0.003669,0.004053,2714,"20200703","success"
"73","Spain","ESP",0.001553,0.001135,"ESP",0.003706,0.003596,2781,"20200704","success"
"74","Spain","ESP",0.001715,0.001155,"ESP",0.004704,0.004173,3115,"20200705","success"
"75","Spain","ESP",0.001714,0.000924,"ESP",0.005257,0.002777,3241,"20200706","success"
"76","Spain","ESP",0.001047,0.000798,"ESP",0.001973,0.002114,3312,"20200707","success"
"77","Spain","ESP",0.001478,0.000951,"ESP",0.004323,0.003011,3321,"20200708","success"
"78","Spain","ESP",0.001668,0.000918,"ESP",0.004819,0.002758,3263,"20200709","success"
"79","Spain","ESP",0.000897,0.000744,"ESP",0.0015,0.001971,3552,"20200710","success"
"80","Spain","ESP",0.00122,0.000998,"ESP",0.00267,0.003315,3318,"20200711","success"
"81","Spain","ESP",0.00101,0.000803,"ESP",0.002344,0.002411,3733,"20200712","success"
"82","Spain","ESP",0.000922,0.000564,"ESP",0.001674,0.001129,3543,"20200713","success"
"83","Spain","ESP",0.001271,0.000991,"ESP",0.003063,0.003579,3632,"20200714","success"
"84","Spain","ESP",0.002049,0.001184,"ESP",0.007599,0.005038,3573,"20200715","success"
"85","Spain","ESP",0.000935,0.000692,"ESP",0.001688,0.001695,3539,"20200716","success"
"86","Spain","ESP",0.001553,0.000858,"ESP",0.004597,0.002578,3491,"20200717","success"
"87","Spain","ESP",0.000878,0.000789,"ESP",0.001642,0.002235,3579,"20200718","success"
"88","Spain","ESP",0.000818,0.000764,"ESP",0.001412,0.002295,3922,"20200719","success"
"89","Spain","ESP",0.001306,0.001019,"ESP",0.003696,0.004083,3919,"20200720","success"
"90","Spain","ESP",0.000917,0.000739,"ESP",0.001857,0.002218,4057,"20200721","success"
"91","Spain","ESP",0.000891,0.000766,"ESP",0.001652,0.0023,3913,"20200722","success"
"92","Spain","ESP",0.001214,0.000905,"ESP",0.002889,0.00314,3822,"20200723","success"
"93","Spain","ESP",0.001572,0.001091,"ESP",0.004829,0.004509,3770,"20200724","success"
"94","Spain","ESP",0.001185,0.000959,"ESP",0.002946,0.003462,3755,"20200725","success"
"95","Spain","ESP",0.001188,0.000739,"ESP",0.00292,0.002221,4053,"20200726","success"
"96","Spain","ESP",0.001269,0.000863,"ESP",0.003458,0.002993,4009,"20200727","success"
"97","Spain","ESP",0.00135,0.000912,"ESP",0.003402,0.003163,3794,"20200728","success"
"98","Spain","ESP",0.001379,0.000968,"ESP",0.003846,0.003627,3860,"20200729","success"
"99","Spain","ESP",0.001129,0.000989,"ESP",0.002761,0.003707,3777,"20200730","success"
"100","Spain","ESP",0.001495,0.001122,"ESP",0.004151,0.004357,3443,"20200731","success"
"101","Spain","ESP",0.000937,0.000813,"ESP",0.001633,0.002155,3249,"20200801","success"
"102","Spain","ESP",0.001265,0.000892,"ESP",0.003358,0.003094,3879,"20200802","success"
"103","Spain","ESP",0.001086,0.000945,"ESP",0.002136,0.00314,3503,"20200803","success"
"104","Spain","ESP",0.001467,0.000989,"ESP",0.004013,0.003286,3348,"20200804","success"
"105","Spain","ESP",0.001127,0.000927,"ESP",0.002555,0.00308,3571,"20200805","success"
"106","Spain","ESP",0.000968,0.000826,"ESP",0.001748,0.002339,3420,"20200806","success"
"107","Spain","ESP",0.001131,0.001063,"ESP",0.002512,0.003839,3386,"20200807","success"
"108","Spain","ESP",0.001597,0.001267,"ESP",0.004536,0.005683,3519,"20200808","success"
"109","Spain","ESP",0.001287,0.001057,"ESP",0.00369,0.004368,3892,"20200809","success"
"110","Spain","ESP",0.002016,0.001065,"ESP",0.008305,0.0044,3864,"20200810","success"
"111","Spain","ESP",0.001503,0.001142,"ESP",0.004863,0.004992,3806,"20200811","success"
"112","Spain","ESP",0.00131,0.000985,"ESP",0.003568,0.003691,3793,"20200812","success"
"113","Spain","ESP",0.001656,0.001158,"ESP",0.005394,0.004923,3656,"20200813","success"
"114","Spain","ESP",0.001589,0.001065,"ESP",0.004774,0.004132,3630,"20200814","success"
"115","Spain","ESP",0.001617,0.001333,"ESP",0.005422,0.00655,3664,"20200815","success"
"116","Spain","ESP",0.001661,0.001116,"ESP",0.005884,0.005001,3999,"20200816","success"
"117","Spain","ESP",0.001497,0.00111,"ESP",0.004774,0.004851,3917,"20200817","success"
"118","Spain","ESP",0.001634,0.00121,"ESP",0.005518,0.005692,3865,"20200818","success"
"119","Spain","ESP",0.00129,0.001035,"ESP",0.003306,0.004278,3974,"20200819","success"
"120","Spain","ESP",0.001661,0.001346,"ESP",0.005516,0.00702,3846,"20200820","success"
"121","Spain","ESP",0.001228,0.001081,"ESP",0.00328,0.004599,3914,"20200821","success"
"122","Spain","ESP",0.001141,0.000928,"ESP",0.00271,0.003352,3878,"20200822","success"
"123","Spain","ESP",0.001576,0.001203,"ESP",0.00551,0.006272,4305,"20200823","success"
"124","Spain","ESP",0.001936,0.001279,"ESP",0.008165,0.007031,4267,"20200824","success"
"125","Spain","ESP",0.00134,0.001017,"ESP",0.003992,0.004323,4164,"20200825","success"
"126","Spain","ESP",0.001848,0.001271,"ESP",0.007096,0.006988,4293,"20200826","success"
"127","Spain","ESP",0.001566,0.001139,"ESP",0.005487,0.005357,4107,"20200827","success"
"128","Spain","ESP",0.001362,0.001076,"ESP",0.004266,0.004447,3823,"20200828","success"
"129","Spain","ESP",0.001701,0.001122,"ESP",0.006228,0.004772,3772,"20200829","success"
"130","Spain","ESP",0.001316,0.001121,"ESP",0.003954,0.005026,3979,"20200830","success"
"131","Spain","ESP",0.001827,0.001484,"ESP",0.007051,0.008022,3615,"20200831","success"
"132","Spain","ESP",0.001324,0.001142,"ESP",0.003647,0.004718,3603,"20200901","success"
"133","Spain","ESP",0.00151,0.001083,"ESP",0.004704,0.004342,3685,"20200902","success"
"134","Spain","ESP",0.001855,0.001347,"ESP",0.006775,0.006193,3391,"20200903","success"
"135","Spain","ESP",0.001448,0.001089,"ESP",0.003864,0.00378,3175,"20200904","success"
"136","Spain","ESP",0.001796,0.001481,"ESP",0.006261,0.007434,3363,"20200905","success"
"137","Spain","ESP",0.001645,0.001378,"ESP",0.006042,0.006772,3544,"20200906","success"
"138","Spain","ESP",0.001463,0.001013,"ESP",0.004203,0.003515,3414,"20200907","success"
"139","Spain","ESP",0.001503,0.000964,"ESP",0.004489,0.003202,3435,"20200908","success"
"140","Spain","ESP",0.001671,0.001196,"ESP",0.005434,0.004796,3336,"20200909","success"
"141","Spain","ESP",0.001934,0.001486,"ESP",0.007867,0.007456,3353,"20200910","success"
"142","Spain","ESP",0.001639,0.001376,"ESP",0.005004,0.006171,3241,"20200911","success"
"143","Spain","ESP",0.001505,0.001298,"ESP",0.004132,0.005207,3073,"20200912","success"
"144","Spain","ESP",0.001445,0.001158,"ESP",0.00444,0.004925,3655,"20200913","success"
"145","Spain","ESP",0.001482,0.001294,"ESP",0.004611,0.005804,3446,"20200914","success"
"146","Spain","ESP",0.001979,0.001564,"ESP",0.007649,0.008311,3369,"20200915","success"
"147","Spain","ESP",0.001986,0.001599,"ESP",0.008422,0.009086,3522,"20200916","success"
"148","Spain","ESP",0.001336,0.00108,"ESP",0.003641,0.004047,3459,"20200917","success"
"149","Spain","ESP",0.001805,0.001449,"ESP",0.00681,0.007126,3368,"20200918","success"
"150","Spain","ESP",0.001882,0.001335,"ESP",0.006426,0.00628,3503,"20200919","success"
"151","Spain","ESP",0.001528,0.001136,"ESP",0.005038,0.004832,3725,"20200920","success"
"152","Spain","ESP",0.001714,0.001474,"ESP",0.005837,0.007543,3447,"20200921","success"
"153","Spain","ESP",0.001634,0.00142,"ESP",0.00553,0.006979,3439,"20200922","success"
"154","Spain","ESP",0.00145,0.001298,"ESP",0.004529,0.005968,3519,"20200923","success"
"155","Spain","ESP",0.002015,0.001536,"ESP",0.007923,0.007711,3242,"20200924","success"
