"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
2020-03-22,"CL","CLRM",7112808,0.00625,NA,NA,NA
2020-03-23,"CL","CLRM",7112808,0.0071656050955414,NA,NA,NA
2020-03-24,"CL","CLRM",7112808,0.0071656050955414,NA,NA,NA
2020-03-25,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-03-26,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-03-27,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-03-28,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-03-29,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-03-30,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-03-31,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-04-01,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-04-02,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-04-03,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-04-04,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-04-05,"CL","CLRM",7112808,0.00799573560767591,NA,NA,NA
2020-04-06,"CL","CLRM",7112808,0.00762970498474059,NA,NA,NA
2020-04-07,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-08,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-09,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-10,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-11,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-12,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-13,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-14,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-15,"CL","CLRM",7112808,0.00714626012386851,NA,NA,NA
2020-04-16,"CL","CLRM",7112808,0.00688389169343736,NA,NA,NA
2020-04-17,"CL","CLRM",7112808,0.00688389169343736,NA,NA,NA
2020-04-18,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-19,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-20,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-21,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-22,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-23,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-24,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-25,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-26,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-27,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-28,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-29,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-04-30,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-01,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-02,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-03,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-04,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-05,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-06,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-07,"CL","CLRM",7112808,0.00679040289723857,NA,NA,NA
2020-05-08,"CL","CLRM",7112808,0.0124947938359017,NA,NA,NA
2020-05-09,"CL","CLRM",7112808,0.0119715675271231,NA,NA,NA
2020-05-10,"CL","CLRM",7112808,0.0119715675271231,NA,NA,NA
2020-05-11,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-12,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-13,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-14,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-15,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-16,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-17,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-18,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-19,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-20,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-21,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-22,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-23,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-24,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-25,"CL","CLRM",7112808,0.0124555160142349,NA,NA,NA
2020-05-26,"CL","CLRM",7112808,0.0135181975736568,NA,NA,NA
2020-05-27,"CL","CLRM",7112808,0.0149914821124361,NA,NA,NA
2020-05-28,"CL","CLRM",7112808,0.0149405772495756,NA,NA,NA
2020-05-29,"CL","CLRM",7112808,0.0147627416520211,NA,NA,NA
2020-05-30,"CL","CLRM",7112808,0.0147627416520211,NA,NA,NA
2020-05-31,"CL","CLRM",7112808,0.0147627416520211,NA,NA,NA
2020-06-01,"CL","CLRM",7112808,0.0147627416520211,NA,NA,NA
2020-06-02,"CL","CLRM",7112808,0.0148148148148148,NA,NA,NA
2020-06-03,"CL","CLRM",7112808,0.0165170556552962,NA,NA,NA
2020-06-04,"CL","CLRM",7112808,0.0165170556552962,NA,NA,NA
2020-06-05,"CL","CLRM",7112808,0.017059891107078,NA,NA,NA
2020-06-06,"CL","CLRM",7112808,0.017059891107078,NA,NA,NA
2020-06-07,"CL","CLRM",7112808,0.017059891107078,NA,NA,NA
2020-06-08,"CL","CLRM",7112808,0.017059891107078,NA,NA,NA
2020-06-09,"CL","CLRM",7112808,0.017059891107078,NA,NA,NA
2020-06-10,"CL","CLRM",7112808,0.017059891107078,NA,NA,NA
2020-06-11,"CL","CLRM",7112808,0.0186046511627907,NA,NA,NA
2020-06-12,"CL","CLRM",7112808,0.0186046511627907,NA,NA,NA
2020-06-13,"CL","CLRM",7112808,0.0186046511627907,NA,NA,NA
2020-06-14,"CL","CLRM",7112808,0.0186046511627907,NA,NA,NA
2020-06-15,"CL","CLRM",7112808,0.0186046511627907,NA,NA,NA
2020-06-16,"CL","CLRM",7112808,0.0186046511627907,NA,NA,NA
