"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLAI",103158,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLAN",607534,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLAP",226068,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLAR",957224,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLAT",286168,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLBI",1556805,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLCO",757586,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLLI",914555,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLLL",828708,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLLR",384837,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLMA",166533,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLML",1044950,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLNB",480609,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLRM",7112808,0.00625,0.00678571428571429,NA,NA,800,8,0.00625,0.00678571428571429,NA,NA
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLTA",330558,0,0,0,0,0,0,0,0,0,0
"CL",2020-03-22,17574003,0,NA,220,2,0.00252959157910693,800,0,0,0.00198399339537799,0,"CLVS",1815902,0,0,0,0,0,0,0,0,0,0
