"","fecha","cod_ine","ccaa","cases","deaths","cum_cases","cum_deaths","date"
"1","2020/01/31",1,"Andalucía",0,0,0,0,2020-01-31
"2","2020/02/01",1,"Andalucía",2,0,2,0,2020-02-01
"3","2020/02/02",1,"Andalucía",2,0,4,0,2020-02-02
"4","2020/02/03",1,"Andalucía",1,0,5,0,2020-02-03
"5","2020/02/04",1,"Andalucía",1,0,6,0,2020-02-04
"6","2020/02/05",1,"Andalucía",1,0,7,0,2020-02-05
"7","2020/02/06",1,"Andalucía",2,0,9,0,2020-02-06
"8","2020/02/07",1,"Andalucía",2,0,11,0,2020-02-07
"9","2020/02/08",1,"Andalucía",0,0,11,0,2020-02-08
"10","2020/02/09",1,"Andalucía",1,0,12,0,2020-02-09
"11","2020/02/10",1,"Andalucía",1,0,13,0,2020-02-10
"12","2020/02/11",1,"Andalucía",1,0,14,0,2020-02-11
"13","2020/02/12",1,"Andalucía",1,0,15,0,2020-02-12
"14","2020/02/13",1,"Andalucía",2,0,17,0,2020-02-13
"15","2020/02/14",1,"Andalucía",1,0,18,0,2020-02-14
"16","2020/02/15",1,"Andalucía",4,0,22,0,2020-02-15
"17","2020/02/16",1,"Andalucía",0,0,22,0,2020-02-16
"18","2020/02/17",1,"Andalucía",2,0,24,0,2020-02-17
"19","2020/02/18",1,"Andalucía",3,0,27,0,2020-02-18
"20","2020/02/19",1,"Andalucía",2,0,29,0,2020-02-19
"21","2020/02/20",1,"Andalucía",8,0,37,0,2020-02-20
"22","2020/02/21",1,"Andalucía",5,0,42,0,2020-02-21
"23","2020/02/22",1,"Andalucía",2,0,44,0,2020-02-22
"24","2020/02/23",1,"Andalucía",2,0,46,0,2020-02-23
"25","2020/02/24",1,"Andalucía",5,0,51,0,2020-02-24
"26","2020/02/25",1,"Andalucía",9,0,60,0,2020-02-25
"27","2020/02/26",1,"Andalucía",9,0,69,0,2020-02-26
"28","2020/02/27",1,"Andalucía",11,0,80,0,2020-02-27
"29","2020/02/28",1,"Andalucía",8,0,88,0,2020-02-28
"30","2020/02/29",1,"Andalucía",9,0,97,0,2020-02-29
"31","2020/03/01",1,"Andalucía",34,0,131,0,2020-03-01
"32","2020/03/02",1,"Andalucía",33,0,164,0,2020-03-02
"33","2020/03/03",1,"Andalucía",42,0,206,0,2020-03-03
"34","2020/03/04",1,"Andalucía",34,0,240,0,2020-03-04
"35","2020/03/05",1,"Andalucía",61,0,301,0,2020-03-05
"36","2020/03/06",1,"Andalucía",73,0,374,0,2020-03-06
"37","2020/03/07",1,"Andalucía",77,0,451,0,2020-03-07
"38","2020/03/08",1,"Andalucía",87,0,538,0,2020-03-08
"39","2020/03/09",1,"Andalucía",169,0,707,0,2020-03-09
"40","2020/03/10",1,"Andalucía",221,0,928,0,2020-03-10
"41","2020/03/11",1,"Andalucía",263,0,1191,0,2020-03-11
"42","2020/03/12",1,"Andalucía",318,0,1509,0,2020-03-12
"43","2020/03/13",1,"Andalucía",487,2,1996,2,2020-03-13
"44","2020/03/14",1,"Andalucía",420,5,2416,7,2020-03-14
"45","2020/03/15",1,"Andalucía",450,4,2866,11,2020-03-15
"46","2020/03/16",1,"Andalucía",573,5,3439,16,2020-03-16
"47","2020/03/17",1,"Andalucía",574,8,4013,24,2020-03-17
"48","2020/03/18",1,"Andalucía",530,5,4543,29,2020-03-18
"49","2020/03/19",1,"Andalucía",556,15,5099,44,2020-03-19
"50","2020/03/20",1,"Andalucía",796,14,5895,58,2020-03-20
"51","2020/03/21",1,"Andalucía",544,18,6439,76,2020-03-21
"52","2020/03/22",1,"Andalucía",523,28,6962,104,2020-03-22
"53","2020/03/23",1,"Andalucía",562,29,7524,133,2020-03-23
"54","2020/03/24",1,"Andalucía",492,36,8016,169,2020-03-24
"55","2020/03/25",1,"Andalucía",522,30,8538,199,2020-03-25
"56","2020/03/26",1,"Andalucía",472,45,9010,244,2020-03-26
"57","2020/03/27",1,"Andalucía",423,48,9433,292,2020-03-27
"58","2020/03/28",1,"Andalucía",324,27,9757,319,2020-03-28
"59","2020/03/29",1,"Andalucía",340,40,10097,359,2020-03-29
"60","2020/03/30",1,"Andalucía",341,52,10438,411,2020-03-30
"61","2020/03/31",1,"Andalucía",255,47,10693,458,2020-03-31
"62","2020/04/01",1,"Andalucía",356,43,11049,501,2020-04-01
"63","2020/04/02",1,"Andalucía",263,53,11312,554,2020-04-02
"64","2020/04/03",1,"Andalucía",202,43,11514,597,2020-04-03
"65","2020/04/04",1,"Andalucía",317,51,11831,648,2020-04-04
"66","2020/04/05",1,"Andalucía",277,40,12108,688,2020-04-05
"67","2020/04/06",1,"Andalucía",187,42,12295,730,2020-04-06
"68","2020/04/07",1,"Andalucía",266,38,12561,768,2020-04-07
"69","2020/04/08",1,"Andalucía",252,54,12813,822,2020-04-08
"70","2020/04/09",1,"Andalucía",137,32,12950,854,2020-04-09
"71","2020/04/10",1,"Andalucía",218,46,13168,900,2020-04-10
"72","2020/04/11",1,"Andalucía",161,22,13329,922,2020-04-11
"73","2020/04/12",1,"Andalucía",129,33,13458,955,2020-04-12
"74","2020/04/13",1,"Andalucía",112,21,13570,976,2020-04-13
"75","2020/04/14",1,"Andalucía",209,33,13779,1009,2020-04-14
"76","2020/04/15",1,"Andalucía",216,26,13995,1035,2020-04-15
"77","2020/04/16",1,"Andalucía",175,25,14170,1060,2020-04-16
"78","2020/04/17",1,"Andalucía",141,26,14311,1086,2020-04-17
"79","2020/04/18",1,"Andalucía",135,18,14446,1104,2020-04-18
"80","2020/04/19",1,"Andalucía",74,19,14520,1123,2020-04-19
"81","2020/04/20",1,"Andalucía",78,28,14598,1151,2020-04-20
"82","2020/04/21",1,"Andalucía",154,22,14752,1173,2020-04-21
"83","2020/04/22",1,"Andalucía",134,15,14886,1188,2020-04-22
"84","2020/04/23",1,"Andalucía",168,23,15054,1211,2020-04-23
"85","2020/04/24",1,"Andalucía",169,11,15223,1222,2020-04-24
"86","2020/04/25",1,"Andalucía",57,13,15280,1235,2020-04-25
"87","2020/04/26",1,"Andalucía",36,13,15316,1248,2020-04-26
"88","2020/04/27",1,"Andalucía",46,11,15362,1259,2020-04-27
"89","2020/04/28",1,"Andalucía",130,10,15492,1269,2020-04-28
