"","country","penalty","rmcorcols","smooth","smoothbasisdim","use_umd","use_ccfr","use_nsum","mnlag","lag","saeForeMedian","saeForeHighNotch","saeSyncMedian","saeSyncHighNotch"
"1","BR",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.02666469353797,1.41034836826301,NA,2.31210740501965
"2","BR",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.13734397787417,1.52453402712142,NA,3.56430399244823
"3","BR",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,0.90428772957089,1.26390918040796,NA,1.4549428875317
"4","BR",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.11441497984086,1.50857544905618,NA,2.46314273499383
"5","BR",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,0.927722317715305,1.1285339186861,NA,1.66121627145652
"6","BR",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,0.790423421591858,1.02413435635484,NA,1.64198419085707
"7","BR",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,0.918851567368726,1.12988991862827,NA,1.82527284289853
"8","BR",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,0.840216636054447,1.06535227227756,NA,1.71220207606431
"9","GB",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.2100302339415,1.64006651783724,NA,1.91494490972499
"10","GB",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.41765115610441,1.85181081028548,NA,2.53521054894838
"11","GB",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.53772086288999,1.82379141492446,NA,1.60021216060345
"12","GB",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.92623380201772,2.49501166007436,NA,1.8435774102327
"13","GB",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.31561845983003,1.52183567854281,NA,1.00029498654938
"14","GB",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.21732344324648,1.47394284130086,NA,1.06476451337375
"15","GB",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.60824682286533,1.96746020182742,NA,1.42459185362753
"16","GB",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.8155874589976,2.20013558571234,NA,1.4969763429158
"17","DE",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.07774566984065,1.20111001921614,NA,0.974424954527484
"18","DE",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.05525267094752,1.22383702936575,NA,1.08658131851565
"19","DE",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.01465275329322,1.15904290107535,NA,1.07245706952156
"20","DE",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.18410881886787,1.34020821796526,NA,1.1369013142328
"21","DE",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.12567291108912,1.23307524112787,NA,0.677902735329769
"22","DE",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.23980200295536,1.37593633628654,NA,0.839580387244219
"23","DE",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.26143642507931,1.369133270194,NA,0.791289990484218
"24","DE",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.30409387804424,1.45338096196226,NA,0.941697131701615
"25","EC",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.04730823716919,1.52950537517646,NA,2.29590995931606
"26","EC",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.16849292511539,1.66512538678768,NA,2.29246624120277
"27","EC",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.00062552617206,1.49641596210558,NA,2.60806320216516
