"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_cli_past_smooth","pct_ili_past_smooth","pct_fever_past_smooth","pct_cough_past_smooth","pct_difficulty_breathing_past_smooth","pct_fatigue_past_smooth","pct_stuffy_runny_nose_past_smooth","pct_aches_muscle_pain_past_smooth","pct_sore_throat_past_smooth","pct_chest_pain_past_smooth","pct_nausea_past_smooth","pct_anosmia_ageusia_past_smooth","pct_eye_pain_past_smooth","pct_headache_past_smooth","pct_cmnty_sick_past_smooth","pct_ever_tested_past_smooth","pct_worked_outside_home_past_smooth","pct_grocery_outside_home_past_smooth","pct_ate_outside_home_past_smooth","pct_spent_time_with_non_hh_past_smooth","pct_attended_public_event_past_smooth","pct_used_public_transit_past_smooth","pct_direct_contact_with_non_hh_past_smooth","pct_wear_mask_all_time_past_smooth","pct_wear_mask_most_time_past_smooth","pct_wear_mask_half_time_past_smooth","pct_wear_mask_some_time_past_smooth","pct_wear_mask_none_time_past_smooth","pct_no_public_past_smooth","pct_feel_nervous_all_time_past_smooth","pct_feel_nervous_most_time_past_smooth","pct_feel_nervous_some_time_past_smooth","pct_feel_nervous_little_time_past_smooth","pct_feel_nervous_none_time_past_smooth","pct_feel_depressed_all_time_past_smooth","pct_feel_depressed_most_time_past_smooth","pct_feel_depressed_some_time_past_smooth","pct_feel_depressed_little_time_past_smooth","pct_feel_depressed_none_time_past_smooth","pct_worried_ill_covid19_very_past_smooth","pct_worried_ill_covid19_somewhat_past_smooth","pct_worried_ill_covid19_notTooWorried_past_smooth","pct_worried_ill_covid19_notWorried_past_smooth","pct_enough_toEat_very_worried_past_smooth","pct_enough_toEat_somewhat_worried_past_smooth","pct_enough_toEat_notToo_worried_past_smooth","pct_enough_toEat_not_worried_past_smooth","pct_chills_past_smooth","pct_finances_very_worried_past_smooth","pct_finances_somewhat_worried_past_smooth","pct_finances_notToo_worried_past_smooth","pct_finances_not_worried_past_smooth","population"
2020-04-23,77,1.33,1.33,6.67,5.33,1.33,24,6.76,12,5.41,5.33,6.67,8,8,17.33,18.18,5.33,50,34.72,45.83,22.54,48.61,15.28,25.35,44.29,22.08,23.38,14.29,0,10.39,18.18,1.54,10.77,4.62,27.69,55.38,3.08,12.31,9.23,24.62,50.77,41.56,25.97,9.09,6.49,45.45,18.18,10.39,9.09,NA,NA,NA,NA,NA,1.33,1.33,6.67,5.33,1.33,24,6.76,12,5.41,5.33,6.67,8,8,17.33,18.18,5.33,34.72,45.83,22.54,48.61,15.28,25.35,44.29,22.08,23.38,14.29,0,10.39,18.18,1.54,10.77,4.62,27.69,55.38,3.08,12.31,9.23,24.62,50.77,41.56,25.97,9.09,6.49,45.45,18.18,10.39,9.09,NA,NA,NA,NA,NA,11263079
2020-04-24,77,1.35,1.35,1.35,4.11,1.37,24.32,10.96,2.74,4.11,10.96,2.74,1.37,1.37,14.86,3.9,1.37,100,44.29,42.65,19.12,36.76,10.29,23.19,34.78,28.57,16.88,12.99,0,12.99,12.99,4.76,3.17,7.94,28.57,55.56,3.23,8.06,6.45,25.81,56.45,37.66,15.58,7.79,19.48,38.96,18.18,9.09,14.29,NA,NA,NA,NA,NA,1.35,1.35,1.35,4.11,1.37,24.32,10.96,2.74,4.11,10.96,2.74,1.37,1.37,14.86,3.9,1.37,44.29,42.65,19.12,36.76,10.29,23.19,34.78,28.57,16.88,12.99,0,12.99,12.99,4.76,3.17,7.94,28.57,55.56,3.23,8.06,6.45,25.81,56.45,37.66,15.58,7.79,19.48,38.96,18.18,9.09,14.29,NA,NA,NA,NA,NA,11263079
2020-04-25,75,0,0,1.37,6.85,0,23.29,2.74,2.74,2.74,1.35,0,1.37,5.48,13.7,9.33,4.05,66.67,45.71,44.44,21.13,57.75,15.28,28.17,54.17,24,14.67,16,0,18.67,18.67,3.12,14.06,6.25,18.75,57.81,3.17,7.94,9.52,20.63,58.73,45.33,22.67,5.33,12,41.33,20,13.33,12,NA,NA,NA,NA,NA,0,0,1.37,6.85,0,23.29,2.74,2.74,2.74,1.35,0,1.37,5.48,13.7,9.33,4.05,45.71,44.44,21.13,57.75,15.28,28.17,54.17,24,14.67,16,0,18.67,18.67,3.12,14.06,6.25,18.75,57.81,3.17,7.94,9.52,20.63,58.73,45.33,22.67,5.33,12,41.33,20,13.33,12,NA,NA,NA,NA,NA,11263079
2020-04-26,79,2.6,1.3,2.6,5.19,2.6,24.05,10.39,7.79,9.09,5.19,1.32,0,3.9,15.38,9.21,1.33,0,41.1,49.3,19.44,41.67,12.5,38.89,50,37.97,16.46,11.39,0,13.92,13.92,1.45,11.59,4.35,17.39,65.22,5.71,8.57,4.29,17.14,64.29,46.84,21.52,7.59,12.66,39.24,22.78,12.66,15.19,NA,NA,NA,NA,NA,2.6,1.3,2.6,5.19,2.6,24.05,10.39,7.79,9.09,5.19,1.32,0,3.9,15.38,9.21,1.33,41.1,49.3,19.44,41.67,12.5,38.89,50,37.97,16.46,11.39,0,13.92,13.92,1.45,11.59,4.35,17.39,65.22,5.71,8.57,4.29,17.14,64.29,46.84,21.52,7.59,12.66,39.24,22.78,12.66,15.19,NA,NA,NA,NA,NA,11263079
2020-04-28,68,3.03,1.52,3.03,7.69,0,30.3,3.08,6.06,10.45,1.52,4.62,1.54,3.08,15.38,8.96,11.76,66.67,43.94,49.23,19.7,46.97,9.09,39.39,31.82,29.41,16.18,2.94,8.82,16.18,14.71,3.39,10.17,3.39,23.73,59.32,5,1.67,11.67,18.33,63.33,48.53,19.12,8.82,10.29,42.65,23.53,13.24,8.82,NA,NA,NA,NA,NA,3.03,1.52,3.03,7.69,0,30.3,3.08,6.06,10.45,1.52,4.62,1.54,3.08,15.38,8.96,11.76,43.94,49.23,19.7,46.97,9.09,39.39,31.82,29.41,16.18,2.94,8.82,16.18,14.71,3.39,10.17,3.39,23.73,59.32,5,1.67,11.67,18.33,63.33,48.53,19.12,8.82,10.29,42.65,23.53,13.24,8.82,NA,NA,NA,NA,NA,11263079
2020-04-29,51,2.04,0,4.08,6.12,4.08,24.49,10.2,4.08,6.12,2.04,2.04,4,2,12.24,8,0,NA,51.11,48.89,20,51.11,8.89,28.26,34.78,27.45,19.61,5.88,5.88,11.76,13.73,0,10,15,27.5,47.5,2.5,17.5,7.5,25,47.5,35.29,19.61,15.69,9.8,35.29,15.69,21.57,7.84,NA,NA,NA,NA,NA,2.04,0,4.08,6.12,4.08,24.49,10.2,4.08,6.12,2.04,2.04,4,2,12.24,8,0,51.11,48.89,20,51.11,8.89,28.26,34.78,27.45,19.61,5.88,5.88,11.76,13.73,0,10,15,27.5,47.5,2.5,17.5,7.5,25,47.5,35.29,19.61,15.69,9.8,35.29,15.69,21.57,7.84,NA,NA,NA,NA,NA,11263079
2020-04-30,56,1.82,1.82,7.27,10.91,12.73,20,16.07,5.45,3.64,7.27,5.45,7.27,9.26,16.07,12.5,3.57,100,50.98,61.11,26.92,56.6,11.32,30.19,47.17,26.79,21.43,8.93,3.57,19.64,8.93,0,10.64,12.77,25.53,51.06,4.26,6.38,21.28,23.4,44.68,41.07,17.86,8.93,16.07,55.36,10.71,8.93,10.71,NA,NA,NA,NA,NA,1.82,1.82,7.27,10.91,12.73,20,16.07,5.45,3.64,7.27,5.45,7.27,9.26,16.07,12.5,3.57,50.98,61.11,26.92,56.6,11.32,30.19,47.17,26.79,21.43,8.93,3.57,19.64,8.93,0,10.64,12.77,25.53,51.06,4.26,6.38,21.28,23.4,44.68,41.07,17.86,8.93,16.07,55.36,10.71,8.93,10.71,NA,NA,NA,NA,NA,11263079
2020-05-14,80,3.9,2.6,5.19,11.69,3.85,23.08,7.79,10.39,7.59,6.41,5.19,6.49,2.56,25.32,10.13,3.9,100,52.63,50,16.44,42.67,14.86,33.78,40.79,47.5,21.25,5,3.75,3.75,12.5,2.7,6.76,2.7,13.51,74.32,2.7,5.41,10.81,22.97,58.11,47.5,22.5,10,12.5,48.75,11.25,13.75,18.75,7.69,NA,NA,NA,NA,3.9,2.6,5.19,11.69,3.85,23.08,7.79,10.39,7.59,6.41,5.19,6.49,2.56,25.32,10.13,3.9,52.63,50,16.44,42.67,14.86,33.78,40.79,47.5,21.25,5,3.75,3.75,12.5,2.7,6.76,2.7,13.51,74.32,2.7,5.41,10.81,22.97,58.11,47.5,22.5,10,12.5,48.75,11.25,13.75,18.75,7.69,NA,NA,NA,NA,11263079
2020-05-15,86,3.61,2.41,4.82,6.1,2.44,21.69,10.84,8.54,3.66,9.76,2.47,2.44,6.17,18.29,10.47,3.61,33.33,51.25,53.66,25,58.02,23.46,34.15,51.25,46.51,15.12,8.14,6.98,3.49,8.14,8.33,4.17,9.72,27.78,50,7.14,5.71,14.29,24.29,48.57,51.16,15.12,4.65,12.79,45.35,10.47,15.12,15.12,3.61,NA,NA,NA,NA,3.61,2.41,4.82,6.1,2.44,21.69,10.84,8.54,3.66,9.76,2.47,2.44,6.17,18.29,10.47,3.61,51.25,53.66,25,58.02,23.46,34.15,51.25,46.51,15.12,8.14,6.98,3.49,8.14,8.33,4.17,9.72,27.78,50,7.14,5.71,14.29,24.29,48.57,51.16,15.12,4.65,12.79,45.35,10.47,15.12,15.12,3.61,NA,NA,NA,NA,11263079
2020-05-16,89,2.35,2.35,5.88,12.94,1.19,25,13.1,8.14,4.76,5.95,7.14,5.95,7.06,20.93,9.09,4.71,0,36.14,42.35,13.25,63.1,14.29,32.14,48.24,37.08,31.46,1.12,2.25,2.25,14.61,1.37,10.96,12.33,15.07,60.27,2.7,10.81,14.86,13.51,58.11,47.19,19.1,4.49,12.36,40.45,15.73,10.11,16.85,4.76,NA,NA,NA,NA,2.35,2.35,5.88,12.94,1.19,25,13.1,8.14,4.76,5.95,7.14,5.95,7.06,20.93,9.09,4.71,36.14,42.35,13.25,63.1,14.29,32.14,48.24,37.08,31.46,1.12,2.25,2.25,14.61,1.37,10.96,12.33,15.07,60.27,2.7,10.81,14.86,13.51,58.11,47.19,19.1,4.49,12.36,40.45,15.73,10.11,16.85,4.76,NA,NA,NA,NA,11263079
