"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_cli_past_smooth","pct_ili_past_smooth","pct_fever_past_smooth","pct_cough_past_smooth","pct_difficulty_breathing_past_smooth","pct_fatigue_past_smooth","pct_stuffy_runny_nose_past_smooth","pct_aches_muscle_pain_past_smooth","pct_sore_throat_past_smooth","pct_chest_pain_past_smooth","pct_nausea_past_smooth","pct_anosmia_ageusia_past_smooth","pct_eye_pain_past_smooth","pct_headache_past_smooth","pct_cmnty_sick_past_smooth","pct_ever_tested_past_smooth","pct_tested_recently_past_smooth","pct_worked_outside_home_past_smooth","pct_grocery_outside_home_past_smooth","pct_ate_outside_home_past_smooth","pct_spent_time_with_non_hh_past_smooth","pct_attended_public_event_past_smooth","pct_used_public_transit_past_smooth","pct_direct_contact_with_non_hh_past_smooth","pct_wear_mask_all_time_past_smooth","pct_wear_mask_most_time_past_smooth","pct_wear_mask_half_time_past_smooth","pct_wear_mask_some_time_past_smooth","pct_wear_mask_none_time_past_smooth","pct_no_public_past_smooth","pct_feel_nervous_all_time_past_smooth","pct_feel_nervous_most_time_past_smooth","pct_feel_nervous_some_time_past_smooth","pct_feel_nervous_little_time_past_smooth","pct_feel_nervous_none_time_past_smooth","pct_feel_depressed_all_time_past_smooth","pct_feel_depressed_most_time_past_smooth","pct_feel_depressed_some_time_past_smooth","pct_feel_depressed_little_time_past_smooth","pct_feel_depressed_none_time_past_smooth","pct_worried_ill_covid19_very_past_smooth","pct_worried_ill_covid19_somewhat_past_smooth","pct_worried_ill_covid19_notTooWorried_past_smooth","pct_worried_ill_covid19_notWorried_past_smooth","pct_enough_toEat_very_worried_past_smooth","pct_enough_toEat_somewhat_worried_past_smooth","pct_enough_toEat_notToo_worried_past_smooth","pct_enough_toEat_not_worried_past_smooth","pct_chills_past_smooth","pct_finances_very_worried_past_smooth","pct_finances_somewhat_worried_past_smooth","pct_finances_notToo_worried_past_smooth","pct_finances_not_worried_past_smooth","population"
2020-04-23,77,3.95,2.63,9.21,6.58,3.95,28.95,18.42,15.79,15.79,7.89,10.67,5.26,14.47,30.26,19.48,3.9,0,27.63,63.16,25.33,34.21,11.84,14.67,50.67,18.18,16.88,16.88,0,29.87,14.29,1.39,5.56,15.28,23.61,54.17,0,0,18.31,33.8,47.89,36.36,29.87,9.09,18.18,14.29,15.58,22.08,41.56,NA,NA,NA,NA,NA,3.95,2.63,9.21,6.58,3.95,28.95,18.42,15.79,15.79,7.89,10.67,5.26,14.47,30.26,19.48,3.9,0,27.63,63.16,25.33,34.21,11.84,14.67,50.67,18.18,16.88,16.88,0,29.87,14.29,1.39,5.56,15.28,23.61,54.17,0,0,18.31,33.8,47.89,36.36,29.87,9.09,18.18,14.29,15.58,22.08,41.56,NA,NA,NA,NA,NA,42813237
2020-04-24,483,1.51,1.08,2.38,8.86,2.16,28.42,18.42,16.16,11.85,5.15,3.24,1.94,8.62,16.99,11.41,3.46,50,26.53,66.96,24.49,42.25,15.73,16.37,55.9,12.84,13.04,17.81,0,29.61,17.6,1.67,3.83,11.96,18.66,63.88,3.34,4.53,15.27,20.05,56.8,21.74,32.51,15.94,16.98,11.8,24.64,18.43,32.3,NA,NA,NA,NA,NA,1.51,1.08,2.38,8.86,2.16,28.42,18.42,16.16,11.85,5.15,3.24,1.94,8.62,16.99,11.41,3.46,50,26.53,66.96,24.49,42.25,15.73,16.37,55.9,12.84,13.04,17.81,0,29.61,17.6,1.67,3.83,11.96,18.66,63.88,3.34,4.53,15.27,20.05,56.8,21.74,32.51,15.94,16.98,11.8,24.64,18.43,32.3,NA,NA,NA,NA,NA,42813237
2020-04-25,308,2.43,2.08,5.21,6.97,3.85,23.96,15.68,20.69,11.76,6.27,4.51,4.56,9.72,21.38,17.7,6.85,60,23.51,60.14,21.13,29.74,16.29,15.99,44.53,12.66,10.71,17.21,0,25.97,19.81,2.3,4.6,11.11,21.46,60.54,3.46,6.92,13.85,21.15,54.62,23.7,22.08,18.51,20.45,11.69,22.4,19.16,31.49,NA,NA,NA,NA,NA,2.43,2.08,5.21,6.97,3.85,23.96,15.68,20.69,11.76,6.27,4.51,4.56,9.72,21.38,17.7,6.85,60,23.51,60.14,21.13,29.74,16.29,15.99,44.53,12.66,10.71,17.21,0,25.97,19.81,2.3,4.6,11.11,21.46,60.54,3.46,6.92,13.85,21.15,54.62,23.7,22.08,18.51,20.45,11.69,22.4,19.16,31.49,NA,NA,NA,NA,NA,42813237
2020-04-26,314,2.37,1.36,4.41,9.86,3.74,26.85,15.25,14.81,13.22,4.42,3.05,4.08,9.52,22.97,13.38,7.19,33.33,23.34,57.73,17.79,36.01,14.79,20.62,49.32,10.51,15.61,12.1,0,28.66,23.57,2.21,4.06,11.07,19.93,62.73,4.09,5.95,13.75,14.87,61.34,19.43,29.62,17.2,19.11,11.46,21.34,14.65,38.54,NA,NA,NA,NA,NA,2.37,1.36,4.41,9.86,3.74,26.85,15.25,14.81,13.22,4.42,3.05,4.08,9.52,22.97,13.38,7.19,33.33,23.34,57.73,17.79,36.01,14.79,20.62,49.32,10.51,15.61,12.1,0,28.66,23.57,2.21,4.06,11.07,19.93,62.73,4.09,5.95,13.75,14.87,61.34,19.43,29.62,17.2,19.11,11.46,21.34,14.65,38.54,NA,NA,NA,NA,NA,42813237
2020-04-27,306,1.05,0.7,1.75,10.42,2.1,25.26,21.8,15.73,10.73,5.21,1.75,5.57,8.36,18.53,13.73,3.69,40,23.13,58.74,18.77,33.45,15.58,20,52.04,9.15,15.03,17.32,0,29.08,21.57,1.46,3.65,10.95,19.71,64.23,2.55,4.38,14.23,18.25,60.58,20.26,32.35,16.01,21.57,10.13,22.88,16.34,41.83,NA,NA,NA,NA,NA,1.05,0.7,1.75,10.42,2.1,25.26,21.8,15.73,10.73,5.21,1.75,5.57,8.36,18.53,13.73,3.69,40,23.13,58.74,18.77,33.45,15.58,20,52.04,9.15,15.03,17.32,0,29.08,21.57,1.46,3.65,10.95,19.71,64.23,2.55,4.38,14.23,18.25,60.58,20.26,32.35,16.01,21.57,10.13,22.88,16.34,41.83,NA,NA,NA,NA,NA,42813237
2020-04-28,330,1.26,0.32,3.47,7.55,3.16,25.94,15.99,16.35,10.41,6.33,4.11,3.49,11.01,22.26,13.41,3.45,50,26.14,58.65,17.76,36.39,13.36,12.42,49.68,11.52,11.52,6.67,7.88,24.85,28.79,0.7,3.17,10.92,20.77,64.44,1.76,6.69,14.44,22.18,54.93,15.45,29.7,20,20.91,10,16.36,18.18,42.73,NA,NA,NA,NA,NA,1.26,0.32,3.47,7.55,3.16,25.94,15.99,16.35,10.41,6.33,4.11,3.49,11.01,22.26,13.41,3.45,50,26.14,58.65,17.76,36.39,13.36,12.42,49.68,11.52,11.52,6.67,7.88,24.85,28.79,0.7,3.17,10.92,20.77,64.44,1.76,6.69,14.44,22.18,54.93,15.45,29.7,20,20.91,10,16.36,18.18,42.73,NA,NA,NA,NA,NA,42813237
2020-04-29,317,2.35,2.01,5.03,6.44,3.05,28.57,14.92,18.12,9.8,7.09,5.07,4.07,10.37,25.58,15.51,4.32,50,25.45,61.03,19.57,39.72,15.77,17.38,51.19,11.36,10.41,8.2,10.73,25.55,25.24,1.81,4.71,9.78,16.67,67.03,1.46,7.3,15.33,17.52,58.39,20.19,35.96,14.2,16.09,10.73,17.98,19.56,38.49,NA,NA,NA,NA,NA,2.35,2.01,5.03,6.44,3.05,28.57,14.92,18.12,9.8,7.09,5.07,4.07,10.37,25.58,15.51,4.32,50,25.45,61.03,19.57,39.72,15.77,17.38,51.19,11.36,10.41,8.2,10.73,25.55,25.24,1.81,4.71,9.78,16.67,67.03,1.46,7.3,15.33,17.52,58.39,20.19,35.96,14.2,16.09,10.73,17.98,19.56,38.49,NA,NA,NA,NA,NA,42813237
2020-04-30,333,1.26,1.26,4.73,10.41,3.15,23.36,17.61,12.93,11.29,5.68,4.42,5.35,10.41,20.94,16.57,4.01,33.33,22.3,54.98,16.17,34.11,10,15.51,47.91,10.51,11.41,5.11,7.81,28.23,28.83,2.04,3.4,14.29,19.05,61.22,3.77,7.19,11.99,20.21,56.85,24.92,37.84,12.31,12.61,13.51,21.32,18.62,35.44,NA,NA,NA,NA,NA,1.26,1.26,4.73,10.41,3.15,23.36,17.61,12.93,11.29,5.68,4.42,5.35,10.41,20.94,16.57,4.01,33.33,22.3,54.98,16.17,34.11,10,15.51,47.91,10.51,11.41,5.11,7.81,28.23,28.83,2.04,3.4,14.29,19.05,61.22,3.77,7.19,11.99,20.21,56.85,24.92,37.84,12.31,12.61,13.51,21.32,18.62,35.44,NA,NA,NA,NA,NA,42813237
2020-05-01,156,2.72,2.72,6.12,11.64,5.52,21.77,20.41,15.65,13.01,6.12,2.05,7.48,6.85,19.18,9.09,1.35,NA,23.4,59.59,17.02,35.92,14.18,12.06,48.3,15.38,9.62,7.69,7.05,28.21,23.08,1.47,5.15,13.97,19.12,60.29,0.73,2.92,14.6,21.9,59.85,23.08,34.62,17.95,12.82,12.82,26.28,18.59,31.41,NA,NA,NA,NA,NA,2.72,2.72,6.12,11.64,5.52,21.77,20.41,15.65,13.01,6.12,2.05,7.48,6.85,19.18,9.09,1.35,NA,23.4,59.59,17.02,35.92,14.18,12.06,48.3,15.38,9.62,7.69,7.05,28.21,23.08,1.47,5.15,13.97,19.12,60.29,0.73,2.92,14.6,21.9,59.85,23.08,34.62,17.95,12.82,12.82,26.28,18.59,31.41,NA,NA,NA,NA,NA,42813237
2020-05-02,146,2.11,1.41,4.23,8.51,1.42,26.06,17.73,17.61,9.86,7.09,2.13,3.5,7.8,20.42,18.62,3.47,100,16.67,54.48,13.49,32.33,8.46,6.82,40.74,9.59,15.07,4.11,6.85,21.23,31.51,0.79,6.35,11.11,15.87,65.87,1.59,8.73,12.7,15.08,61.9,24.66,37.67,11.64,12.33,8.9,24.66,19.86,32.88,NA,NA,NA,NA,NA,2.11,1.41,4.23,8.51,1.42,26.06,17.73,17.61,9.86,7.09,2.13,3.5,7.8,20.42,18.62,3.47,100,16.67,54.48,13.49,32.33,8.46,6.82,40.74,9.59,15.07,4.11,6.85,21.23,31.51,0.79,6.35,11.11,15.87,65.87,1.59,8.73,12.7,15.08,61.9,24.66,37.67,11.64,12.33,8.9,24.66,19.86,32.88,NA,NA,NA,NA,NA,42813237
