"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_cli_past_smooth","pct_ili_past_smooth","pct_fever_past_smooth","pct_cough_past_smooth","pct_difficulty_breathing_past_smooth","pct_fatigue_past_smooth","pct_stuffy_runny_nose_past_smooth","pct_aches_muscle_pain_past_smooth","pct_sore_throat_past_smooth","pct_chest_pain_past_smooth","pct_nausea_past_smooth","pct_anosmia_ageusia_past_smooth","pct_eye_pain_past_smooth","pct_headache_past_smooth","pct_cmnty_sick_past_smooth","pct_ever_tested_past_smooth","pct_tested_recently_past_smooth","pct_worked_outside_home_past_smooth","pct_grocery_outside_home_past_smooth","pct_ate_outside_home_past_smooth","pct_spent_time_with_non_hh_past_smooth","pct_attended_public_event_past_smooth","pct_used_public_transit_past_smooth","pct_direct_contact_with_non_hh_past_smooth","pct_wear_mask_all_time_past_smooth","pct_wear_mask_most_time_past_smooth","pct_wear_mask_half_time_past_smooth","pct_wear_mask_some_time_past_smooth","pct_wear_mask_none_time_past_smooth","pct_no_public_past_smooth","pct_feel_nervous_all_time_past_smooth","pct_feel_nervous_most_time_past_smooth","pct_feel_nervous_some_time_past_smooth","pct_feel_nervous_little_time_past_smooth","pct_feel_nervous_none_time_past_smooth","pct_feel_depressed_all_time_past_smooth","pct_feel_depressed_most_time_past_smooth","pct_feel_depressed_some_time_past_smooth","pct_feel_depressed_little_time_past_smooth","pct_feel_depressed_none_time_past_smooth","pct_worried_ill_covid19_very_past_smooth","pct_worried_ill_covid19_somewhat_past_smooth","pct_worried_ill_covid19_notTooWorried_past_smooth","pct_worried_ill_covid19_notWorried_past_smooth","pct_enough_toEat_very_worried_past_smooth","pct_enough_toEat_somewhat_worried_past_smooth","pct_enough_toEat_notToo_worried_past_smooth","pct_enough_toEat_not_worried_past_smooth","pct_chills_past_smooth","pct_finances_very_worried_past_smooth","pct_finances_somewhat_worried_past_smooth","pct_finances_notToo_worried_past_smooth","pct_finances_not_worried_past_smooth","population"
2020-04-24,60,1.69,1.69,1.69,10.17,5.08,18.64,10.17,5.08,6.78,6.78,10.17,1.69,6.78,23.73,3.39,10.71,50,28.07,46.55,0,31.03,3.51,0,37.93,58.33,3.33,13.33,0,1.67,16.67,0,5.26,24.56,14.04,56.14,1.75,8.77,19.3,26.32,43.86,16.67,45,20,11.67,8.33,35,21.67,30,NA,NA,NA,NA,NA,1.69,1.69,1.69,10.17,5.08,18.64,10.17,5.08,6.78,6.78,10.17,1.69,6.78,23.73,3.39,10.71,50,28.07,46.55,0,31.03,3.51,0,37.93,58.33,3.33,13.33,0,1.67,16.67,0,5.26,24.56,14.04,56.14,1.75,8.77,19.3,26.32,43.86,16.67,45,20,11.67,8.33,35,21.67,30,NA,NA,NA,NA,NA,6415851
2020-04-25,169,0,0,0.61,6.06,1.82,18.79,8.48,9.09,6.67,3.05,4.24,0,4.85,16.87,4.17,3.03,33.33,23.46,58.28,1.86,22.98,4.97,1.86,25,53.25,5.33,8.28,0,1.78,25.44,0.68,1.35,18.24,17.57,62.16,0,4.05,25.68,17.57,52.7,17.16,29.59,18.34,22.49,7.1,21.89,25.44,33.14,NA,NA,NA,NA,NA,0,0,0.61,6.06,1.82,18.79,8.48,9.09,6.67,3.05,4.24,0,4.85,16.87,4.17,3.03,33.33,23.46,58.28,1.86,22.98,4.97,1.86,25,53.25,5.33,8.28,0,1.78,25.44,0.68,1.35,18.24,17.57,62.16,0,4.05,25.68,17.57,52.7,17.16,29.59,18.34,22.49,7.1,21.89,25.44,33.14,NA,NA,NA,NA,NA,6415851
2020-04-26,85,0,0,0,6.02,0,18.07,10.71,11.9,4.82,2.41,2.41,1.2,8.43,14.46,5.88,3.57,50,24.1,50,0,36.14,6.02,3.61,32.93,41.18,12.94,8.24,0,2.35,28.24,0,2.7,21.62,14.86,60.81,1.35,4.05,18.92,20.27,55.41,15.29,30.59,20,21.18,4.71,20,22.35,40,NA,NA,NA,NA,NA,0,0,0,6.02,0,18.07,10.71,11.9,4.82,2.41,2.41,1.2,8.43,14.46,5.88,3.57,50,24.1,50,0,36.14,6.02,3.61,32.93,41.18,12.94,8.24,0,2.35,28.24,0,2.7,21.62,14.86,60.81,1.35,4.05,18.92,20.27,55.41,15.29,30.59,20,21.18,4.71,20,22.35,40,NA,NA,NA,NA,NA,6415851
2020-04-27,101,1.02,1.02,1.02,4.08,3.06,19.39,6.06,9.18,5.05,2.04,4.08,0,9.28,14.29,3.96,5,0,29.29,56.7,4.12,32.99,8.25,5.15,42.42,42.57,6.93,10.89,0,4.95,31.68,3.26,2.17,14.13,15.22,65.22,2.17,2.17,18.48,20.65,56.52,19.8,27.72,17.82,25.74,12.87,15.84,19.8,42.57,NA,NA,NA,NA,NA,1.02,1.02,1.02,4.08,3.06,19.39,6.06,9.18,5.05,2.04,4.08,0,9.28,14.29,3.96,5,0,29.29,56.7,4.12,32.99,8.25,5.15,42.42,42.57,6.93,10.89,0,4.95,31.68,3.26,2.17,14.13,15.22,65.22,2.17,2.17,18.48,20.65,56.52,19.8,27.72,17.82,25.74,12.87,15.84,19.8,42.57,NA,NA,NA,NA,NA,6415851
2020-04-28,96,1.06,0,1.06,6.38,2.13,25.53,13.83,9.47,6.32,3.19,2.13,0,6.38,13.83,5.26,9.68,50,22.83,60.87,2.2,30.43,7.61,1.1,31.87,59.38,6.25,3.12,2.08,0,21.88,0,3.53,17.65,14.12,64.71,2.35,5.88,16.47,17.65,57.65,25,29.17,14.58,19.79,16.67,27.08,15.62,28.12,NA,NA,NA,NA,NA,1.06,0,1.06,6.38,2.13,25.53,13.83,9.47,6.32,3.19,2.13,0,6.38,13.83,5.26,9.68,50,22.83,60.87,2.2,30.43,7.61,1.1,31.87,59.38,6.25,3.12,2.08,0,21.88,0,3.53,17.65,14.12,64.71,2.35,5.88,16.47,17.65,57.65,25,29.17,14.58,19.79,16.67,27.08,15.62,28.12,NA,NA,NA,NA,NA,6415851
2020-04-29,82,0,0,0,6.25,1.25,22.5,13.75,8.75,5,3.75,3.75,0,6.25,13.75,1.23,4.94,0,24.05,56.96,2.53,22.78,3.8,1.27,26.58,57.32,8.54,4.88,1.22,2.44,18.29,0,5.56,25,11.11,58.33,1.39,2.78,25,9.72,61.11,10.98,37.8,18.29,20.73,9.76,20.73,19.51,37.8,NA,NA,NA,NA,NA,0,0,0,6.25,1.25,22.5,13.75,8.75,5,3.75,3.75,0,6.25,13.75,1.23,4.94,0,24.05,56.96,2.53,22.78,3.8,1.27,26.58,57.32,8.54,4.88,1.22,2.44,18.29,0,5.56,25,11.11,58.33,1.39,2.78,25,9.72,61.11,10.98,37.8,18.29,20.73,9.76,20.73,19.51,37.8,NA,NA,NA,NA,NA,6415851
2020-04-30,84,1.22,0,1.22,8.43,0,23.81,2.44,9.76,4.88,1.22,2.44,3.66,12.2,17.28,8.33,2.44,100,28.75,58.75,2.5,41.25,6.25,1.25,50.63,48.81,8.33,7.14,3.57,1.19,23.81,3.95,1.32,15.79,15.79,63.16,1.32,2.63,21.05,25,50,10.71,38.1,22.62,19.05,11.9,27.38,23.81,27.38,NA,NA,NA,NA,NA,1.22,0,1.22,8.43,0,23.81,2.44,9.76,4.88,1.22,2.44,3.66,12.2,17.28,8.33,2.44,100,28.75,58.75,2.5,41.25,6.25,1.25,50.63,48.81,8.33,7.14,3.57,1.19,23.81,3.95,1.32,15.79,15.79,63.16,1.32,2.63,21.05,25,50,10.71,38.1,22.62,19.05,11.9,27.38,23.81,27.38,NA,NA,NA,NA,NA,6415851
2020-05-01,66,0,1.56,1.56,12.5,3.12,21.88,15.62,9.38,4.62,4.69,1.56,3.12,6.25,28.12,1.52,9.09,50,15.38,69.7,1.54,24.62,6.15,6.15,29.69,45.45,16.67,6.06,0,4.55,22.73,3.23,4.84,14.52,19.35,58.06,4.84,3.23,19.35,24.19,48.39,15.15,36.36,19.7,21.21,15.15,19.7,22.73,36.36,NA,NA,NA,NA,NA,0,1.56,1.56,12.5,3.12,21.88,15.62,9.38,4.62,4.69,1.56,3.12,6.25,28.12,1.52,9.09,50,15.38,69.7,1.54,24.62,6.15,6.15,29.69,45.45,16.67,6.06,0,4.55,22.73,3.23,4.84,14.52,19.35,58.06,4.84,3.23,19.35,24.19,48.39,15.15,36.36,19.7,21.21,15.15,19.7,22.73,36.36,NA,NA,NA,NA,NA,6415851
2020-05-03,115,0.89,0.89,0.89,4.46,1.79,22.32,9.82,7.14,4.46,2.68,3.54,2.68,8.85,13.27,3.48,7.96,33.33,18.69,53.27,0,35.51,5.61,0.94,38.89,45.22,15.65,6.96,2.61,0.87,20.87,0,2.88,16.35,20.19,60.58,1.92,4.81,20.19,19.23,53.85,14.78,40,17.39,19.13,10.43,21.74,29.57,29.57,NA,NA,NA,NA,NA,0.89,0.89,0.89,4.46,1.79,22.32,9.82,7.14,4.46,2.68,3.54,2.68,8.85,13.27,3.48,7.96,33.33,18.69,53.27,0,35.51,5.61,0.94,38.89,45.22,15.65,6.96,2.61,0.87,20.87,0,2.88,16.35,20.19,60.58,1.92,4.81,20.19,19.23,53.85,14.78,40,17.39,19.13,10.43,21.74,29.57,29.57,NA,NA,NA,NA,NA,6415851
2020-05-04,127,0,0,0,3.2,1.6,17.46,8,11.2,4,0,4,1.6,5.6,19.84,3.17,5.65,NA,25,60.48,2.54,37.82,6.78,1.68,35.25,44.09,14.17,5.51,5.51,1.57,24.41,1.74,3.48,20,15.65,59.13,0.86,4.31,26.72,15.52,52.59,22.05,29.92,14.96,24.41,12.6,23.62,26.77,26.77,NA,NA,NA,NA,NA,0,0,0,3.2,1.6,17.46,8,11.2,4,0,4,1.6,5.6,19.84,3.17,5.65,NA,25,60.48,2.54,37.82,6.78,1.68,35.25,44.09,14.17,5.51,5.51,1.57,24.41,1.74,3.48,20,15.65,59.13,0.86,4.31,26.72,15.52,52.59,22.05,29.92,14.96,24.41,12.6,23.62,26.77,26.77,NA,NA,NA,NA,NA,6415851
