"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_cli_past_smooth","pct_ili_past_smooth","pct_fever_past_smooth","pct_cough_past_smooth","pct_difficulty_breathing_past_smooth","pct_fatigue_past_smooth","pct_stuffy_runny_nose_past_smooth","pct_aches_muscle_pain_past_smooth","pct_sore_throat_past_smooth","pct_chest_pain_past_smooth","pct_nausea_past_smooth","pct_anosmia_ageusia_past_smooth","pct_eye_pain_past_smooth","pct_headache_past_smooth","pct_cmnty_sick_past_smooth","pct_ever_tested_past_smooth","pct_tested_recently_past_smooth","pct_worked_outside_home_past_smooth","pct_grocery_outside_home_past_smooth","pct_ate_outside_home_past_smooth","pct_spent_time_with_non_hh_past_smooth","pct_attended_public_event_past_smooth","pct_used_public_transit_past_smooth","pct_direct_contact_with_non_hh_past_smooth","pct_wear_mask_all_time_past_smooth","pct_wear_mask_most_time_past_smooth","pct_wear_mask_half_time_past_smooth","pct_wear_mask_some_time_past_smooth","pct_wear_mask_none_time_past_smooth","pct_no_public_past_smooth","pct_feel_nervous_all_time_past_smooth","pct_feel_nervous_most_time_past_smooth","pct_feel_nervous_some_time_past_smooth","pct_feel_nervous_little_time_past_smooth","pct_feel_nervous_none_time_past_smooth","pct_feel_depressed_all_time_past_smooth","pct_feel_depressed_most_time_past_smooth","pct_feel_depressed_some_time_past_smooth","pct_feel_depressed_little_time_past_smooth","pct_feel_depressed_none_time_past_smooth","pct_worried_ill_covid19_very_past_smooth","pct_worried_ill_covid19_somewhat_past_smooth","pct_worried_ill_covid19_notTooWorried_past_smooth","pct_worried_ill_covid19_notWorried_past_smooth","pct_enough_toEat_very_worried_past_smooth","pct_enough_toEat_somewhat_worried_past_smooth","pct_enough_toEat_notToo_worried_past_smooth","pct_enough_toEat_not_worried_past_smooth","pct_chills_past_smooth","pct_finances_very_worried_past_smooth","pct_finances_somewhat_worried_past_smooth","pct_finances_notToo_worried_past_smooth","pct_finances_not_worried_past_smooth","population"
2020-04-23,164,0.62,0.62,0.62,12.5,6.88,19.38,34.57,11.88,10,5,3.12,0.62,11.18,13.12,3.66,4.29,0,28.75,55.83,5,52.17,1.89,15.09,47.85,80.49,15.24,0.61,0,0,3.05,0,3.7,6.17,12.96,77.16,0,4.32,6.17,17.28,72.22,10.98,34.76,34.76,18.29,0,2.44,15.85,80.49,NA,NA,NA,NA,NA,0.62,0.62,0.62,12.5,6.88,19.38,34.57,11.88,10,5,3.12,0.62,11.18,13.12,3.66,4.29,0,28.75,55.83,5,52.17,1.89,15.09,47.85,80.49,15.24,0.61,0,0,3.05,0,3.7,6.17,12.96,77.16,0,4.32,6.17,17.28,72.22,10.98,34.76,34.76,18.29,0,2.44,15.85,80.49,NA,NA,NA,NA,NA,10649800
2020-04-24,1239,0.32,0.41,0.57,13.38,7.57,31.33,28.73,11.7,8.28,4.22,4.54,1.3,9.25,19.94,2.91,3.27,47.37,37.6,69.26,6.63,53.33,2,17.82,55.27,81.36,11.22,1.21,0,0,2.42,0.51,0.94,8.06,16.98,73.5,0.43,0.94,6,15.6,77.04,9.2,32.28,32.85,19.85,1.29,3.39,13.16,76.76,NA,NA,NA,NA,NA,0.32,0.41,0.57,13.38,7.57,31.33,28.73,11.7,8.28,4.22,4.54,1.3,9.25,19.94,2.91,3.27,47.37,37.6,69.26,6.63,53.33,2,17.82,55.27,81.36,11.22,1.21,0,0,2.42,0.51,0.94,8.06,16.98,73.5,0.43,0.94,6,15.6,77.04,9.2,32.28,32.85,19.85,1.29,3.39,13.16,76.76,NA,NA,NA,NA,NA,10649800
2020-04-25,928,0.43,0.33,0.65,11.4,8.03,30.05,28.97,12.66,7.06,3.8,4.56,1.63,10.41,19.74,3.78,4.58,43.48,32.63,68.32,7.25,58.34,2.89,19.23,58.2,79.74,12.39,1.29,0,0.22,2.26,0.8,1.83,6.88,15.71,74.77,0.57,1.83,6.76,15.92,74.91,9.7,30.93,35.24,18.21,1.29,2.8,14.76,75.54,NA,NA,NA,NA,NA,0.43,0.33,0.65,11.4,8.03,30.05,28.97,12.66,7.06,3.8,4.56,1.63,10.41,19.74,3.78,4.58,43.48,32.63,68.32,7.25,58.34,2.89,19.23,58.2,79.74,12.39,1.29,0,0.22,2.26,0.8,1.83,6.88,15.71,74.77,0.57,1.83,6.76,15.92,74.91,9.7,30.93,35.24,18.21,1.29,2.8,14.76,75.54,NA,NA,NA,NA,NA,10649800
2020-04-26,905,0.44,0.33,0.67,10.22,6.44,30.82,28.11,10.88,6.22,2.78,3.89,0.44,8.55,17.31,2.55,4.97,28.57,25,60.51,7.09,55.71,3.59,13.53,55.82,75.69,14.92,1.44,0,0.11,2.54,0.48,1.56,6,15.59,76.38,0.6,1.44,4.19,15.45,78.32,9.06,28.62,34.36,20.11,0.77,1.99,13.04,76.91,NA,NA,NA,NA,NA,0.44,0.33,0.67,10.22,6.44,30.82,28.11,10.88,6.22,2.78,3.89,0.44,8.55,17.31,2.55,4.97,28.57,25,60.51,7.09,55.71,3.59,13.53,55.82,75.69,14.92,1.44,0,0.11,2.54,0.48,1.56,6,15.59,76.38,0.6,1.44,4.19,15.45,78.32,9.06,28.62,34.36,20.11,0.77,1.99,13.04,76.91,NA,NA,NA,NA,NA,10649800
2020-04-27,994,0.91,0.71,1.11,12.04,6.08,26.74,24.95,10.73,7.29,4.16,3.75,1.11,10.32,18.71,3.73,3.88,73.68,34.44,61.56,8,55.7,3.51,17.54,55.75,76.16,14.49,1.51,0.1,0.2,3.72,1.07,1.61,7.52,17.51,72.29,1.08,1.51,5.27,17.1,75.05,11.87,29.58,33.4,18.81,1.31,3.42,13.88,76.06,NA,NA,NA,NA,NA,0.91,0.71,1.11,12.04,6.08,26.74,24.95,10.73,7.29,4.16,3.75,1.11,10.32,18.71,3.73,3.88,73.68,34.44,61.56,8,55.7,3.51,17.54,55.75,76.16,14.49,1.51,0.1,0.2,3.72,1.07,1.61,7.52,17.51,72.29,1.08,1.51,5.27,17.1,75.05,11.87,29.58,33.4,18.81,1.31,3.42,13.88,76.06,NA,NA,NA,NA,NA,10649800
2020-04-28,958,0.74,0.63,1.05,9.78,6.32,27.42,28.23,11.45,5.37,3.47,4.53,1.47,7.68,17.96,3.88,5.62,51.61,39.29,67.02,6.74,55.85,3.03,19.29,58.03,74.43,14.72,0.84,0.94,0.1,3.55,0.68,1.36,5.56,17.93,74.46,0.91,1.93,4.43,16.25,76.48,9.19,32.15,32.15,18.68,1.25,2.51,11.59,76.93,NA,NA,NA,NA,NA,0.74,0.63,1.05,9.78,6.32,27.42,28.23,11.45,5.37,3.47,4.53,1.47,7.68,17.96,3.88,5.62,51.61,39.29,67.02,6.74,55.85,3.03,19.29,58.03,74.43,14.72,0.84,0.94,0.1,3.55,0.68,1.36,5.56,17.93,74.46,0.91,1.93,4.43,16.25,76.48,9.19,32.15,32.15,18.68,1.25,2.51,11.59,76.93,NA,NA,NA,NA,NA,10649800
2020-04-29,858,0.59,0.83,1.07,10.53,8.53,30.98,27.07,13,6.74,4.37,5.09,0.83,8.76,20.12,3.96,5.92,46.43,36.84,67.23,8.95,55.02,4.41,20.39,56.16,76.81,14.45,0.93,0.47,0,2.56,0.76,1.14,6.69,16.67,74.75,0.88,0.88,5.05,17.3,75.88,8.16,30.65,33.8,19.7,0.7,3.73,12.7,75.76,NA,NA,NA,NA,NA,0.59,0.83,1.07,10.53,8.53,30.98,27.07,13,6.74,4.37,5.09,0.83,8.76,20.12,3.96,5.92,46.43,36.84,67.23,8.95,55.02,4.41,20.39,56.16,76.81,14.45,0.93,0.47,0,2.56,0.76,1.14,6.69,16.67,74.75,0.88,0.88,5.05,17.3,75.88,8.16,30.65,33.8,19.7,0.7,3.73,12.7,75.76,NA,NA,NA,NA,NA,10649800
2020-04-30,754,0.53,0.53,0.53,9.21,6.67,28.11,21.57,12.28,7.09,4.69,4.55,2.27,9.22,17.25,3.2,4.45,66.67,39.84,70.03,10.1,56.22,4.13,21.8,58.69,79.71,12.07,0.53,0.13,0,3.18,0.42,2.4,8.6,14.95,73.62,0.56,2.54,5.23,14.55,77.12,8.89,29.18,33.02,22.94,0.8,2.65,12.6,78.12,NA,NA,NA,NA,NA,0.53,0.53,0.53,9.21,6.67,28.11,21.57,12.28,7.09,4.69,4.55,2.27,9.22,17.25,3.2,4.45,66.67,39.84,70.03,10.1,56.22,4.13,21.8,58.69,79.71,12.07,0.53,0.13,0,3.18,0.42,2.4,8.6,14.95,73.62,0.56,2.54,5.23,14.55,77.12,8.89,29.18,33.02,22.94,0.8,2.65,12.6,78.12,NA,NA,NA,NA,NA,10649800
2020-05-01,726,0.28,0.28,0.55,9.13,7.06,31.63,23.93,13.12,7.19,3.32,4.57,1.39,8.7,19.81,2.75,4.74,33.33,38.52,66.2,10.19,60.11,3.84,19.52,60.93,73.83,18.87,0.83,0.55,0,2.48,0.44,1.45,8.14,17.3,72.67,0.58,1.01,6.81,14.64,76.96,9.64,27.82,36.23,21.07,1.38,3.17,14.33,76.45,NA,NA,NA,NA,NA,0.28,0.28,0.55,9.13,7.06,31.63,23.93,13.12,7.19,3.32,4.57,1.39,8.7,19.81,2.75,4.74,33.33,38.52,66.2,10.19,60.11,3.84,19.52,60.93,73.83,18.87,0.83,0.55,0,2.48,0.44,1.45,8.14,17.3,72.67,0.58,1.01,6.81,14.64,76.96,9.64,27.82,36.23,21.07,1.38,3.17,14.33,76.45,NA,NA,NA,NA,NA,10649800
2020-05-02,721,0.28,0.28,0.28,11.03,6.59,27.23,22.98,9.79,7.98,3.78,4.06,0.42,8.39,16.6,2.08,5.06,53.33,29.34,63.87,8.82,59.19,4.38,18.96,60.14,75.03,15.12,0.83,0.55,0.14,3.47,0.59,2.08,7.12,17.51,72.7,0.6,1.49,6.99,13.1,77.83,7.21,28.43,36.75,21.08,1.11,3.74,12.76,76.28,NA,NA,NA,NA,NA,0.28,0.28,0.28,11.03,6.59,27.23,22.98,9.79,7.98,3.78,4.06,0.42,8.39,16.6,2.08,5.06,53.33,29.34,63.87,8.82,59.19,4.38,18.96,60.14,75.03,15.12,0.83,0.55,0.14,3.47,0.59,2.08,7.12,17.51,72.7,0.6,1.49,6.99,13.1,77.83,7.21,28.43,36.75,21.08,1.11,3.74,12.76,76.28,NA,NA,NA,NA,NA,10649800
