"date","reg_code","reg_name","population","cases","deaths","hospital","icu","cases_prev_week","deaths_prev_week","hospital_prev_week","icu_prev_week"
2020-01-01,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-02,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-03,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-04,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-05,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-06,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-07,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-08,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-09,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-10,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-11,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-12,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-13,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-14,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-15,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-16,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-17,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-18,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-19,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-20,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-21,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-22,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-23,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-24,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-25,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-26,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-27,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-28,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-29,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-30,NA,NA,NA,0,0,0,0,0,0,0,0
2020-01-31,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-01,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-02,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-03,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-04,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-05,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-06,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-07,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-08,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-09,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-10,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-11,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-12,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-13,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-14,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-15,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-16,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-17,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-18,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-19,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-20,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-21,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-22,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-23,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-24,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-25,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-26,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-27,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-28,NA,NA,NA,0,0,0,0,0,0,0,0
2020-02-29,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-01,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-02,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-03,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-04,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-05,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-06,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-07,NA,NA,NA,0,0,0,0,0,0,0,0
2020-03-08,"ESML","Melilla",86487,0,0,1,0,0,0,1,0
2020-03-09,"ESML","Melilla",86487,0,0,0,0,0,0,1,0
2020-03-10,"ESML","Melilla",86487,0,0,0,0,0,0,1,0
2020-03-11,"ESML","Melilla",86487,0,0,3,0,0,0,4,0
2020-03-12,"ESML","Melilla",86487,2,0,1,0,2,0,5,0
2020-03-13,"ESML","Melilla",86487,1,0,0,0,3,0,5,0
2020-03-14,"ESML","Melilla",86487,2,0,0,0,5,0,5,0
2020-03-15,"ESML","Melilla",86487,11,0,0,0,16,0,4,0
2020-03-16,"ESML","Melilla",86487,0,0,0,0,16,0,4,0
2020-03-17,"ESML","Melilla",86487,4,0,0,0,20,0,4,0
2020-03-18,"ESML","Melilla",86487,1,0,0,0,21,0,1,0
2020-03-19,"ESML","Melilla",86487,3,0,1,0,22,0,1,0
2020-03-20,"ESML","Melilla",86487,1,0,6,1,22,0,7,1
2020-03-21,"ESML","Melilla",86487,0,0,2,0,20,0,9,1
2020-03-22,"ESML","Melilla",86487,3,0,0,0,12,0,9,1
2020-03-23,"ESML","Melilla",86487,0,0,1,1,12,0,10,2
2020-03-24,"ESML","Melilla",86487,10,0,2,0,18,0,12,2
2020-03-25,"ESML","Melilla",86487,1,1,1,0,18,1,13,2
2020-03-26,"ESML","Melilla",86487,2,0,6,0,17,1,18,2
2020-03-27,"ESML","Melilla",86487,2,0,1,0,18,1,13,1
2020-03-28,"ESML","Melilla",86487,3,0,5,0,21,1,16,1
2020-03-29,"ESML","Melilla",86487,5,0,0,1,23,1,16,2
2020-03-30,"ESML","Melilla",86487,4,0,0,0,27,1,15,1
2020-03-31,"ESML","Melilla",86487,2,0,4,0,19,1,17,1
2020-04-01,"ESML","Melilla",86487,0,0,0,0,18,0,16,1
2020-04-02,"ESML","Melilla",86487,14,1,2,0,30,1,12,1
2020-04-03,"ESML","Melilla",86487,3,0,2,0,31,1,13,1
2020-04-04,"ESML","Melilla",86487,7,0,0,0,35,1,8,1
2020-04-05,"ESML","Melilla",86487,6,0,0,0,36,1,8,0
2020-04-06,"ESML","Melilla",86487,0,0,0,0,32,1,8,0
2020-04-07,"ESML","Melilla",86487,1,0,1,0,31,1,5,0
2020-04-08,"ESML","Melilla",86487,0,0,2,0,31,1,7,0
2020-04-09,"ESML","Melilla",86487,2,0,0,0,19,0,5,0
2020-04-10,"ESML","Melilla",86487,3,0,1,0,19,0,4,0
2020-04-11,"ESML","Melilla",86487,0,0,0,0,12,0,4,0
2020-04-12,"ESML","Melilla",86487,3,0,0,0,9,0,4,0
2020-04-13,"ESML","Melilla",86487,0,0,0,0,9,0,4,0
2020-04-14,"ESML","Melilla",86487,1,0,1,0,9,0,4,0
2020-04-15,"ESML","Melilla",86487,1,0,0,0,10,0,2,0
2020-04-16,"ESML","Melilla",86487,1,0,0,0,9,0,2,0
2020-04-17,"ESML","Melilla",86487,0,0,0,0,6,0,1,0
2020-04-18,"ESML","Melilla",86487,0,0,0,0,6,0,1,0
2020-04-19,"ESML","Melilla",86487,1,0,0,0,4,0,1,0
2020-04-20,"ESML","Melilla",86487,0,0,0,0,4,0,1,0
2020-04-21,"ESML","Melilla",86487,0,0,0,0,3,0,0,0
2020-04-22,"ESML","Melilla",86487,1,0,0,0,3,0,0,0
2020-04-23,"ESML","Melilla",86487,2,0,0,0,4,0,0,0
2020-04-24,"ESML","Melilla",86487,1,0,0,0,5,0,0,0
2020-04-25,"ESML","Melilla",86487,2,0,0,0,7,0,0,0
2020-04-26,"ESML","Melilla",86487,4,0,0,0,10,0,0,0
2020-04-27,"ESML","Melilla",86487,0,0,1,0,10,0,1,0
2020-04-28,"ESML","Melilla",86487,1,0,0,0,11,0,1,0
2020-04-29,"ESML","Melilla",86487,2,0,0,0,12,0,1,0
2020-04-30,"ESML","Melilla",86487,1,0,0,0,11,0,1,0
2020-05-01,"ESML","Melilla",86487,1,0,0,0,11,0,1,0
2020-05-02,"ESML","Melilla",86487,2,0,0,0,11,0,1,0
2020-05-03,"ESML","Melilla",86487,2,0,0,0,9,0,1,0
2020-05-04,"ESML","Melilla",86487,0,0,0,0,9,0,0,0
2020-05-05,"ESML","Melilla",86487,0,0,0,0,8,0,0,0
2020-05-06,"ESML","Melilla",86487,0,0,0,0,6,0,0,0
2020-05-07,"ESML","Melilla",86487,0,0,0,0,5,0,0,0
2020-05-08,"ESML","Melilla",86487,0,0,0,0,4,0,0,0
2020-05-09,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-05-10,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-11,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-12,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-13,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-14,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-15,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-16,"ESML","Melilla",86487,2,0,0,0,2,0,0,0
2020-05-17,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-05-18,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-05-19,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-05-20,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-05-21,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-05-22,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-05-23,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-24,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-25,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-26,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-27,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-28,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-29,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-30,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-05-31,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-06-01,"ESML","Melilla",86487,1,0,0,0,1,0,0,0
2020-06-02,"ESML","Melilla",86487,0,0,0,0,1,0,0,0
2020-06-03,"ESML","Melilla",86487,0,0,0,0,1,0,0,0
2020-06-04,"ESML","Melilla",86487,0,0,0,0,1,0,0,0
2020-06-05,"ESML","Melilla",86487,0,0,0,0,1,0,0,0
2020-06-06,"ESML","Melilla",86487,0,0,0,0,1,0,0,0
2020-06-07,"ESML","Melilla",86487,0,0,0,0,1,0,0,0
2020-06-08,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-06-09,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-06-10,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-06-11,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-06-12,"ESML","Melilla",86487,1,0,0,0,1,0,0,0
2020-06-13,"ESML","Melilla",86487,1,0,1,0,2,0,1,0
2020-06-14,"ESML","Melilla",86487,0,0,0,0,2,0,1,0
2020-06-15,"ESML","Melilla",86487,0,0,0,0,2,0,1,0
2020-06-16,"ESML","Melilla",86487,0,0,0,0,2,0,1,0
2020-06-17,"ESML","Melilla",86487,0,0,0,0,2,0,1,0
2020-06-18,"ESML","Melilla",86487,0,0,0,0,2,0,1,0
2020-06-19,"ESML","Melilla",86487,0,0,0,0,1,0,1,0
2020-06-20,"ESML","Melilla",86487,0,0,0,0,0,0,0,0
2020-06-21,"ESML","Melilla",86487,2,0,0,0,2,0,0,0
2020-06-22,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-06-23,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-06-24,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-06-25,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
2020-06-26,"ESML","Melilla",86487,0,0,0,0,2,0,0,0
