"","yhat","yhat_lower","yhat_upper","trend","trend_lower","trend_upper","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active","y","cap","floor","date"
"144",0.129973936431111,0,5.11166066311672,0.129973936431111,0.129973936431111,0.129973936431111,"SK",5450421,23,0,183,0,2204,28,253,334,0.00040437243288179,4.21985751192431e-06,4.64184326311674e-05,6.12796699557704e-05,0,150,0,2020-07-29
"145",0.136430118823626,0,5.15454359594974,0.136430118823626,0.136430118823626,0.136430118823626,"SK",5450421,41,0,187,0,2245,28,280,352,0.00041189478757696,7.52235469516942e-06,5.13721784060351e-05,6.45821671390155e-05,0,150,0,2020-07-30
"146",0.143206692081907,0,5.06288752135972,0.143206692081907,0.143206692081907,0.143206692081907,"SK",5450421,20,0,176,0,2265,28,289,364,0.000415564228891676,3.66944131471679e-06,5.30234269976576e-05,6.67838319278456e-05,0,150,0,2020-07-31
"147",0.150319524546436,0,5.43532586836624,0.150319524546436,0.150319524546436,0.150319524546436,"SK",5450421,27,1,174,1,2292,29,313,390,0.000420517974666544,4.95374577486767e-06,5.74267565753178e-05,7.15541056369774e-05,1,150,0,2020-08-01
"148",0.157785267310453,0,5.0854887783305,0.157785267310453,0.157785267310453,0.157785267310453,"SK",5450421,45,0,196,1,2337,29,357,429,0.000428774217624657,8.25624295811278e-06,6.54995274676947e-05,7.87095162006751e-05,0,150,0,2020-08-02
"149",0.165621392508199,0,5.14898572252401,0.165621392508199,0.165621392508199,0.165621392508199,"SK",5450421,7,0,165,1,2344,29,323,417,0.000430058522084808,1.28430446015088e-06,5.92614772326762e-05,7.65078514118451e-05,0,150,0,2020-08-03
"150",0.173846233443051,0,4.89061755800121,0.173846233443051,0.173846233443051,0.173846233443051,"SK",5450421,10,0,173,1,2354,29,296,403,0.000431893242742166,1.83472065735839e-06,5.43077314578085e-05,7.39392424915433e-05,0,150,0,2020-08-04
"151",0.182479026615473,0,5.17006679130575,0.182479026615473,0.182479026615473,0.182479026615473,"SK",5450421,14,0,164,1,2368,29,279,403,0.000434461851662468,2.56860892030175e-06,5.11887063402992e-05,7.39392424915433e-05,0,150,0,2020-08-05
"152",0.191539955862391,0,5.43234621222714,0.191539955862391,0.191539955862391,0.191539955862391,"SK",5450421,49,0,172,1,2417,29,299,441,0.000443451982883524,8.99013122105613e-06,5.4858147655016e-05,8.09111809895052e-05,0,150,0,2020-08-06
"153",0.201050198459138,0,5.520440953738,0.201050198459138,0.201050198459138,0.201050198459138,"SK",5450421,63,0,215,1,2480,29,339,501,0.000455010723024882,1.15587401413579e-05,6.21970302844496e-05,9.19195049336556e-05,0,150,0,2020-08-07
"154",0.211031973516608,0,5.48782605519111,0.211031973516608,0.211031973516608,0.211031973516608,"SK",5450421,43,2,231,2,2523,31,344,543,0.000462900021851523,7.8892988266411e-06,6.31143906131288e-05,9.96253316945608e-05,2,150,0,2020-08-08
"155",0.221508592657618,0,5.15645410270029,0.221508592657618,0.221508592657618,0.221508592657618,"SK",5450421,43,0,229,2,2566,31,385,545,0.000470789320678164,7.8892988266411e-06,7.06367453082982e-05,9.99922758260325e-05,0,150,0,2020-08-09
"156",0.232504513099309,0,4.95662341137292,0.232504513099309,0.232504513099309,0.232504513099309,"SK",5450421,30,0,252,2,2596,31,392,538,0.000476293482650239,5.50416197207518e-06,7.19210497684491e-05,9.87079713658816e-05,0,150,0,2020-08-10
"157",0.244045393249764,0,5.5542245613415,0.244045393249764,0.244045393249764,0.244045393249764,"SK",5450421,3,0,245,2,2599,31,354,510,0.000476843898847447,5.50416197207518e-07,6.49491112704872e-05,9.35707535252781e-05,0,150,0,2020-08-11
"158",0.256158150931263,0,5.23174811771328,0.256158150931263,0.256158150931263,0.256158150931263,"SK",5450421,16,0,247,2,2615,31,350,497,0.00047977945189922,2.93555305177343e-06,6.42152230075438e-05,9.11856166707122e-05,0,150,0,2020-08-12
"159",0.268871024346928,0,5.30544721989074,0.268871024346928,0.268871024346928,0.268871024346928,"SK",5450421,75,0,273,2,2690,31,398,549,0.000493539856829408,1.3760404930188e-05,7.30218821628641e-05,0.000100726164088976,0,150,0,2020-08-13
"160",0.28221363591192,0,5.21163830412571,0.28221363591192,0.28221363591192,0.28221363591192,"SK",5450421,49,0,259,2,2739,31,402,560,0.000502529988050464,8.99013122105613e-06,7.37557704258075e-05,0.00010274435681207,0,150,0,2020-08-14
"161",0.296217059153621,0,5.21306896706604,0.296217059153621,0.296217059153621,0.296217059153621,"SK",5450421,62,0,278,0,2801,31,457,620,0.000513905256126086,1.1375268075622e-05,8.38467340412786e-05,0.00011375268075622,0,150,0,2020-08-15
"162",0.310913888425032,0,5.72269239715234,0.310913888425032,0.310913888425032,0.310913888425032,"SK",5450421,54,0,289,0,2855,31,501,651,0.000523812747675822,9.90749154973533e-06,9.19195049336556e-05,0.000119440314794032,0,150,0,2020-08-16
"163",0.326338312323288,0,4.90037034617367,0.326338312323288,0.326338312323288,0.326338312323288,"SK",5450421,47,0,306,0,2902,31,534,657,0.000532435934765406,8.62318708958446e-06,9.79740831029383e-05,0.000120541147188447,0,150,0,2020-08-17
"164",0.342526190210332,0,5.57397620257933,0.342526190210332,0.342526190210332,0.342526190210332,"SK",5450421,5,0,308,0,2907,31,490,642,0.000533353295094085,9.17360328679197e-07,8.99013122105614e-05,0.000117789066202409,0,150,0,2020-08-18
"165",0.359515132344318,0,5.45887260003133,0.359515132344318,0.359515132344318,0.359515132344318,"SK",5450421,15,0,307,0,2922,31,442,630,0.000536105376080123,2.75208098603759e-06,8.1094653055241e-05,0.000115587401413579,0,150,0,2020-08-19
"166",0.377344583699297,0,5.19832745466781,0.377344583699297,0.377344583699297,0.377344583699297,"SK",5450421,100,2,332,2,3022,33,499,685,0.000554452582653707,1.83472065735839e-05,9.15525608021839e-05,0.00012567836502905,2,150,0,2020-08-20
"167",0.396055911626935,0,5.33975992839873,0.396055911626935,0.396055911626935,0.396055911626935,"SK",5450421,80,0,363,2,3102,33,536,758,0.000569130347912574,1.46777652588672e-05,9.834102723441e-05,0.000139071825827766,0,150,0,2020-08-21
"168",0.415692497518784,0,5.42012381994695,0.415692497518784,0.415692497518784,0.415692497518784,"SK",5450421,123,0,424,2,3225,33,629,871,0.000591697411998082,2.25670640855083e-05,0.000115403929347843,0.000159804169255916,0,150,0,2020-08-22
"169",0.436299832632243,0,5.66159973453861,0.436299832632243,0.436299832632243,0.436299832632243,"SK",5450421,91,0,461,2,3316,33,717,948,0.000608393369980044,1.66959579819614e-05,0.000131549471132597,0.000173931518317576,0,150,0,2020-08-23
