"","X","country_agg","GID_0","gender","age_bucket","date","rolling_total_responses","weight_sums","smoothed_pct_cli","smoothed_pct_ili","smoothed_pct_fever","smoothed_pct_cough","smoothed_pct_difficulty_breathing","smoothed_pct_fatigue","smoothed_pct_stuffy_runny_nose","smoothed_pct_aches_muscle_pain","smoothed_pct_sore_throat","smoothed_pct_chest_pain","smoothed_pct_nausea","smoothed_pct_anosmia_ageusia","smoothed_pct_eye_pain","smoothed_pct_headache","smoothed_pct_cmnty_sick","smoothed_pct_ever_tested","smoothed_pct_tested_recently","smoothed_pct_worked_outside_home","smoothed_pct_grocery_outside_home","smoothed_pct_ate_outside_home","smoothed_pct_spent_time_with_non_hh","smoothed_pct_attended_public_event","smoothed_pct_used_public_transit","smoothed_pct_direct_contact_with_non_hh","smoothed_pct_wear_mask_all_time","smoothed_pct_wear_mask_most_time","smoothed_pct_wear_mask_half_time","smoothed_pct_wear_mask_some_time","smoothed_pct_wear_mask_none_time","smoothed_pct_no_public","smoothed_pct_feel_nervous_all_time","smoothed_pct_feel_nervous_most_time","smoothed_pct_feel_nervous_some_time","smoothed_pct_feel_nervous_little_time","smoothed_pct_feel_nervous_none_time","smoothed_pct_feel_depressed_all_time","smoothed_pct_feel_depressed_most_time","smoothed_pct_feel_depressed_some_time","smoothed_pct_feel_depressed_little_time","smoothed_pct_feel_depressed_none_time","smoothed_pct_worried_ill_covid19_very","smoothed_pct_worried_ill_covid19_somewhat","smoothed_pct_worried_ill_covid19_notTooWorried","smoothed_pct_worried_ill_covid19_notWorried","smoothed_pct_enough_toEat_very_worried","smoothed_pct_enough_toEat_somewhat_worried","smoothed_pct_enough_toEat_notToo_worried","smoothed_pct_enough_toEat_not_worried","smoothed_pct_cli_weighted","smoothed_pct_ili_weighted","smoothed_pct_fever_weighted","smoothed_pct_cough_weighted","smoothed_pct_difficulty_breathing_weighted","smoothed_pct_fatigue_weighted","smoothed_pct_stuffy_runny_nose_weighted","smoothed_pct_aches_muscle_pain_weighted","smoothed_pct_sore_throat_weighted","smoothed_pct_chest_pain_weighted","smoothed_pct_nausea_weighted","smoothed_pct_anosmia_ageusia_weighted","smoothed_pct_eye_pain_weighted","smoothed_pct_headache_weighted","smoothed_pct_cmnty_sick_weighted","smoothed_pct_ever_tested_weighted","smoothed_pct_tested_recently_weighted","smoothed_pct_worked_outside_home_weighted","smoothed_pct_grocery_outside_home_weighted","smoothed_pct_ate_outside_home_weighted","smoothed_pct_spent_time_with_non_hh_weighted","smoothed_pct_attended_public_event_weighted","smoothed_pct_used_public_transit_weighted","smoothed_pct_direct_contact_with_non_hh_weighted","smoothed_pct_wear_mask_all_time_weighted","smoothed_pct_wear_mask_most_time_weighted","smoothed_pct_wear_mask_half_time_weighted","smoothed_pct_wear_mask_some_time_weighted","smoothed_pct_wear_mask_none_time_weighted","smoothed_pct_no_public_weighted","smoothed_pct_feel_nervous_all_time_weighted","smoothed_pct_feel_nervous_most_time_weighted","smoothed_pct_feel_nervous_some_time_weighted","smoothed_pct_feel_nervous_little_time_weighted","smoothed_pct_feel_nervous_none_time_weighted","smoothed_pct_feel_depressed_all_time_weighted","smoothed_pct_feel_depressed_most_time_weighted","smoothed_pct_feel_depressed_some_time_weighted","smoothed_pct_feel_depressed_little_time_weighted","smoothed_pct_feel_depressed_none_time_weighted","smoothed_pct_worried_ill_covid19_very_weighted","smoothed_pct_worried_ill_covid19_somewhat_weighted","smoothed_pct_worried_ill_covid19_notTooWorried_weighted","smoothed_pct_worried_ill_covid19_notWorried_weighted","smoothed_pct_enough_toEat_very_worried_weighted","smoothed_pct_enough_toEat_somewhat_worried_weighted","smoothed_pct_enough_toEat_notToo_worried_weighted","smoothed_pct_enough_toEat_not_worried_weighted","smoothed_pct_chills","smoothed_pct_chills_weighted","smoothedpct_wear_mask_all_time_weighted","smoothed_pct_finances_very_worried","smoothed_pct_finances_somewhat_worried","smoothed_pct_finances_notToo_worried","smoothed_pct_finances_not_worried","smoothed_pct_finances_very_worried_weighted","smoothed_pct_finances_somewhat_worried_weighted","smoothed_pct_finances_notToo_worried_weighted","smoothed_pct_finances_not_worried_weighted"
"1",1074,"Spain","ESP","female","18-34","2020-04-29",2926,4086983.81,1.03,0.96,1.33,13.22,4.28,14.65,22.53,12.14,12.32,4.83,7.64,2.53,12.29,30.35,22.45,4.17,32.98,15.6,45.96,0.41,14.2,0.55,3.5,16.09,45.39,11.79,7.18,1.16,14.49,19.96,1.97,7.69,28.35,25.83,36.16,2.48,10.07,27.04,30.56,29.85,35.95,41.93,16.68,4.48,9.74,14.73,27,48.29,1.01,1.01,1.39,13.48,4.63,15.13,22.85,12.91,12.86,4.85,8.15,2.51,13.24,30.44,22.88,3.88,0.81,15.36,46.58,0.41,14.35,0.58,4.09,15.73,46.52,11.54,7.33,1.14,13.23,20.21,2.06,7.75,29.29,24.91,35.05,2.88,9.93,27.44,30.33,28.48,35.97,42.48,16.26,4.33,9.92,15.42,27.87,46.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1075,"Spain","ESP","female","35-54","2020-04-29",3962,7109384.58,0.97,1.02,1.53,14.43,4.94,14.66,19.57,16.01,10.26,5.67,4.86,3.2,10.16,27.63,19.61,5.34,56.33,20.67,55.63,0.85,15.14,0.74,4.09,14.5,57.67,10.4,4.92,1.29,11.11,14.56,1.14,7.55,25.7,25.55,40.06,1.37,6.98,24.31,28.88,38.45,39.65,42.71,12.39,4.59,8.15,14.08,25.49,52.02,0.87,0.94,1.41,14.06,4.79,14.44,18.59,15.32,9.69,5.49,4.89,3.47,9.31,26.78,19.91,5.2,1.85,20.68,58.03,0.97,14.91,0.66,4.89,14.46,59.67,10.31,4.62,1.2,9.93,14.21,1.23,7.34,25.69,25.6,39.48,1.37,7.04,23.75,28.87,38.44,39.4,42.75,12.71,4.5,8.29,14.18,25.61,51.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1076,"Spain","ESP","female","55+","2020-04-29",1413,5717367.91,0.64,0.5,0.93,14.18,2.92,13.09,16.01,14.99,7.43,4.27,3.13,2.14,9.05,20.17,17.8,4.49,65.08,13.54,57.59,1.28,11.67,0.14,3.98,9.66,55.34,7.36,4.18,1.13,8.92,22.65,1.14,4.5,20.38,24.73,49.24,0.79,4.78,20.95,26.24,47.24,35.53,41.61,15.43,6.51,3.26,10.26,19.39,66.38,0.59,0.5,0.97,12.2,2.39,12.71,14.72,13.06,5.41,4.5,3.01,1.99,8.32,18.47,15.8,2.8,0.8,8.79,53.2,1.11,9.25,0.29,2.81,7.79,54.76,5.83,4.42,1.53,7.31,25.8,1.54,3.34,17.84,26.88,48.4,0.82,4.3,20.73,24.8,47.8,34.13,40.54,16.62,7.2,2.43,9.4,18.29,68.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1077,"Spain","ESP","female","overall","2020-04-29",8431,17490975.43,0.93,0.89,1.35,13.97,4.32,14.3,19.94,14.43,10.49,5.09,5.52,2.82,10.66,27.19,20.23,4.86,50.36,17.63,52.65,0.78,14.25,0.56,3.91,14.3,52.89,10.41,5.61,1.21,11.88,17.89,1.45,7.08,25.81,25.51,40.15,1.64,7.67,24.77,29.1,36.82,37.61,42.18,14.43,4.87,7.91,13.66,24.96,53.07,0.81,0.79,1.24,13.26,3.83,13.87,18.17,13.84,8.98,4.95,5,2.8,9.85,24.65,19.03,4.1,1.24,15.13,53.49,0.89,12.81,0.5,4.05,12.68,54.74,9.17,5.27,1.25,9.78,19.64,1.54,6.03,23.88,25.72,41.25,1.52,6.76,23.59,27.83,38.9,36.51,41.81,14.94,5.38,6.71,12.7,23.46,56.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1078,"Spain","ESP","male","18-34","2020-04-29",1626,3773079.72,1.17,0.93,1.48,14.31,4.14,12.03,17.47,7.16,7.83,5.06,2.96,1.97,10.12,16.19,19.63,3.08,NA,23.8,52.53,1.24,20.25,1.06,4.46,23.16,40.47,13.65,8.36,1.17,19.99,16.36,1.36,4.5,18.58,25.56,50,1.73,6.24,20.01,28.78,43.23,26.51,45.51,19.37,8.06,8.55,14.21,23.31,53.75,1.32,0.98,1.53,14.5,4.24,11.52,18.05,6.89,7.76,4.86,2.71,2.18,9.99,16,19.24,2.73,0.44,23.45,52.63,1.5,20.71,1.06,5.58,24.08,42.05,13.89,7.56,1.37,18.36,16.78,1.5,4.74,19.69,24.68,49.1,2.34,6.64,19.94,27.55,43.15,27.12,44.83,19.25,8.29,8.79,16.41,24.46,50.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1079,"Spain","ESP","male","35-54","2020-04-29",3039,6353068.86,0.76,0.73,1.06,11.97,3.44,10.04,15.74,7.51,7.17,4.43,2.08,1.85,6.61,14.1,16.13,3.27,35.16,33.7,63.09,1.96,19.95,1.03,3.41,18.15,47.71,15.66,9.25,1.35,16.75,9.18,0.73,3.25,16.52,22.85,56.65,0.83,3.34,14.98,24.97,55.88,31.33,45.97,15.96,6.32,6.19,12.21,24.25,57.22,0.85,0.76,1.18,11.83,3.82,9.93,16.39,7.46,7.11,4.76,2.16,2.07,6.7,14.22,16.42,3.38,0.48,35.04,64.95,2.24,20.47,1.38,3.98,17.87,49.7,15.49,8.83,1.21,15.7,8.75,0.69,3.48,17.11,22.25,55.69,0.74,3.55,15.22,24.8,55.11,32.86,44.25,15.69,6.72,6.97,12.31,24.03,56.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1080,"Spain","ESP","male","55+","2020-04-29",1506,5919598.21,0.4,0.4,0.6,10.61,3.53,8.6,14.94,7.14,4.61,3.13,1.27,1.33,3.94,8.33,11.9,3.03,NA,17.88,67.84,4.56,12.2,0.4,2.54,12.66,48.74,12.75,7.04,1.66,14.81,14.81,0.6,1.55,11.88,19.47,66.5,0.53,1.6,12.58,21.89,63.39,31.34,41.7,16.53,9.63,2.39,10.96,21.45,64.48,0.25,0.25,0.4,10.37,3.33,7.77,15.99,7.43,4.51,3.03,0.95,1.19,3.76,8.48,11.78,2.42,0.42,13.79,65.51,4.28,10.18,0.27,2.25,10.85,48.94,12.54,6.52,1.16,13.54,17.12,0.55,1.7,11.39,19.11,66.22,0.4,1.64,11.9,22.41,62.89,32.45,40.52,16.86,9.4,2.03,10.95,20.89,65.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1081,"Spain","ESP","male","overall","2020-04-29",6256,16688999.94,0.77,0.69,1.06,12.19,3.63,10.16,15.9,7.26,6.65,4.24,2.1,1.75,6.81,13.16,15.92,3.17,34.92,27.14,61.49,2.44,18.1,0.89,3.48,18.11,46.12,14.37,8.46,1.36,17.15,12.44,0.89,3.16,15.83,22.74,57.39,1.03,3.65,15.66,25.22,54.43,30.08,44.66,17.04,7.61,5.9,12.42,23.27,58.06,0.74,0.63,1.01,11.83,3.72,9.49,16.5,7.22,6.23,4.12,1.85,1.79,6.34,12.49,15.24,2.91,0.45,24.72,62.19,2.79,16.87,0.92,3.75,16.81,47.79,14.07,7.74,1.2,15.49,13.51,0.86,3.11,15.58,21.61,57.94,1.04,3.57,15.04,24.61,54.99,31.31,42.94,17.03,7.97,5.7,12.68,23.04,58.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1082,"Spain","ESP","other","18-34","2020-04-29",56,101595.62,5.36,5.36,7.14,19.64,5.36,23.21,21.43,10.71,12.5,7.14,7.14,3.57,19.64,25,12.5,7.14,NA,23.19,42.86,2.14,19.05,0,7.44,19.64,41.07,7.14,10.71,1.79,14.29,25,5.65,5.65,21.43,16.37,50.89,7.44,7.14,22.02,19.94,43.45,33.93,42.86,10.71,10.71,8.93,19.64,39.29,32.14,4.86,4.86,5.66,18.51,4.77,20.74,24.06,8.17,17.15,6.62,5.32,3.45,16.38,22.36,13.26,14.5,6.34,30.02,49.31,1.28,19.72,0,12.31,19.5,42.37,11.21,10.75,1.39,10.21,24.07,3.9,5.76,19.8,14.09,55.13,4.97,6.33,22.62,17.1,47.66,37.38,40.78,8.8,11.73,6.16,18.02,37.91,37.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1083,"Spain","ESP","other","35-54","2020-04-29",104,140258.97,2.02,1.01,3.03,12.79,9.13,15.75,21.35,17.57,10.84,12.77,6.77,2.98,11.91,25.59,16.35,9.62,NA,23.56,58.65,2.96,16.55,0,4.93,10.58,52.88,11.54,9.62,2.88,4.81,18.27,3.9,9.62,29.11,21.53,35.84,5.82,9.67,27.19,17.52,39.8,41.35,41.35,9.62,6.73,19.23,19.23,25,35.58,1.89,0.86,2.34,12.4,5.7,12.77,16.55,13.68,9.94,10.88,4.59,2.5,10.2,22,18.85,16.95,3.4,27.78,55.75,3.13,15.06,0,4.03,11.2,57.9,8.47,10.07,2.61,6.15,14.79,2.36,8.12,29.1,19.99,34.73,6.18,7.74,24.05,20.4,35.93,38.33,40.41,7.43,8.13,16.81,16.13,27.81,33.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
